id,company_name,contact_name,email,phone,address,city,state,county,zip,business_type,priority,source,tags,scraped_at,notes
AL-00000,Mobile Diner,Richard Smith,info@mobilediner.com,+1 (555) 114-4013,6067 Maple St,Mobile,AL,Mobile County,33581,cafe,B,AL_Scraper,"Restaurant,AL,Mobile",2026-05-07T20:48:34.243271,"State Population: 5,024,279"
AL-00001,Huntsville House,Barbara Jones,info@huntsvillehouse.com,+1 (555) 182-1869,9077 Pine St,Huntsville,AL,Huntsville County,23459,grill,B,AL_Scraper,"Restaurant,AL,Huntsville",2026-05-07T20:48:34.243301,"State Population: 5,024,279"
AL-00002,Huntsville Bar,Michael Miller,info@huntsvillebar.com,+1 (555) 357-4779,1883 Main St,Huntsville,AL,Huntsville County,34009,bar,B,AL_Scraper,"Restaurant,AL,Huntsville",2026-05-07T20:48:34.243314,"State Population: 5,024,279"
AL-00003,Birmingham Bar,Linda Brown,info@birminghambar.com,+1 (555) 658-5180,1091 Pine St,Birmingham,AL,Birmingham County,12383,restaurant,B,AL_Scraper,"Restaurant,AL,Birmingham",2026-05-07T20:48:34.243324,"State Population: 5,024,279"
AL-00004,The Anderson Restaurant,John Williams,info@theandersonrest.com,+1 (555) 904-9696,6402 Pine St,Montgomery,AL,Montgomery County,25062,restaurant,B,AL_Scraper,"Restaurant,AL,Montgomery",2026-05-07T20:48:34.243334,"State Population: 5,024,279"
AL-00005,Huntsville Eatery,Mary Johnson,info@huntsvilleeater.com,+1 (555) 406-5698,5110 Oak St,Huntsville,AL,Huntsville County,87424,cafe,B,AL_Scraper,"Restaurant,AL,Huntsville",2026-05-07T20:48:34.243348,"State Population: 5,024,279"
AL-00006,Mobile Pub,Patricia Smith,info@mobilepub.com,+1 (555) 769-2638,617 Oak St,Mobile,AL,Mobile County,17716,restaurant,B,AL_Scraper,"Restaurant,AL,Mobile",2026-05-07T20:48:34.243362,"State Population: 5,024,279"
AL-00007,Birmingham Kitchen,Barbara Miller,info@birminghamkitch.com,+1 (555) 656-7116,6855 Elm St,Birmingham,AL,Birmingham County,14519,restaurant,B,AL_Scraper,"Restaurant,AL,Birmingham",2026-05-07T20:48:34.243373,"State Population: 5,024,279"
AL-00008,Montgomery Pub,William Smith,info@montgomerypub.com,+1 (555) 955-9997,5752 Main St,Montgomery,AL,Montgomery County,15942,restaurant,B,AL_Scraper,"Restaurant,AL,Montgomery",2026-05-07T20:48:34.243387,"State Population: 5,024,279"
AL-00009,Mobile Diner,David Jones,info@mobilediner.com,+1 (555) 122-6347,8853 Main St,Mobile,AL,Mobile County,22696,grill,B,AL_Scraper,"Restaurant,AL,Mobile",2026-05-07T20:48:34.243427,"State Population: 5,024,279"
AL-00010,Montgomery Bistro,Jennifer Wilson,info@montgomerybistr.com,+1 (555) 196-6329,4601 Oak St,Montgomery,AL,Montgomery County,11842,restaurant,B,AL_Scraper,"Restaurant,AL,Montgomery",2026-05-07T20:48:34.243439,"State Population: 5,024,279"
AL-00011,Montgomery Kitchen,Elizabeth Williams,info@montgomerykitch.com,+1 (555) 728-8218,8309 Pine St,Montgomery,AL,Montgomery County,87119,cafe,B,AL_Scraper,"Restaurant,AL,Montgomery",2026-05-07T20:48:34.243446,"State Population: 5,024,279"
AL-00012,Birmingham Bistro,Jennifer Rodriguez,info@birminghambistr.com,+1 (555) 719-5725,2052 Maple St,Birmingham,AL,Birmingham County,58315,restaurant,B,AL_Scraper,"Restaurant,AL,Birmingham",2026-05-07T20:48:34.243454,"State Population: 5,024,279"
AL-00013,Birmingham Cafe,Richard Smith,info@birminghamcafe.com,+1 (555) 225-5375,101 Main St,Birmingham,AL,Birmingham County,62740,restaurant,B,AL_Scraper,"Restaurant,AL,Birmingham",2026-05-07T20:48:34.243461,"State Population: 5,024,279"
AL-00014,Birmingham Eatery,Robert Miller,info@birminghameater.com,+1 (555) 382-1345,9899 Pine St,Birmingham,AL,Birmingham County,44101,restaurant,B,AL_Scraper,"Restaurant,AL,Birmingham",2026-05-07T20:48:34.243468,"State Population: 5,024,279"
AL-00015,Birmingham Pub,John Johnson,info@birminghampub.com,+1 (555) 100-9667,3181 Maple St,Birmingham,AL,Birmingham County,76648,grill,B,AL_Scraper,"Restaurant,AL,Birmingham",2026-05-07T20:48:34.243474,"State Population: 5,024,279"
AL-00016,Birmingham Pub,Barbara Williams,info@birminghampub.com,+1 (555) 648-1392,7765 Pine St,Birmingham,AL,Birmingham County,38218,grill,B,AL_Scraper,"Restaurant,AL,Birmingham",2026-05-07T20:48:34.243491,"State Population: 5,024,279"
AL-00017,The Williams Restaurant,David Jones,info@thewilliamsrest.com,+1 (555) 458-3972,8268 Maple St,Montgomery,AL,Montgomery County,33013,restaurant,B,AL_Scraper,"Restaurant,AL,Montgomery",2026-05-07T20:48:34.243498,"State Population: 5,024,279"
AL-00018,Huntsville Diner,James Garcia,info@huntsvillediner.com,+1 (555) 657-8452,8821 Elm St,Huntsville,AL,Huntsville County,65508,restaurant,B,AL_Scraper,"Restaurant,AL,Huntsville",2026-05-07T20:48:34.243507,"State Population: 5,024,279"
AL-00019,Huntsville Bistro,Robert Johnson,info@huntsvillebistr.com,+1 (555) 804-8593,7101 Elm St,Huntsville,AL,Huntsville County,99238,restaurant,B,AL_Scraper,"Restaurant,AL,Huntsville",2026-05-07T20:48:34.243526,"State Population: 5,024,279"
AL-00020,Mobile Tavern,James Wilson,info@mobiletavern.com,+1 (555) 333-3940,932 Elm St,Mobile,AL,Mobile County,48915,cafe,B,AL_Scraper,"Restaurant,AL,Mobile",2026-05-07T20:48:34.243546,"State Population: 5,024,279"
AL-00021,Montgomery Cafe,Patricia Rodriguez,info@montgomerycafe.com,+1 (555) 514-8671,1946 Pine St,Montgomery,AL,Montgomery County,81015,cafe,B,AL_Scraper,"Restaurant,AL,Montgomery",2026-05-07T20:48:34.243556,"State Population: 5,024,279"
AL-00022,Mobile House,Robert Brown,info@mobilehouse.com,+1 (555) 769-6228,3035 Maple St,Mobile,AL,Mobile County,43793,cafe,B,AL_Scraper,"Restaurant,AL,Mobile",2026-05-07T20:48:34.243565,"State Population: 5,024,279"
AL-00023,The Rodriguez Restaurant,Jennifer Anderson,info@therodriguezres.com,+1 (555) 722-5724,7061 Main St,Huntsville,AL,Huntsville County,65630,restaurant,B,AL_Scraper,"Restaurant,AL,Huntsville",2026-05-07T20:48:34.243579,"State Population: 5,024,279"
AL-00024,Birmingham Eatery,Michael Wilson,info@birminghameater.com,+1 (555) 394-5626,2461 Oak St,Birmingham,AL,Birmingham County,61435,bar,B,AL_Scraper,"Restaurant,AL,Birmingham",2026-05-07T20:48:34.243585,"State Population: 5,024,279"
