id,company_name,contact_name,email,phone,address,city,state,county,zip,business_type,priority,source,tags,scraped_at,notes
AR-00000,Jonesboro Pub,Patricia Anderson,info@jonesboropub.com,+1 (555) 611-8778,7186 Pine St,Jonesboro,AR,Jonesboro County,25828,bar,C,AR_Scraper,"Restaurant,AR,Jonesboro",2026-05-07T20:48:34.196359,"State Population: 3,011,524"
AR-00001,Springdale Bar,William Brown,info@springdalebar.com,+1 (555) 307-2661,1244 Oak St,Springdale,AR,Springdale County,20721,cafe,C,AR_Scraper,"Restaurant,AR,Springdale",2026-05-07T20:48:34.196386,"State Population: 3,011,524"
AR-00002,Fayetteville Kitchen,John Jones,info@fayettevillekit.com,+1 (555) 418-1963,1098 Pine St,Fayetteville,AR,Fayetteville County,29879,cafe,C,AR_Scraper,"Restaurant,AR,Fayetteville",2026-05-07T20:48:34.196418,"State Population: 3,011,524"
AR-00003,The Davis Restaurant,Robert Smith,info@thedavisrestaur.com,+1 (555) 655-4479,1618 Oak St,Little Rock,AR,Little Rock County,15565,cafe,C,AR_Scraper,"Restaurant,AR,Little Rock",2026-05-07T20:48:34.196431,"State Population: 3,011,524"
AR-00004,Jonesboro Grill,David Brown,info@jonesborogrill.com,+1 (555) 612-9933,7224 Pine St,Jonesboro,AR,Jonesboro County,76092,cafe,C,AR_Scraper,"Restaurant,AR,Jonesboro",2026-05-07T20:48:34.196450,"State Population: 3,011,524"
AR-00005,Little Rock Bar,Linda Brown,info@littlerockbar.com,+1 (555) 269-1193,8973 Main St,Little Rock,AR,Little Rock County,23337,bar,C,AR_Scraper,"Restaurant,AR,Little Rock",2026-05-07T20:48:34.196472,"State Population: 3,011,524"
AR-00006,Jonesboro Grill,Patricia Wilson,info@jonesborogrill.com,+1 (555) 516-6107,4397 Elm St,Jonesboro,AR,Jonesboro County,35848,cafe,C,AR_Scraper,"Restaurant,AR,Jonesboro",2026-05-07T20:48:34.196486,"State Population: 3,011,524"
AR-00007,Jonesboro Diner,Mary Smith,info@jonesborodiner.com,+1 (555) 314-5827,3994 Oak St,Jonesboro,AR,Jonesboro County,16037,cafe,C,AR_Scraper,"Restaurant,AR,Jonesboro",2026-05-07T20:48:34.196496,"State Population: 3,011,524"
AR-00008,Little Rock Bistro,David Miller,info@littlerockbistr.com,+1 (555) 261-3896,2462 Pine St,Little Rock,AR,Little Rock County,39172,grill,C,AR_Scraper,"Restaurant,AR,Little Rock",2026-05-07T20:48:34.196508,"State Population: 3,011,524"
AR-00009,Fayetteville Grill,Elizabeth Jones,info@fayettevillegri.com,+1 (555) 680-7956,4814 Elm St,Fayetteville,AR,Fayetteville County,78295,cafe,C,AR_Scraper,"Restaurant,AR,Fayetteville",2026-05-07T20:48:34.196518,"State Population: 3,011,524"
AR-00010,Fayetteville Kitchen,Jennifer Miller,info@fayettevillekit.com,+1 (555) 113-7622,1122 Elm St,Fayetteville,AR,Fayetteville County,37325,cafe,C,AR_Scraper,"Restaurant,AR,Fayetteville",2026-05-07T20:48:34.196526,"State Population: 3,011,524"
AR-00011,Little Rock Bistro,Barbara Martinez,info@littlerockbistr.com,+1 (555) 622-2865,4164 Pine St,Little Rock,AR,Little Rock County,52526,cafe,C,AR_Scraper,"Restaurant,AR,Little Rock",2026-05-07T20:48:34.196534,"State Population: 3,011,524"
AR-00012,Springdale Kitchen,Mary Anderson,info@springdalekitch.com,+1 (555) 291-5894,1165 Oak St,Springdale,AR,Springdale County,38686,bar,C,AR_Scraper,"Restaurant,AR,Springdale",2026-05-07T20:48:34.196542,"State Population: 3,011,524"
AR-00013,Little Rock Eatery,John Miller,info@littlerockeater.com,+1 (555) 900-6501,6427 Main St,Little Rock,AR,Little Rock County,30478,restaurant,C,AR_Scraper,"Restaurant,AR,Little Rock",2026-05-07T20:48:34.196551,"State Population: 3,011,524"
AR-00014,Little Rock Diner,Robert Rodriguez,info@littlerockdiner.com,+1 (555) 105-6893,2734 Pine St,Little Rock,AR,Little Rock County,38107,bar,C,AR_Scraper,"Restaurant,AR,Little Rock",2026-05-07T20:48:34.196559,"State Population: 3,011,524"
AR-00015,Springdale Tavern,David Davis,info@springdaletaver.com,+1 (555) 893-5847,8002 Main St,Springdale,AR,Springdale County,56088,bar,C,AR_Scraper,"Restaurant,AR,Springdale",2026-05-07T20:48:34.196567,"State Population: 3,011,524"
AR-00016,Little Rock Tavern,Linda Anderson,info@littlerocktaver.com,+1 (555) 121-8579,9162 Pine St,Little Rock,AR,Little Rock County,17411,cafe,C,AR_Scraper,"Restaurant,AR,Little Rock",2026-05-07T20:48:34.196584,"State Population: 3,011,524"
AR-00017,Fayetteville Diner,Jennifer Martinez,info@fayettevilledin.com,+1 (555) 429-1003,5659 Elm St,Fayetteville,AR,Fayetteville County,87301,grill,C,AR_Scraper,"Restaurant,AR,Fayetteville",2026-05-07T20:48:34.196595,"State Population: 3,011,524"
AR-00018,Jonesboro Kitchen,James Smith,info@jonesborokitche.com,+1 (555) 855-6883,1872 Pine St,Jonesboro,AR,Jonesboro County,85358,cafe,C,AR_Scraper,"Restaurant,AR,Jonesboro",2026-05-07T20:48:34.196603,"State Population: 3,011,524"
AR-00019,Springdale Pub,David Jones,info@springdalepub.com,+1 (555) 270-4802,6861 Elm St,Springdale,AR,Springdale County,26206,cafe,C,AR_Scraper,"Restaurant,AR,Springdale",2026-05-07T20:48:34.196611,"State Population: 3,011,524"
