id,company_name,contact_name,email,phone,address,city,state,county,zip,business_type,priority,source,tags,scraped_at,notes
FL-00000,Jacksonville Diner,James Davis,info@jacksonvilledin.com,+1 (407) 585-8607,4025 Elm St,Jacksonville,FL,Jacksonville County,50722,grill,A,FL_Scraper,"Restaurant,FL,Jacksonville",2026-05-07T20:48:34.233347,"State Population: 21,538,187"
FL-00001,Tallahassee Pub,Mary Williams,info@tallahasseepub.com,+1 (239) 349-3510,8107 Oak St,Tallahassee,FL,Tallahassee County,10382,bar,A,FL_Scraper,"Restaurant,FL,Tallahassee",2026-05-07T20:48:34.233369,"State Population: 21,538,187"
FL-00002,Miami Eatery,Susan Rodriguez,info@miamieatery.com,+1 (305) 659-5242,8299 Pine St,Miami,FL,Miami County,99439,cafe,A,FL_Scraper,"Restaurant,FL,Miami",2026-05-07T20:48:34.233379,"State Population: 21,538,187"
FL-00003,Miami Grill,Jennifer Davis,info@miamigrill.com,+1 (239) 838-2105,3703 Maple St,Miami,FL,Miami County,49320,grill,A,FL_Scraper,"Restaurant,FL,Miami",2026-05-07T20:48:34.233386,"State Population: 21,538,187"
FL-00004,Miami Diner,Barbara Davis,info@miamidiner.com,+1 (561) 281-9010,985 Elm St,Miami,FL,Miami County,58404,restaurant,A,FL_Scraper,"Restaurant,FL,Miami",2026-05-07T20:48:34.233393,"State Population: 21,538,187"
FL-00005,Tampa Cafe,Mary Wilson,info@tampacafe.com,+1 (813) 714-6216,7364 Elm St,Tampa,FL,Tampa County,81992,grill,A,FL_Scraper,"Restaurant,FL,Tampa",2026-05-07T20:48:34.233418,"State Population: 21,538,187"
FL-00006,Jacksonville Diner,Michael Rodriguez,info@jacksonvilledin.com,+1 (813) 182-3952,1891 Pine St,Jacksonville,FL,Jacksonville County,64498,restaurant,A,FL_Scraper,"Restaurant,FL,Jacksonville",2026-05-07T20:48:34.233432,"State Population: 21,538,187"
FL-00007,Miami House,Barbara Smith,info@miamihouse.com,+1 (954) 757-5586,881 Elm St,Miami,FL,Miami County,80102,restaurant,A,FL_Scraper,"Restaurant,FL,Miami",2026-05-07T20:48:34.233442,"State Population: 21,538,187"
FL-00008,Orlando Bistro,William Smith,info@orlandobistro.com,+1 (407) 838-8197,9799 Pine St,Orlando,FL,Orlando County,56313,cafe,A,FL_Scraper,"Restaurant,FL,Orlando",2026-05-07T20:48:34.233449,"State Population: 21,538,187"
FL-00009,Jacksonville Pub,Richard Miller,info@jacksonvillepub.com,+1 (305) 759-5436,3343 Elm St,Jacksonville,FL,Jacksonville County,46114,bar,A,FL_Scraper,"Restaurant,FL,Jacksonville",2026-05-07T20:48:34.233455,"State Population: 21,538,187"
FL-00010,Tallahassee Cafe,Barbara Williams,info@tallahasseecafe.com,+1 (305) 366-4924,2438 Elm St,Tallahassee,FL,Tallahassee County,96434,grill,A,FL_Scraper,"Restaurant,FL,Tallahassee",2026-05-07T20:48:34.233461,"State Population: 21,538,187"
FL-00011,Tampa House,Mary Williams,info@tampahouse.com,+1 (239) 358-4267,6255 Oak St,Tampa,FL,Tampa County,69899,restaurant,A,FL_Scraper,"Restaurant,FL,Tampa",2026-05-07T20:48:34.233468,"State Population: 21,538,187"
FL-00012,Jacksonville Bar,Barbara Johnson,info@jacksonvillebar.com,+1 (407) 978-2961,9980 Pine St,Jacksonville,FL,Jacksonville County,23194,cafe,A,FL_Scraper,"Restaurant,FL,Jacksonville",2026-05-07T20:48:34.233474,"State Population: 21,538,187"
FL-00013,Tampa Eatery,James Jones,info@tampaeatery.com,+1 (239) 414-5468,985 Oak St,Tampa,FL,Tampa County,64845,bar,A,FL_Scraper,"Restaurant,FL,Tampa",2026-05-07T20:48:34.233480,"State Population: 21,538,187"
FL-00014,Tampa Cafe,William Williams,info@tampacafe.com,+1 (813) 745-1511,385 Main St,Tampa,FL,Tampa County,32996,grill,A,FL_Scraper,"Restaurant,FL,Tampa",2026-05-07T20:48:34.233514,"State Population: 21,538,187"
FL-00015,Tampa House,Mary Williams,info@tampahouse.com,+1 (561) 201-4432,5211 Maple St,Tampa,FL,Tampa County,60234,cafe,A,FL_Scraper,"Restaurant,FL,Tampa",2026-05-07T20:48:34.233527,"State Population: 21,538,187"
FL-00016,Tampa Cafe,Susan Williams,info@tampacafe.com,+1 (863) 577-1882,5465 Pine St,Tampa,FL,Tampa County,88202,cafe,A,FL_Scraper,"Restaurant,FL,Tampa",2026-05-07T20:48:34.233536,"State Population: 21,538,187"
FL-00017,Jacksonville House,Susan Martinez,info@jacksonvillehou.com,+1 (954) 571-1683,3260 Main St,Jacksonville,FL,Jacksonville County,61156,bar,A,FL_Scraper,"Restaurant,FL,Jacksonville",2026-05-07T20:48:34.233543,"State Population: 21,538,187"
FL-00018,Tallahassee House,Elizabeth Brown,info@tallahasseehous.com,+1 (954) 940-7290,4139 Maple St,Tallahassee,FL,Tallahassee County,18460,bar,A,FL_Scraper,"Restaurant,FL,Tallahassee",2026-05-07T20:48:34.233549,"State Population: 21,538,187"
FL-00019,Jacksonville Tavern,Susan Jones,info@jacksonvilletav.com,+1 (407) 922-7711,6742 Elm St,Jacksonville,FL,Jacksonville County,97476,grill,A,FL_Scraper,"Restaurant,FL,Jacksonville",2026-05-07T20:48:34.233555,"State Population: 21,538,187"
FL-00020,The Johnson Restaurant,Patricia Miller,info@thejohnsonresta.com,+1 (239) 968-2228,3585 Main St,Tallahassee,FL,Tallahassee County,32597,restaurant,A,FL_Scraper,"Restaurant,FL,Tallahassee",2026-05-07T20:48:34.233561,"State Population: 21,538,187"
FL-00021,Jacksonville Tavern,Robert Jones,info@jacksonvilletav.com,+1 (904) 814-1888,4995 Maple St,Jacksonville,FL,Jacksonville County,33935,restaurant,A,FL_Scraper,"Restaurant,FL,Jacksonville",2026-05-07T20:48:34.233567,"State Population: 21,538,187"
FL-00022,Orlando Bar,Susan Garcia,info@orlandobar.com,+1 (813) 922-3826,8782 Oak St,Orlando,FL,Orlando County,75920,cafe,A,FL_Scraper,"Restaurant,FL,Orlando",2026-05-07T20:48:34.233573,"State Population: 21,538,187"
FL-00023,Jacksonville Pub,Mary Taylor,info@jacksonvillepub.com,+1 (561) 287-4235,8695 Pine St,Jacksonville,FL,Jacksonville County,96280,bar,A,FL_Scraper,"Restaurant,FL,Jacksonville",2026-05-07T20:48:34.233586,"State Population: 21,538,187"
FL-00024,Tallahassee Grill,Barbara Rodriguez,info@tallahasseegril.com,+1 (954) 914-6425,4401 Oak St,Tallahassee,FL,Tallahassee County,26068,restaurant,A,FL_Scraper,"Restaurant,FL,Tallahassee",2026-05-07T20:48:34.233593,"State Population: 21,538,187"
FL-00025,Tallahassee House,Patricia Davis,info@tallahasseehous.com,+1 (904) 678-3014,5534 Main St,Tallahassee,FL,Tallahassee County,26311,grill,A,FL_Scraper,"Restaurant,FL,Tallahassee",2026-05-07T20:48:34.233599,"State Population: 21,538,187"
FL-00026,Miami Bistro,William Davis,info@miamibistro.com,+1 (407) 885-2365,4291 Maple St,Miami,FL,Miami County,15110,restaurant,A,FL_Scraper,"Restaurant,FL,Miami",2026-05-07T20:48:34.233608,"State Population: 21,538,187"
FL-00027,Tampa Cafe,Jennifer Garcia,info@tampacafe.com,+1 (305) 400-3234,6939 Maple St,Tampa,FL,Tampa County,30565,restaurant,A,FL_Scraper,"Restaurant,FL,Tampa",2026-05-07T20:48:34.233615,"State Population: 21,538,187"
FL-00028,Orlando Bistro,Robert Wilson,info@orlandobistro.com,+1 (954) 987-9029,3808 Main St,Orlando,FL,Orlando County,27916,grill,A,FL_Scraper,"Restaurant,FL,Orlando",2026-05-07T20:48:34.233621,"State Population: 21,538,187"
FL-00029,Miami Kitchen,John Anderson,info@miamikitchen.com,+1 (904) 765-7300,9386 Elm St,Miami,FL,Miami County,15707,bar,A,FL_Scraper,"Restaurant,FL,Miami",2026-05-07T20:48:34.233630,"State Population: 21,538,187"
FL-00030,Jacksonville Diner,Michael Wilson,info@jacksonvilledin.com,+1 (239) 277-5222,4767 Maple St,Jacksonville,FL,Jacksonville County,94576,restaurant,A,FL_Scraper,"Restaurant,FL,Jacksonville",2026-05-07T20:48:34.233636,"State Population: 21,538,187"
FL-00031,Tampa House,Richard Taylor,info@tampahouse.com,+1 (407) 799-4802,6552 Maple St,Tampa,FL,Tampa County,96554,cafe,A,FL_Scraper,"Restaurant,FL,Tampa",2026-05-07T20:48:34.233642,"State Population: 21,538,187"
FL-00032,Tampa House,Michael Wilson,info@tampahouse.com,+1 (239) 249-1711,6308 Maple St,Tampa,FL,Tampa County,88773,cafe,A,FL_Scraper,"Restaurant,FL,Tampa",2026-05-07T20:48:34.233648,"State Population: 21,538,187"
FL-00033,Tallahassee Kitchen,Susan Wilson,info@tallahasseekitc.com,+1 (813) 266-8416,5025 Oak St,Tallahassee,FL,Tallahassee County,70105,grill,A,FL_Scraper,"Restaurant,FL,Tallahassee",2026-05-07T20:48:34.233654,"State Population: 21,538,187"
FL-00034,Tallahassee Diner,Robert Brown,info@tallahasseedine.com,+1 (561) 836-2135,3378 Elm St,Tallahassee,FL,Tallahassee County,35080,grill,A,FL_Scraper,"Restaurant,FL,Tallahassee",2026-05-07T20:48:34.233660,"State Population: 21,538,187"
FL-00035,Jacksonville Bistro,Mary Rodriguez,info@jacksonvillebis.com,+1 (239) 441-4020,2908 Pine St,Jacksonville,FL,Jacksonville County,43234,grill,A,FL_Scraper,"Restaurant,FL,Jacksonville",2026-05-07T20:48:34.233666,"State Population: 21,538,187"
FL-00036,Tampa Diner,Elizabeth Martinez,info@tampadiner.com,+1 (305) 785-9944,2285 Maple St,Tampa,FL,Tampa County,94252,cafe,A,FL_Scraper,"Restaurant,FL,Tampa",2026-05-07T20:48:34.233675,"State Population: 21,538,187"
FL-00037,Jacksonville Bar,David Taylor,info@jacksonvillebar.com,+1 (813) 490-6376,9712 Oak St,Jacksonville,FL,Jacksonville County,17730,bar,A,FL_Scraper,"Restaurant,FL,Jacksonville",2026-05-07T20:48:34.233684,"State Population: 21,538,187"
FL-00038,The Brown Restaurant,Jennifer Rodriguez,info@thebrownrestaur.com,+1 (954) 887-9269,2937 Maple St,Jacksonville,FL,Jacksonville County,25348,restaurant,A,FL_Scraper,"Restaurant,FL,Jacksonville",2026-05-07T20:48:34.233690,"State Population: 21,538,187"
FL-00039,Orlando Cafe,David Brown,info@orlandocafe.com,+1 (561) 705-5447,1090 Main St,Orlando,FL,Orlando County,73622,bar,A,FL_Scraper,"Restaurant,FL,Orlando",2026-05-07T20:48:34.233695,"State Population: 21,538,187"
FL-00040,Tallahassee Bar,Patricia Johnson,info@tallahasseebar.com,+1 (561) 948-3965,2019 Maple St,Tallahassee,FL,Tallahassee County,35163,cafe,A,FL_Scraper,"Restaurant,FL,Tallahassee",2026-05-07T20:48:34.233704,"State Population: 21,538,187"
FL-00041,The Taylor Restaurant,David Smith,info@thetaylorrestau.com,+1 (813) 274-6882,4730 Oak St,Jacksonville,FL,Jacksonville County,76980,grill,A,FL_Scraper,"Restaurant,FL,Jacksonville",2026-05-07T20:48:34.233710,"State Population: 21,538,187"
FL-00042,The Garcia Restaurant,Michael Brown,info@thegarciarestau.com,+1 (813) 102-8355,9752 Pine St,Orlando,FL,Orlando County,42297,restaurant,A,FL_Scraper,"Restaurant,FL,Orlando",2026-05-07T20:48:34.233716,"State Population: 21,538,187"
FL-00043,Tampa Bar,David Taylor,info@tampabar.com,+1 (904) 891-6987,4613 Elm St,Tampa,FL,Tampa County,71054,bar,A,FL_Scraper,"Restaurant,FL,Tampa",2026-05-07T20:48:34.233722,"State Population: 21,538,187"
FL-00044,Tampa Diner,Michael Garcia,info@tampadiner.com,+1 (239) 215-5065,2657 Pine St,Tampa,FL,Tampa County,47131,cafe,A,FL_Scraper,"Restaurant,FL,Tampa",2026-05-07T20:48:34.233731,"State Population: 21,538,187"
FL-00045,Jacksonville Bar,John Wilson,info@jacksonvillebar.com,+1 (561) 694-4936,438 Oak St,Jacksonville,FL,Jacksonville County,66784,grill,A,FL_Scraper,"Restaurant,FL,Jacksonville",2026-05-07T20:48:34.233737,"State Population: 21,538,187"
FL-00046,Tallahassee Eatery,Mary Wilson,info@tallahasseeeate.com,+1 (813) 827-8243,4354 Elm St,Tallahassee,FL,Tallahassee County,65230,grill,A,FL_Scraper,"Restaurant,FL,Tallahassee",2026-05-07T20:48:34.233746,"State Population: 21,538,187"
FL-00047,Orlando Bar,Robert Smith,info@orlandobar.com,+1 (904) 853-1024,7006 Maple St,Orlando,FL,Orlando County,30472,grill,A,FL_Scraper,"Restaurant,FL,Orlando",2026-05-07T20:48:34.233752,"State Population: 21,538,187"
FL-00048,Miami Pub,David Rodriguez,info@miamipub.com,+1 (239) 365-4002,6792 Pine St,Miami,FL,Miami County,75112,restaurant,A,FL_Scraper,"Restaurant,FL,Miami",2026-05-07T20:48:34.233758,"State Population: 21,538,187"
