id,company_name,contact_name,email,phone,address,city,state,county,zip,business_type,priority,source,tags,scraped_at,notes
GA-00000,Augusta Bistro,Mary Rodriguez,info@augustabistro.com,+1 (555) 605-6154,7721 Elm St,Augusta,GA,Augusta County,41902,grill,A,GA_Scraper,"Restaurant,GA,Augusta",2026-05-07T20:48:34.221096,"State Population: 10,711,908"
GA-00001,Savannah House,Richard Rodriguez,info@savannahhouse.com,+1 (555) 262-3890,6506 Oak St,Savannah,GA,Savannah County,36206,cafe,A,GA_Scraper,"Restaurant,GA,Savannah",2026-05-07T20:48:34.221124,"State Population: 10,711,908"
GA-00002,Atlanta Bistro,John Jones,info@atlantabistro.com,+1 (555) 433-4498,4525 Maple St,Atlanta,GA,Atlanta County,46667,cafe,A,GA_Scraper,"Restaurant,GA,Atlanta",2026-05-07T20:48:34.221136,"State Population: 10,711,908"
GA-00003,Augusta Bistro,Barbara Garcia,info@augustabistro.com,+1 (555) 442-6893,5718 Oak St,Augusta,GA,Augusta County,22727,bar,A,GA_Scraper,"Restaurant,GA,Augusta",2026-05-07T20:48:34.221146,"State Population: 10,711,908"
GA-00004,Augusta Eatery,Patricia Taylor,info@augustaeatery.com,+1 (555) 646-1287,6568 Main St,Augusta,GA,Augusta County,35845,cafe,A,GA_Scraper,"Restaurant,GA,Augusta",2026-05-07T20:48:34.221155,"State Population: 10,711,908"
GA-00005,Macon Diner,Elizabeth Wilson,info@macondiner.com,+1 (555) 621-7995,1148 Main St,Macon,GA,Macon County,91694,cafe,A,GA_Scraper,"Restaurant,GA,Macon",2026-05-07T20:48:34.221165,"State Population: 10,711,908"
GA-00006,Atlanta Kitchen,Linda Rodriguez,info@atlantakitchen.com,+1 (555) 344-1351,4729 Oak St,Atlanta,GA,Atlanta County,80820,grill,A,GA_Scraper,"Restaurant,GA,Atlanta",2026-05-07T20:48:34.221182,"State Population: 10,711,908"
GA-00007,Atlanta Bar,Barbara Jones,info@atlantabar.com,+1 (555) 668-4941,7697 Oak St,Atlanta,GA,Atlanta County,38456,restaurant,A,GA_Scraper,"Restaurant,GA,Atlanta",2026-05-07T20:48:34.221192,"State Population: 10,711,908"
GA-00008,Savannah Kitchen,David Anderson,info@savannahkitchen.com,+1 (555) 533-1629,4471 Maple St,Savannah,GA,Savannah County,59762,restaurant,A,GA_Scraper,"Restaurant,GA,Savannah",2026-05-07T20:48:34.221205,"State Population: 10,711,908"
GA-00009,Atlanta Grill,Richard Wilson,info@atlantagrill.com,+1 (555) 315-2763,1473 Main St,Atlanta,GA,Atlanta County,57109,grill,A,GA_Scraper,"Restaurant,GA,Atlanta",2026-05-07T20:48:34.221215,"State Population: 10,711,908"
GA-00010,Augusta House,Patricia Rodriguez,info@augustahouse.com,+1 (555) 237-4473,3690 Oak St,Augusta,GA,Augusta County,12872,cafe,A,GA_Scraper,"Restaurant,GA,Augusta",2026-05-07T20:48:34.221223,"State Population: 10,711,908"
GA-00011,Macon Bar,William Jones,info@maconbar.com,+1 (555) 533-9930,9405 Oak St,Macon,GA,Macon County,95593,grill,A,GA_Scraper,"Restaurant,GA,Macon",2026-05-07T20:48:34.221232,"State Population: 10,711,908"
GA-00012,Augusta Diner,Linda Brown,info@augustadiner.com,+1 (555) 526-1500,5627 Main St,Augusta,GA,Augusta County,96365,grill,A,GA_Scraper,"Restaurant,GA,Augusta",2026-05-07T20:48:34.221241,"State Population: 10,711,908"
GA-00013,Savannah Cafe,John Anderson,info@savannahcafe.com,+1 (555) 586-5090,3451 Elm St,Savannah,GA,Savannah County,21166,grill,A,GA_Scraper,"Restaurant,GA,Savannah",2026-05-07T20:48:34.221249,"State Population: 10,711,908"
GA-00014,Augusta Bar,Linda Davis,info@augustabar.com,+1 (555) 934-1197,8444 Main St,Augusta,GA,Augusta County,96059,bar,A,GA_Scraper,"Restaurant,GA,Augusta",2026-05-07T20:48:34.221262,"State Population: 10,711,908"
GA-00015,Atlanta House,Mary Martinez,info@atlantahouse.com,+1 (555) 273-8776,8508 Oak St,Atlanta,GA,Atlanta County,37746,cafe,A,GA_Scraper,"Restaurant,GA,Atlanta",2026-05-07T20:48:34.221271,"State Population: 10,711,908"
GA-00016,Macon Grill,Jennifer Davis,info@macongrill.com,+1 (555) 360-2291,7297 Main St,Macon,GA,Macon County,91494,cafe,A,GA_Scraper,"Restaurant,GA,Macon",2026-05-07T20:48:34.221283,"State Population: 10,711,908"
GA-00017,Augusta Kitchen,David Taylor,info@augustakitchen.com,+1 (555) 564-5542,5527 Pine St,Augusta,GA,Augusta County,63883,restaurant,A,GA_Scraper,"Restaurant,GA,Augusta",2026-05-07T20:48:34.221292,"State Population: 10,711,908"
GA-00018,Augusta Grill,Elizabeth Miller,info@augustagrill.com,+1 (555) 725-7945,1900 Oak St,Augusta,GA,Augusta County,91852,grill,A,GA_Scraper,"Restaurant,GA,Augusta",2026-05-07T20:48:34.221301,"State Population: 10,711,908"
GA-00019,Savannah Bar,Richard Brown,info@savannahbar.com,+1 (555) 158-8352,1048 Main St,Savannah,GA,Savannah County,49666,cafe,A,GA_Scraper,"Restaurant,GA,Savannah",2026-05-07T20:48:34.221310,"State Population: 10,711,908"
GA-00020,Macon Grill,Richard Miller,info@macongrill.com,+1 (555) 671-1920,6796 Elm St,Macon,GA,Macon County,30039,cafe,A,GA_Scraper,"Restaurant,GA,Macon",2026-05-07T20:48:34.221318,"State Population: 10,711,908"
GA-00021,Savannah House,James Johnson,info@savannahhouse.com,+1 (555) 991-1992,8468 Pine St,Savannah,GA,Savannah County,98059,bar,A,GA_Scraper,"Restaurant,GA,Savannah",2026-05-07T20:48:34.221332,"State Population: 10,711,908"
GA-00022,Augusta Pub,Richard Taylor,info@augustapub.com,+1 (555) 833-8503,8708 Pine St,Augusta,GA,Augusta County,56568,restaurant,A,GA_Scraper,"Restaurant,GA,Augusta",2026-05-07T20:48:34.221340,"State Population: 10,711,908"
GA-00023,Augusta House,Linda Garcia,info@augustahouse.com,+1 (555) 547-1909,4816 Maple St,Augusta,GA,Augusta County,53918,grill,A,GA_Scraper,"Restaurant,GA,Augusta",2026-05-07T20:48:34.221349,"State Population: 10,711,908"
