id,company_name,contact_name,email,phone,address,city,state,county,zip,business_type,priority,source,tags,scraped_at,notes
LA-00000,New Orleans House,Patricia Miller,info@neworleanshouse.com,+1 (555) 163-5858,2776 Maple St,New Orleans,LA,New Orleans County,12848,bar,C,LA_Scraper,"Restaurant,LA,New Orleans",2026-05-07T20:48:34.168454,"State Population: 4,657,757"
LA-00001,The Martinez Restaurant,Jennifer Wilson,info@themartinezrest.com,+1 (555) 502-5598,1667 Oak St,Baton Rouge,LA,Baton Rouge County,44858,restaurant,C,LA_Scraper,"Restaurant,LA,Baton Rouge",2026-05-07T20:48:34.168483,"State Population: 4,657,757"
LA-00002,Baton Rouge Diner,Barbara Martinez,info@batonrougediner.com,+1 (555) 467-5549,5294 Main St,Baton Rouge,LA,Baton Rouge County,34922,cafe,C,LA_Scraper,"Restaurant,LA,Baton Rouge",2026-05-07T20:48:34.168497,"State Population: 4,657,757"
LA-00003,Lafayette Pub,John Rodriguez,info@lafayettepub.com,+1 (555) 689-6170,9148 Pine St,Lafayette,LA,Lafayette County,45072,restaurant,C,LA_Scraper,"Restaurant,LA,Lafayette",2026-05-07T20:48:34.168509,"State Population: 4,657,757"
LA-00004,Lafayette Cafe,Michael Smith,info@lafayettecafe.com,+1 (555) 609-4064,1704 Main St,Lafayette,LA,Lafayette County,80467,grill,C,LA_Scraper,"Restaurant,LA,Lafayette",2026-05-07T20:48:34.168520,"State Population: 4,657,757"
LA-00005,Lafayette Grill,Richard Johnson,info@lafayettegrill.com,+1 (555) 315-6232,5142 Main St,Lafayette,LA,Lafayette County,52811,cafe,C,LA_Scraper,"Restaurant,LA,Lafayette",2026-05-07T20:48:34.168534,"State Population: 4,657,757"
LA-00006,Shreveport Bar,John Miller,info@shreveportbar.com,+1 (555) 356-9686,6281 Oak St,Shreveport,LA,Shreveport County,82749,grill,C,LA_Scraper,"Restaurant,LA,Shreveport",2026-05-07T20:48:34.168549,"State Population: 4,657,757"
LA-00007,Lafayette Diner,Patricia Miller,info@lafayettediner.com,+1 (555) 463-5177,8386 Maple St,Lafayette,LA,Lafayette County,62987,grill,C,LA_Scraper,"Restaurant,LA,Lafayette",2026-05-07T20:48:34.168560,"State Population: 4,657,757"
LA-00008,Baton Rouge Pub,Elizabeth Miller,info@batonrougepub.com,+1 (555) 931-7892,8662 Pine St,Baton Rouge,LA,Baton Rouge County,83277,restaurant,C,LA_Scraper,"Restaurant,LA,Baton Rouge",2026-05-07T20:48:34.168573,"State Population: 4,657,757"
LA-00009,Shreveport Bistro,Jennifer Miller,info@shreveportbistr.com,+1 (555) 630-2960,8610 Maple St,Shreveport,LA,Shreveport County,19907,grill,C,LA_Scraper,"Restaurant,LA,Shreveport",2026-05-07T20:48:34.168584,"State Population: 4,657,757"
LA-00010,Lafayette Pub,James Garcia,info@lafayettepub.com,+1 (555) 733-7904,5168 Maple St,Lafayette,LA,Lafayette County,65245,restaurant,C,LA_Scraper,"Restaurant,LA,Lafayette",2026-05-07T20:48:34.168593,"State Population: 4,657,757"
LA-00011,The Johnson Restaurant,John Jones,info@thejohnsonresta.com,+1 (555) 629-2093,7667 Pine St,Baton Rouge,LA,Baton Rouge County,56260,cafe,C,LA_Scraper,"Restaurant,LA,Baton Rouge",2026-05-07T20:48:34.168604,"State Population: 4,657,757"
LA-00012,Shreveport House,Richard Davis,info@shreveporthouse.com,+1 (555) 357-5867,3743 Main St,Shreveport,LA,Shreveport County,78130,bar,C,LA_Scraper,"Restaurant,LA,Shreveport",2026-05-07T20:48:34.168615,"State Population: 4,657,757"
LA-00013,Lafayette Kitchen,James Wilson,info@lafayettekitche.com,+1 (555) 214-8833,5590 Main St,Lafayette,LA,Lafayette County,98322,grill,C,LA_Scraper,"Restaurant,LA,Lafayette",2026-05-07T20:48:34.168625,"State Population: 4,657,757"
LA-00014,Shreveport Grill,Patricia Wilson,info@shreveportgrill.com,+1 (555) 776-3572,913 Main St,Shreveport,LA,Shreveport County,70123,grill,C,LA_Scraper,"Restaurant,LA,Shreveport",2026-05-07T20:48:34.168635,"State Population: 4,657,757"
LA-00015,Shreveport Bar,Robert Williams,info@shreveportbar.com,+1 (555) 984-8541,4922 Maple St,Shreveport,LA,Shreveport County,28484,cafe,C,LA_Scraper,"Restaurant,LA,Shreveport",2026-05-07T20:48:34.168645,"State Population: 4,657,757"
LA-00016,New Orleans Grill,Barbara Wilson,info@neworleansgrill.com,+1 (555) 895-9825,8057 Main St,New Orleans,LA,New Orleans County,44220,cafe,C,LA_Scraper,"Restaurant,LA,New Orleans",2026-05-07T20:48:34.168666,"State Population: 4,657,757"
LA-00017,Shreveport Grill,Susan Garcia,info@shreveportgrill.com,+1 (555) 354-6261,4470 Pine St,Shreveport,LA,Shreveport County,26317,restaurant,C,LA_Scraper,"Restaurant,LA,Shreveport",2026-05-07T20:48:34.168676,"State Population: 4,657,757"
LA-00018,Shreveport Diner,John Jones,info@shreveportdiner.com,+1 (555) 906-8306,9781 Pine St,Shreveport,LA,Shreveport County,34415,restaurant,C,LA_Scraper,"Restaurant,LA,Shreveport",2026-05-07T20:48:34.168686,"State Population: 4,657,757"
LA-00019,Baton Rouge Bar,David Williams,info@batonrougebar.com,+1 (555) 688-1623,4615 Elm St,Baton Rouge,LA,Baton Rouge County,82896,cafe,C,LA_Scraper,"Restaurant,LA,Baton Rouge",2026-05-07T20:48:34.168695,"State Population: 4,657,757"
LA-00020,New Orleans Kitchen,Patricia Rodriguez,info@neworleanskitch.com,+1 (555) 391-8094,165 Main St,New Orleans,LA,New Orleans County,27015,grill,C,LA_Scraper,"Restaurant,LA,New Orleans",2026-05-07T20:48:34.168710,"State Population: 4,657,757"
LA-00021,Baton Rouge Bar,Susan Garcia,info@batonrougebar.com,+1 (555) 729-1004,5984 Maple St,Baton Rouge,LA,Baton Rouge County,71317,grill,C,LA_Scraper,"Restaurant,LA,Baton Rouge",2026-05-07T20:48:34.168721,"State Population: 4,657,757"
LA-00022,New Orleans Bar,Barbara Taylor,info@neworleansbar.com,+1 (555) 734-8804,5047 Maple St,New Orleans,LA,New Orleans County,11096,grill,C,LA_Scraper,"Restaurant,LA,New Orleans",2026-05-07T20:48:34.168731,"State Population: 4,657,757"
