id,company_name,contact_name,email,phone,address,city,state,county,zip,business_type,priority,source,tags,scraped_at,notes
NC-00000,Greensboro Bar,Richard Jones,info@greensborobar.com,+1 (555) 264-3988,9545 Oak St,Greensboro,NC,Greensboro County,82243,cafe,A,NC_Scraper,"Restaurant,NC,Greensboro",2026-05-07T20:48:34.185738,"State Population: 10,439,388"
NC-00001,Raleigh Pub,Patricia Wilson,info@raleighpub.com,+1 (555) 497-8034,8474 Maple St,Raleigh,NC,Raleigh County,68132,grill,A,NC_Scraper,"Restaurant,NC,Raleigh",2026-05-07T20:48:34.185774,"State Population: 10,439,388"
NC-00002,Charlotte Pub,James Martinez,info@charlottepub.com,+1 (555) 357-5011,2901 Main St,Charlotte,NC,Charlotte County,37547,bar,A,NC_Scraper,"Restaurant,NC,Charlotte",2026-05-07T20:48:34.185790,"State Population: 10,439,388"
NC-00003,Raleigh Eatery,Patricia Martinez,info@raleigheatery.com,+1 (555) 864-6379,6570 Pine St,Raleigh,NC,Raleigh County,76434,grill,A,NC_Scraper,"Restaurant,NC,Raleigh",2026-05-07T20:48:34.185807,"State Population: 10,439,388"
NC-00004,Raleigh Bistro,Barbara Jones,info@raleighbistro.com,+1 (555) 230-1151,207 Elm St,Raleigh,NC,Raleigh County,87522,cafe,A,NC_Scraper,"Restaurant,NC,Raleigh",2026-05-07T20:48:34.185818,"State Population: 10,439,388"
NC-00005,Charlotte Grill,Mary Davis,info@charlottegrill.com,+1 (555) 998-9783,7005 Main St,Charlotte,NC,Charlotte County,34444,restaurant,A,NC_Scraper,"Restaurant,NC,Charlotte",2026-05-07T20:48:34.185839,"State Population: 10,439,388"
NC-00006,Charlotte House,David Garcia,info@charlottehouse.com,+1 (555) 176-3181,6444 Elm St,Charlotte,NC,Charlotte County,26480,restaurant,A,NC_Scraper,"Restaurant,NC,Charlotte",2026-05-07T20:48:34.185863,"State Population: 10,439,388"
NC-00007,Charlotte Tavern,Richard Wilson,info@charlottetavern.com,+1 (555) 557-7560,4016 Elm St,Charlotte,NC,Charlotte County,87855,grill,A,NC_Scraper,"Restaurant,NC,Charlotte",2026-05-07T20:48:34.185887,"State Population: 10,439,388"
NC-00008,Durham Grill,David Taylor,info@durhamgrill.com,+1 (555) 374-4064,8438 Oak St,Durham,NC,Durham County,91105,bar,A,NC_Scraper,"Restaurant,NC,Durham",2026-05-07T20:48:34.185898,"State Population: 10,439,388"
NC-00009,Durham Diner,Barbara Martinez,info@durhamdiner.com,+1 (555) 330-2903,8553 Pine St,Durham,NC,Durham County,47427,cafe,A,NC_Scraper,"Restaurant,NC,Durham",2026-05-07T20:48:34.185908,"State Population: 10,439,388"
NC-00010,The Johnson Restaurant,Richard Williams,info@thejohnsonresta.com,+1 (555) 713-4040,2097 Oak St,Charlotte,NC,Charlotte County,80222,grill,A,NC_Scraper,"Restaurant,NC,Charlotte",2026-05-07T20:48:34.185918,"State Population: 10,439,388"
NC-00011,Raleigh Cafe,John Smith,info@raleighcafe.com,+1 (555) 641-9249,5532 Main St,Raleigh,NC,Raleigh County,86828,bar,A,NC_Scraper,"Restaurant,NC,Raleigh",2026-05-07T20:48:34.185927,"State Population: 10,439,388"
NC-00012,Charlotte Grill,David Rodriguez,info@charlottegrill.com,+1 (555) 251-5992,1716 Elm St,Charlotte,NC,Charlotte County,59280,bar,A,NC_Scraper,"Restaurant,NC,Charlotte",2026-05-07T20:48:34.185937,"State Population: 10,439,388"
NC-00013,Charlotte Kitchen,David Martinez,info@charlottekitche.com,+1 (555) 778-6896,2868 Pine St,Charlotte,NC,Charlotte County,89726,restaurant,A,NC_Scraper,"Restaurant,NC,Charlotte",2026-05-07T20:48:34.185946,"State Population: 10,439,388"
NC-00014,Raleigh Bar,Linda Anderson,info@raleighbar.com,+1 (555) 781-8388,1270 Main St,Raleigh,NC,Raleigh County,31977,grill,A,NC_Scraper,"Restaurant,NC,Raleigh",2026-05-07T20:48:34.185977,"State Population: 10,439,388"
NC-00015,Greensboro Bar,David Brown,info@greensborobar.com,+1 (555) 270-7375,7842 Elm St,Greensboro,NC,Greensboro County,94538,bar,A,NC_Scraper,"Restaurant,NC,Greensboro",2026-05-07T20:48:34.185998,"State Population: 10,439,388"
NC-00016,Greensboro Bistro,Robert Taylor,info@greensborobistr.com,+1 (555) 728-6154,728 Pine St,Greensboro,NC,Greensboro County,60472,bar,A,NC_Scraper,"Restaurant,NC,Greensboro",2026-05-07T20:48:34.186013,"State Population: 10,439,388"
NC-00017,Greensboro Cafe,Robert Martinez,info@greensborocafe.com,+1 (555) 578-9567,9072 Main St,Greensboro,NC,Greensboro County,79872,restaurant,A,NC_Scraper,"Restaurant,NC,Greensboro",2026-05-07T20:48:34.186024,"State Population: 10,439,388"
NC-00018,Greensboro Bistro,Barbara Anderson,info@greensborobistr.com,+1 (555) 986-2421,5144 Elm St,Greensboro,NC,Greensboro County,59250,grill,A,NC_Scraper,"Restaurant,NC,Greensboro",2026-05-07T20:48:34.186033,"State Population: 10,439,388"
NC-00019,Raleigh Bar,John Davis,info@raleighbar.com,+1 (555) 497-7315,7778 Maple St,Raleigh,NC,Raleigh County,16158,cafe,A,NC_Scraper,"Restaurant,NC,Raleigh",2026-05-07T20:48:34.186042,"State Population: 10,439,388"
NC-00020,Durham Cafe,David Brown,info@durhamcafe.com,+1 (555) 188-3409,3354 Main St,Durham,NC,Durham County,58512,bar,A,NC_Scraper,"Restaurant,NC,Durham",2026-05-07T20:48:34.186052,"State Population: 10,439,388"
NC-00021,The Anderson Restaurant,David Garcia,info@theandersonrest.com,+1 (555) 181-9134,6658 Maple St,Durham,NC,Durham County,52025,grill,A,NC_Scraper,"Restaurant,NC,Durham",2026-05-07T20:48:34.186061,"State Population: 10,439,388"
NC-00022,Raleigh House,James Jones,info@raleighhouse.com,+1 (555) 728-4987,5132 Maple St,Raleigh,NC,Raleigh County,60533,bar,A,NC_Scraper,"Restaurant,NC,Raleigh",2026-05-07T20:48:34.186073,"State Population: 10,439,388"
NC-00023,Raleigh Cafe,James Williams,info@raleighcafe.com,+1 (555) 558-2674,2805 Oak St,Raleigh,NC,Raleigh County,83772,cafe,A,NC_Scraper,"Restaurant,NC,Raleigh",2026-05-07T20:48:34.186082,"State Population: 10,439,388"
NC-00024,Raleigh Grill,Patricia Rodriguez,info@raleighgrill.com,+1 (555) 130-1653,1764 Pine St,Raleigh,NC,Raleigh County,51088,restaurant,A,NC_Scraper,"Restaurant,NC,Raleigh",2026-05-07T20:48:34.186091,"State Population: 10,439,388"
NC-00025,Charlotte Kitchen,Robert Rodriguez,info@charlottekitche.com,+1 (555) 931-2462,2192 Maple St,Charlotte,NC,Charlotte County,63372,grill,A,NC_Scraper,"Restaurant,NC,Charlotte",2026-05-07T20:48:34.186100,"State Population: 10,439,388"
NC-00026,Raleigh House,John Martinez,info@raleighhouse.com,+1 (555) 946-2147,5907 Pine St,Raleigh,NC,Raleigh County,91929,restaurant,A,NC_Scraper,"Restaurant,NC,Raleigh",2026-05-07T20:48:34.186113,"State Population: 10,439,388"
NC-00027,Charlotte Grill,Susan Garcia,info@charlottegrill.com,+1 (555) 805-7409,1360 Main St,Charlotte,NC,Charlotte County,20601,grill,A,NC_Scraper,"Restaurant,NC,Charlotte",2026-05-07T20:48:34.186122,"State Population: 10,439,388"
NC-00028,The Anderson Restaurant,Patricia Miller,info@theandersonrest.com,+1 (555) 689-2879,886 Oak St,Charlotte,NC,Charlotte County,85891,bar,A,NC_Scraper,"Restaurant,NC,Charlotte",2026-05-07T20:48:34.186140,"State Population: 10,439,388"
NC-00029,Charlotte Pub,John Wilson,info@charlottepub.com,+1 (555) 313-6665,9703 Oak St,Charlotte,NC,Charlotte County,24375,bar,A,NC_Scraper,"Restaurant,NC,Charlotte",2026-05-07T20:48:34.186151,"State Population: 10,439,388"
NC-00030,Raleigh Kitchen,William Taylor,info@raleighkitchen.com,+1 (555) 817-7113,7895 Elm St,Raleigh,NC,Raleigh County,11215,grill,A,NC_Scraper,"Restaurant,NC,Raleigh",2026-05-07T20:48:34.186161,"State Population: 10,439,388"
NC-00031,Greensboro Tavern,Barbara Taylor,info@greensborotaver.com,+1 (555) 931-4380,6690 Maple St,Greensboro,NC,Greensboro County,45423,restaurant,A,NC_Scraper,"Restaurant,NC,Greensboro",2026-05-07T20:48:34.186170,"State Population: 10,439,388"
NC-00032,Durham Diner,John Rodriguez,info@durhamdiner.com,+1 (555) 584-8824,8165 Elm St,Durham,NC,Durham County,37021,restaurant,A,NC_Scraper,"Restaurant,NC,Durham",2026-05-07T20:48:34.186179,"State Population: 10,439,388"
NC-00033,Durham House,John Williams,info@durhamhouse.com,+1 (555) 928-1007,715 Oak St,Durham,NC,Durham County,83589,cafe,A,NC_Scraper,"Restaurant,NC,Durham",2026-05-07T20:48:34.186196,"State Population: 10,439,388"
NC-00034,Raleigh Bar,David Garcia,info@raleighbar.com,+1 (555) 184-3025,8736 Pine St,Raleigh,NC,Raleigh County,63979,grill,A,NC_Scraper,"Restaurant,NC,Raleigh",2026-05-07T20:48:34.186209,"State Population: 10,439,388"
NC-00035,Durham Diner,John Davis,info@durhamdiner.com,+1 (555) 313-5519,788 Maple St,Durham,NC,Durham County,24309,grill,A,NC_Scraper,"Restaurant,NC,Durham",2026-05-07T20:48:34.186230,"State Population: 10,439,388"
NC-00036,Charlotte Bistro,John Smith,info@charlottebistro.com,+1 (555) 678-7655,1041 Main St,Charlotte,NC,Charlotte County,31478,grill,A,NC_Scraper,"Restaurant,NC,Charlotte",2026-05-07T20:48:34.186249,"State Population: 10,439,388"
NC-00037,Charlotte Diner,Barbara Rodriguez,info@charlottediner.com,+1 (555) 721-6116,4015 Main St,Charlotte,NC,Charlotte County,32004,bar,A,NC_Scraper,"Restaurant,NC,Charlotte",2026-05-07T20:48:34.186257,"State Population: 10,439,388"
NC-00038,Durham Bistro,Richard Wilson,info@durhambistro.com,+1 (555) 855-1960,1901 Pine St,Durham,NC,Durham County,91613,restaurant,A,NC_Scraper,"Restaurant,NC,Durham",2026-05-07T20:48:34.186265,"State Population: 10,439,388"
NC-00039,Durham Pub,Susan Wilson,info@durhampub.com,+1 (555) 417-2006,8302 Oak St,Durham,NC,Durham County,98033,cafe,A,NC_Scraper,"Restaurant,NC,Durham",2026-05-07T20:48:34.186273,"State Population: 10,439,388"
NC-00040,Durham Kitchen,Barbara Taylor,info@durhamkitchen.com,+1 (555) 245-5312,4544 Pine St,Durham,NC,Durham County,95707,restaurant,A,NC_Scraper,"Restaurant,NC,Durham",2026-05-07T20:48:34.186282,"State Population: 10,439,388"
NC-00041,Charlotte Diner,David Smith,info@charlottediner.com,+1 (555) 706-8620,1919 Oak St,Charlotte,NC,Charlotte County,24703,cafe,A,NC_Scraper,"Restaurant,NC,Charlotte",2026-05-07T20:48:34.186294,"State Population: 10,439,388"
NC-00042,Durham House,Richard Davis,info@durhamhouse.com,+1 (555) 905-8478,590 Maple St,Durham,NC,Durham County,21688,bar,A,NC_Scraper,"Restaurant,NC,Durham",2026-05-07T20:48:34.186303,"State Population: 10,439,388"
NC-00043,Raleigh Bistro,Susan Brown,info@raleighbistro.com,+1 (555) 950-9180,6058 Maple St,Raleigh,NC,Raleigh County,99307,bar,A,NC_Scraper,"Restaurant,NC,Raleigh",2026-05-07T20:48:34.186312,"State Population: 10,439,388"
NC-00044,Durham Tavern,William Taylor,info@durhamtavern.com,+1 (555) 650-1637,6279 Main St,Durham,NC,Durham County,20159,cafe,A,NC_Scraper,"Restaurant,NC,Durham",2026-05-07T20:48:34.186319,"State Population: 10,439,388"
NC-00045,Charlotte Grill,Michael Brown,info@charlottegrill.com,+1 (555) 866-4713,6681 Elm St,Charlotte,NC,Charlotte County,20383,bar,A,NC_Scraper,"Restaurant,NC,Charlotte",2026-05-07T20:48:34.186327,"State Population: 10,439,388"
NC-00046,Charlotte Tavern,James Williams,info@charlottetavern.com,+1 (555) 554-6703,2630 Main St,Charlotte,NC,Charlotte County,47136,grill,A,NC_Scraper,"Restaurant,NC,Charlotte",2026-05-07T20:48:34.186342,"State Population: 10,439,388"
NC-00047,Raleigh Bistro,John Rodriguez,info@raleighbistro.com,+1 (555) 658-8442,9297 Main St,Raleigh,NC,Raleigh County,19827,grill,A,NC_Scraper,"Restaurant,NC,Raleigh",2026-05-07T20:48:34.186351,"State Population: 10,439,388"
NC-00048,Raleigh Bar,David Miller,info@raleighbar.com,+1 (555) 285-5666,8060 Main St,Raleigh,NC,Raleigh County,82174,bar,A,NC_Scraper,"Restaurant,NC,Raleigh",2026-05-07T20:48:34.186363,"State Population: 10,439,388"
NC-00049,Durham Tavern,Patricia Johnson,info@durhamtavern.com,+1 (555) 149-2989,319 Main St,Durham,NC,Durham County,96530,restaurant,A,NC_Scraper,"Restaurant,NC,Durham",2026-05-07T20:48:34.186375,"State Population: 10,439,388"
NC-00050,Greensboro Cafe,Linda Jones,info@greensborocafe.com,+1 (555) 605-3453,2449 Pine St,Greensboro,NC,Greensboro County,28954,bar,A,NC_Scraper,"Restaurant,NC,Greensboro",2026-05-07T20:48:34.186387,"State Population: 10,439,388"
NC-00051,Greensboro Cafe,Elizabeth Wilson,info@greensborocafe.com,+1 (555) 220-1735,1955 Main St,Greensboro,NC,Greensboro County,17860,cafe,A,NC_Scraper,"Restaurant,NC,Greensboro",2026-05-07T20:48:34.186419,"State Population: 10,439,388"
