id,company_name,contact_name,email,phone,address,city,state,county,zip,business_type,priority,source,tags,scraped_at,notes
SC-00000,Greenville Eatery,Susan Williams,info@greenvilleeater.com,+1 (555) 870-5437,5540 Main St,Greenville,SC,Greenville County,59303,cafe,B,SC_Scraper,"Restaurant,SC,Greenville",2026-05-07T20:48:34.166316,"State Population: 5,148,714"
SC-00001,Charleston House,John Jones,info@charlestonhouse.com,+1 (555) 558-8905,7213 Elm St,Charleston,SC,Charleston County,27207,bar,B,SC_Scraper,"Restaurant,SC,Charleston",2026-05-07T20:48:34.166342,"State Population: 5,148,714"
SC-00002,Columbia Cafe,Elizabeth Wilson,info@columbiacafe.com,+1 (555) 112-7236,7544 Maple St,Columbia,SC,Columbia County,30671,cafe,B,SC_Scraper,"Restaurant,SC,Columbia",2026-05-07T20:48:34.166355,"State Population: 5,148,714"
SC-00003,Myrtle Beach Grill,Mary Anderson,info@myrtlebeachgril.com,+1 (555) 858-4289,3184 Pine St,Myrtle Beach,SC,Myrtle Beach County,45706,bar,B,SC_Scraper,"Restaurant,SC,Myrtle Beach",2026-05-07T20:48:34.166365,"State Population: 5,148,714"
SC-00004,The Garcia Restaurant,Mary Williams,info@thegarciarestau.com,+1 (555) 863-5160,4345 Pine St,Charleston,SC,Charleston County,69934,grill,B,SC_Scraper,"Restaurant,SC,Charleston",2026-05-07T20:48:34.166379,"State Population: 5,148,714"
SC-00005,Charleston Kitchen,Elizabeth Smith,info@charlestonkitch.com,+1 (555) 811-9380,8625 Pine St,Charleston,SC,Charleston County,98967,grill,B,SC_Scraper,"Restaurant,SC,Charleston",2026-05-07T20:48:34.166389,"State Population: 5,148,714"
SC-00006,Myrtle Beach Grill,Patricia Rodriguez,info@myrtlebeachgril.com,+1 (555) 964-8877,148 Pine St,Myrtle Beach,SC,Myrtle Beach County,15687,cafe,B,SC_Scraper,"Restaurant,SC,Myrtle Beach",2026-05-07T20:48:34.167460,"State Population: 5,148,714"
SC-00007,Myrtle Beach Bar,Susan Miller,info@myrtlebeachbar.com,+1 (555) 734-9362,618 Elm St,Myrtle Beach,SC,Myrtle Beach County,71332,bar,B,SC_Scraper,"Restaurant,SC,Myrtle Beach",2026-05-07T20:48:34.167481,"State Population: 5,148,714"
SC-00008,Myrtle Beach Grill,Susan Miller,info@myrtlebeachgril.com,+1 (555) 693-1316,3014 Oak St,Myrtle Beach,SC,Myrtle Beach County,25112,cafe,B,SC_Scraper,"Restaurant,SC,Myrtle Beach",2026-05-07T20:48:34.167492,"State Population: 5,148,714"
SC-00009,Charleston Kitchen,William Brown,info@charlestonkitch.com,+1 (555) 916-3030,8852 Main St,Charleston,SC,Charleston County,24674,cafe,B,SC_Scraper,"Restaurant,SC,Charleston",2026-05-07T20:48:34.167505,"State Population: 5,148,714"
