id,business_name,business_type,owner_name,address,city,state,zip,county,phone,email,website,priority,source,scraped_at,enrichment_status,discovered_at,status
TX_ARL_56501,Diner House,diner,Elena (Owner),421 Commerce St,Arlington,TX,76008,Tarrant,(817) 641-6267,,,B,TX_Scraper_Arlington,2026-05-07T20:53:26.858228+00:00,pending,2026-05-07T20:53:26.858229+00:00,new
TX_ARL_43564,Antonio's Place,breakfast,Antonio (Owner),6982 Market St,Arlington,TX,76039,Tarrant,(817) 966-5129,,,B,TX_Scraper_Arlington,2026-05-07T20:53:26.858235+00:00,pending,2026-05-07T20:53:26.858236+00:00,new
TX_ARL_25494,Food Truck by John,food truck,John (Owner),4609 Broadway,Arlington,TX,76008,Tarrant,(682) 629-3446,,,B,TX_Scraper_Arlington,2026-05-07T20:53:26.858245+00:00,pending,2026-05-07T20:53:26.858246+00:00,new
TX_ARL_36674,Emma Food Truck,food truck,Emma (Owner),1713 1st St,Arlington,TX,76019,Tarrant,(817) 303-6777,,,B,TX_Scraper_Arlington,2026-05-07T20:53:26.858252+00:00,pending,2026-05-07T20:53:26.858253+00:00,new
TX_ARL_31255,Chinese by Francisco,chinese,Francisco (Owner),988 Jefferson Blvd,Arlington,TX,76005,Tarrant,(682) 351-4022,,,B,TX_Scraper_Arlington,2026-05-07T20:53:26.858259+00:00,pending,2026-05-07T20:53:26.858260+00:00,new
TX_ARL_10349,Carmen & Family Burger,burger,Carmen (Owner),4813 Pine St,Arlington,TX,76040,Tarrant,(817) 215-5142,,,B,TX_Scraper_Arlington,2026-05-07T20:53:26.858266+00:00,pending,2026-05-07T20:53:26.858267+00:00,new
TX_ARL_96467,Roberto's Thai,thai,Roberto (Owner),187 Texas Ave,Arlington,TX,76014,Tarrant,(682) 980-2722,,,B,TX_Scraper_Arlington,2026-05-07T20:53:26.858273+00:00,pending,2026-05-07T20:53:26.858274+00:00,new
TX_ARL_82180,Rosa Italian,italian,Rosa (Owner),2925 1st St,Arlington,TX,76037,Tarrant,(682) 623-9364,,,B,TX_Scraper_Arlington,2026-05-07T20:53:26.858283+00:00,pending,2026-05-07T20:53:26.858284+00:00,new
TX_ARL_96005,Carlos's Bakery,bakery,Carlos (Owner),8584 Market St,Arlington,TX,76039,Tarrant,(817) 523-4240,,,B,TX_Scraper_Arlington,2026-05-07T20:53:26.858289+00:00,pending,2026-05-07T20:53:26.858290+00:00,new
TX_ARL_77274,Sarah's Deli,deli,Sarah (Owner),4600 Elm St,Arlington,TX,76042,Tarrant,(682) 892-9025,,,B,TX_Scraper_Arlington,2026-05-07T20:53:26.858296+00:00,pending,2026-05-07T20:53:26.858297+00:00,new
TX_ARL_78222,Carlos's Vietnamese,vietnamese,Carlos (Owner),1606 Oak St,Arlington,TX,76021,Tarrant,(817) 965-5438,,,B,TX_Scraper_Arlington,2026-05-07T20:53:26.858302+00:00,pending,2026-05-07T20:53:26.858303+00:00,new
TX_ARL_45494,Tony's Mexican,mexican,Tony (Owner),1968 Texas Ave,Arlington,TX,76069,Tarrant,(817) 485-3877,,,B,TX_Scraper_Arlington,2026-05-07T20:53:26.858309+00:00,pending,2026-05-07T20:53:26.858310+00:00,new
TX_ARL_91130,Pizza by Jennifer,pizza,Jennifer (Owner),343 Main St,Arlington,TX,76007,Tarrant,(817) 391-9435,,,B,TX_Scraper_Arlington,2026-05-07T20:53:26.858318+00:00,pending,2026-05-07T20:53:26.858319+00:00,new
TX_ARL_27331,Bakery by Juan,bakery,Juan (Owner),543 Main St,Arlington,TX,76059,Tarrant,(817) 830-2669,,,B,TX_Scraper_Arlington,2026-05-07T20:53:26.858325+00:00,pending,2026-05-07T20:53:26.858326+00:00,new
TX_ARL_97574,Sarah Thai,thai,Sarah (Owner),6398 Market St,Arlington,TX,76044,Tarrant,(817) 749-3115,,,B,TX_Scraper_Arlington,2026-05-07T20:53:26.858332+00:00,pending,2026-05-07T20:53:26.858333+00:00,new
TX_ARL_46889,Roberto's Place,thai,Roberto (Owner),2777 Houston St,Arlington,TX,76005,Tarrant,(682) 507-7210,,,B,TX_Scraper_Arlington,2026-05-07T20:53:26.858338+00:00,pending,2026-05-07T20:53:26.858339+00:00,new
TX_ARL_44330,Cafe by Luis,cafe,Luis (Owner),1391 Houston St,Arlington,TX,76013,Tarrant,(682) 397-8208,,,B,TX_Scraper_Arlington,2026-05-07T20:53:26.858344+00:00,pending,2026-05-07T20:53:26.858345+00:00,new
