id,business_name,business_type,owner_name,address,city,state,zip,county,phone,email,website,priority,source,scraped_at,enrichment_status,discovered_at,status
TX_COR_35352,Jose's Restaurant,restaurant,Jose (Owner),5239 1st St,Corpus Christi,TX,78478,Nueces,(361) 885-7160,,,B,TX_Scraper_Corpus Christi,2026-05-07T20:53:26.858839+00:00,pending,2026-05-07T20:53:26.858841+00:00,new
TX_COR_42586,Italian House,italian,Pedro (Owner),547 Main St,Corpus Christi,TX,78465,Nueces,(361) 737-2045,,,B,TX_Scraper_Corpus Christi,2026-05-07T20:53:26.858846+00:00,pending,2026-05-07T20:53:26.858847+00:00,new
TX_COR_58134,Bbq by David,bbq,David (Owner),3197 Jefferson Blvd,Corpus Christi,TX,78461,Nueces,(361) 282-6814,,,B,TX_Scraper_Corpus Christi,2026-05-07T20:53:26.858853+00:00,pending,2026-05-07T20:53:26.858854+00:00,new
TX_COR_65934,Lisa Taqueria,taqueria,Lisa (Owner),7538 1st St,Corpus Christi,TX,78425,Nueces,(361) 251-5559,,,B,TX_Scraper_Corpus Christi,2026-05-07T20:53:26.858860+00:00,pending,2026-05-07T20:53:26.858861+00:00,new
TX_COR_29449,Antonio & Family Pizza,pizza,Antonio (Owner),3314 1st St,Corpus Christi,TX,78477,Nueces,(361) 333-8756,,,B,TX_Scraper_Corpus Christi,2026-05-07T20:53:26.858867+00:00,pending,2026-05-07T20:53:26.858868+00:00,new
TX_COR_50879,Burger House,burger,Pedro (Owner),4328 Dallas St,Corpus Christi,TX,78466,Nueces,(361) 757-5885,,,B,TX_Scraper_Corpus Christi,2026-05-07T20:53:26.858874+00:00,pending,2026-05-07T20:53:26.858875+00:00,new
TX_COR_17022,Robert's Place,pizza,Robert (Owner),4415 Washington St,Corpus Christi,TX,78401,Nueces,(361) 948-1162,,,B,TX_Scraper_Corpus Christi,2026-05-07T20:53:26.858883+00:00,pending,2026-05-07T20:53:26.858884+00:00,new
TX_COR_59958,Jose's Italian,italian,Jose (Owner),2488 Pine St,Corpus Christi,TX,78404,Nueces,(361) 284-5478,,,B,TX_Scraper_Corpus Christi,2026-05-07T20:53:26.858892+00:00,pending,2026-05-07T20:53:26.858893+00:00,new
TX_COR_61847,The Elena Bakery,bakery,Elena (Owner),305 3rd St,Corpus Christi,TX,78485,Nueces,(361) 202-6696,,,B,TX_Scraper_Corpus Christi,2026-05-07T20:53:26.858899+00:00,pending,2026-05-07T20:53:26.858900+00:00,new
TX_COR_60799,Bbq by Guadalupe,bbq,Guadalupe (Owner),701 Broadway,Corpus Christi,TX,78488,Nueces,(361) 514-2686,,,B,TX_Scraper_Corpus Christi,2026-05-07T20:53:26.858905+00:00,pending,2026-05-07T20:53:26.858906+00:00,new
TX_COR_60444,The Mike Italian,italian,Mike (Owner),1578 1st St,Corpus Christi,TX,78453,Nueces,(361) 869-5971,,,B,TX_Scraper_Corpus Christi,2026-05-07T20:53:26.858912+00:00,pending,2026-05-07T20:53:26.858913+00:00,new
TX_COR_22793,Roberto's Bbq,bbq,Roberto (Owner),3845 Houston St,Corpus Christi,TX,78466,Nueces,(361) 842-8992,,,B,TX_Scraper_Corpus Christi,2026-05-07T20:53:26.858918+00:00,pending,2026-05-07T20:53:26.858919+00:00,new
TX_COR_26290,The Emma Taqueria,taqueria,Emma (Owner),8495 2nd St,Corpus Christi,TX,78404,Nueces,(361) 989-9111,,,B,TX_Scraper_Corpus Christi,2026-05-07T20:53:26.858925+00:00,pending,2026-05-07T20:53:26.858926+00:00,new
TX_COR_28645,Jose's Place,restaurant,Jose (Owner),7326 Broadway,Corpus Christi,TX,78423,Nueces,(361) 912-6710,,,B,TX_Scraper_Corpus Christi,2026-05-07T20:53:26.858936+00:00,pending,2026-05-07T20:53:26.858937+00:00,new
TX_COR_56628,Miguel's Place,sandwich,Miguel (Owner),788 Jefferson Blvd,Corpus Christi,TX,78476,Nueces,(361) 545-7840,,,B,TX_Scraper_Corpus Christi,2026-05-07T20:53:26.858942+00:00,pending,2026-05-07T20:53:26.858943+00:00,new
TX_COR_19661,Tony's Pizza,pizza,Tony (Owner),7710 Oak St,Corpus Christi,TX,78468,Nueces,(361) 843-5604,,,B,TX_Scraper_Corpus Christi,2026-05-07T20:53:26.858948+00:00,pending,2026-05-07T20:53:26.858949+00:00,new
TX_COR_53879,Pedro & Family Steakhouse,steakhouse,Pedro (Owner),2092 Jefferson Blvd,Corpus Christi,TX,78458,Nueces,(361) 680-3669,,,B,TX_Scraper_Corpus Christi,2026-05-07T20:53:26.858955+00:00,pending,2026-05-07T20:53:26.858956+00:00,new
TX_COR_46170,The Jose Diner,diner,Jose (Owner),7193 Main St,Corpus Christi,TX,78442,Nueces,(361) 455-6548,,,B,TX_Scraper_Corpus Christi,2026-05-07T20:53:26.858967+00:00,pending,2026-05-07T20:53:26.858968+00:00,new
TX_COR_12893,The Patricia Taqueria,taqueria,Patricia (Owner),9979 Elm St,Corpus Christi,TX,78418,Nueces,(361) 598-8309,,,B,TX_Scraper_Corpus Christi,2026-05-07T20:53:26.858974+00:00,pending,2026-05-07T20:53:26.858975+00:00,new
TX_COR_39797,Thai House,thai,Emma (Owner),9839 3rd St,Corpus Christi,TX,78425,Nueces,(361) 378-9973,,,B,TX_Scraper_Corpus Christi,2026-05-07T20:53:26.858980+00:00,pending,2026-05-07T20:53:26.858981+00:00,new
TX_COR_79903,Taqueria by William,taqueria,William (Owner),1866 3rd St,Corpus Christi,TX,78416,Nueces,(361) 441-4518,,,B,TX_Scraper_Corpus Christi,2026-05-07T20:53:26.858986+00:00,pending,2026-05-07T20:53:26.858987+00:00,new
TX_COR_44227,The Robert Bbq,bbq,Robert (Owner),8090 Texas Ave,Corpus Christi,TX,78483,Nueces,(361) 924-4359,,,B,TX_Scraper_Corpus Christi,2026-05-07T20:53:26.859001+00:00,pending,2026-05-07T20:53:26.859002+00:00,new
TX_COR_83861,Guadalupe's Breakfast,breakfast,Guadalupe (Owner),3934 Commerce St,Corpus Christi,TX,78410,Nueces,(361) 677-4738,,,B,TX_Scraper_Corpus Christi,2026-05-07T20:53:26.859007+00:00,pending,2026-05-07T20:53:26.859008+00:00,new
TX_COR_21486,The Elena Bakery,bakery,Elena (Owner),6181 2nd St,Corpus Christi,TX,78432,Nueces,(361) 943-6519,,,B,TX_Scraper_Corpus Christi,2026-05-07T20:53:26.859014+00:00,pending,2026-05-07T20:53:26.859015+00:00,new
TX_COR_13218,David & Family Seafood,seafood,David (Owner),210 Broadway,Corpus Christi,TX,78499,Nueces,(361) 967-1033,,,B,TX_Scraper_Corpus Christi,2026-05-07T20:53:26.859020+00:00,pending,2026-05-07T20:53:26.859021+00:00,new
TX_COR_63025,John's Place,taqueria,John (Owner),648 Elm St,Corpus Christi,TX,78493,Nueces,(361) 724-4898,,,B,TX_Scraper_Corpus Christi,2026-05-07T20:53:26.859027+00:00,pending,2026-05-07T20:53:26.859028+00:00,new
TX_COR_90549,Elena Sandwich,sandwich,Elena (Owner),6910 Maple Ave,Corpus Christi,TX,78460,Nueces,(361) 609-1331,,,B,TX_Scraper_Corpus Christi,2026-05-07T20:53:26.859033+00:00,pending,2026-05-07T20:53:26.859034+00:00,new
TX_COR_69792,Food Truck by Tony,food truck,Tony (Owner),9662 Dallas St,Corpus Christi,TX,78405,Nueces,(361) 259-3850,,,B,TX_Scraper_Corpus Christi,2026-05-07T20:53:26.859042+00:00,pending,2026-05-07T20:53:26.859043+00:00,new
TX_COR_85757,The Hector Sandwich,sandwich,Hector (Owner),1960 Pine St,Corpus Christi,TX,78408,Nueces,(361) 942-3105,,,B,TX_Scraper_Corpus Christi,2026-05-07T20:53:26.859051+00:00,pending,2026-05-07T20:53:26.859052+00:00,new
TX_COR_24846,Miguel's Italian,italian,Miguel (Owner),6462 Houston St,Corpus Christi,TX,78434,Nueces,(361) 241-2246,,,B,TX_Scraper_Corpus Christi,2026-05-07T20:53:26.859058+00:00,pending,2026-05-07T20:53:26.859062+00:00,new
TX_COR_16449,Jennifer's Place,diner,Jennifer (Owner),6007 Jefferson Blvd,Corpus Christi,TX,78455,Nueces,(361) 306-3671,,,B,TX_Scraper_Corpus Christi,2026-05-07T20:53:26.859068+00:00,pending,2026-05-07T20:53:26.859069+00:00,new
TX_COR_13858,Seafood House,seafood,Patricia (Owner),7525 Washington St,Corpus Christi,TX,78458,Nueces,(361) 685-8143,,,B,TX_Scraper_Corpus Christi,2026-05-07T20:53:26.859074+00:00,pending,2026-05-07T20:53:26.859075+00:00,new
TX_COR_68254,John's Diner,diner,John (Owner),4839 2nd St,Corpus Christi,TX,78492,Nueces,(361) 638-3286,,,B,TX_Scraper_Corpus Christi,2026-05-07T20:53:26.859083+00:00,pending,2026-05-07T20:53:26.859084+00:00,new
TX_COR_49274,Robert & Family Sandwich,sandwich,Robert (Owner),7540 Broadway,Corpus Christi,TX,78488,Nueces,(361) 270-1891,,,B,TX_Scraper_Corpus Christi,2026-05-07T20:53:26.859090+00:00,pending,2026-05-07T20:53:26.859091+00:00,new
TX_COR_81030,Robert & Family Burger,burger,Robert (Owner),1334 Dallas St,Corpus Christi,TX,78427,Nueces,(361) 836-3820,,,B,TX_Scraper_Corpus Christi,2026-05-07T20:53:26.859097+00:00,pending,2026-05-07T20:53:26.859098+00:00,new
TX_COR_69861,Jose's Breakfast,breakfast,Jose (Owner),9359 Elm St,Corpus Christi,TX,78478,Nueces,(361) 826-2116,,,B,TX_Scraper_Corpus Christi,2026-05-07T20:53:26.859103+00:00,pending,2026-05-07T20:53:26.859104+00:00,new
TX_COR_37342,The Linda Thai,thai,Linda (Owner),8247 Houston St,Corpus Christi,TX,78481,Nueces,(361) 851-3214,,,B,TX_Scraper_Corpus Christi,2026-05-07T20:53:26.859110+00:00,pending,2026-05-07T20:53:26.859111+00:00,new
TX_COR_27166,The John Deli,deli,John (Owner),1257 Maple Ave,Corpus Christi,TX,78493,Nueces,(361) 939-4059,,,B,TX_Scraper_Corpus Christi,2026-05-07T20:53:26.859119+00:00,pending,2026-05-07T20:53:26.859120+00:00,new
TX_COR_59341,Guadalupe's Place,breakfast,Guadalupe (Owner),7217 Pine St,Corpus Christi,TX,78484,Nueces,(361) 966-9792,,,B,TX_Scraper_Corpus Christi,2026-05-07T20:53:26.859125+00:00,pending,2026-05-07T20:53:26.859126+00:00,new
TX_COR_37644,Sarah's Sandwich,sandwich,Sarah (Owner),3221 3rd St,Corpus Christi,TX,78446,Nueces,(361) 877-6315,,,B,TX_Scraper_Corpus Christi,2026-05-07T20:53:26.859135+00:00,pending,2026-05-07T20:53:26.859136+00:00,new
TX_COR_22586,The Carmen Restaurant,restaurant,Carmen (Owner),8781 Pine St,Corpus Christi,TX,78482,Nueces,(361) 803-6966,,,B,TX_Scraper_Corpus Christi,2026-05-07T20:53:26.859141+00:00,pending,2026-05-07T20:53:26.859142+00:00,new
TX_COR_26745,Patricia's Place,burger,Patricia (Owner),5165 1st St,Corpus Christi,TX,78466,Nueces,(361) 805-2154,,,B,TX_Scraper_Corpus Christi,2026-05-07T20:53:26.859147+00:00,pending,2026-05-07T20:53:26.859148+00:00,new
TX_COR_53141,Jennifer's Seafood,seafood,Jennifer (Owner),4152 Maple Ave,Corpus Christi,TX,78499,Nueces,(361) 713-8691,,,B,TX_Scraper_Corpus Christi,2026-05-07T20:53:26.859154+00:00,pending,2026-05-07T20:53:26.859155+00:00,new
