id,business_name,business_type,owner_name,address,city,state,zip,county,phone,email,website,priority,source,scraped_at,enrichment_status,discovered_at,status
TX_DAL_39233,Elena's Sushi,sushi,Elena (Owner),4569 Market St,Dallas,TX,75261,Dallas,(972) 602-2633,,,A,TX_Scraper_Dallas,2026-05-07T20:53:26.843634+00:00,pending,2026-05-07T20:53:26.843636+00:00,new
TX_DAL_43232,Bakery House,bakery,Patricia (Owner),8444 Jefferson Blvd,Dallas,TX,75203,Dallas,(469) 200-7128,,,A,TX_Scraper_Dallas,2026-05-07T20:53:26.843647+00:00,pending,2026-05-07T20:53:26.843649+00:00,new
TX_DAL_49586,Thai by Francisco,thai,Francisco (Owner),1092 Pine St,Dallas,TX,75246,Dallas,(214) 699-7578,,,A,TX_Scraper_Dallas,2026-05-07T20:53:26.843663+00:00,pending,2026-05-07T20:53:26.843665+00:00,new
TX_DAL_27593,Carlos Breakfast,breakfast,Carlos (Owner),3433 Oak St,Dallas,TX,75251,Dallas,(469) 303-4172,,,A,TX_Scraper_Dallas,2026-05-07T20:53:26.843678+00:00,pending,2026-05-07T20:53:26.843680+00:00,new
TX_DAL_68839,Rosa Breakfast,breakfast,Rosa (Owner),2425 3rd St,Dallas,TX,75283,Dallas,(214) 834-8075,,,A,TX_Scraper_Dallas,2026-05-07T20:53:26.843690+00:00,pending,2026-05-07T20:53:26.843692+00:00,new
TX_DAL_16630,Sofia's Italian,italian,Sofia (Owner),7409 Dallas St,Dallas,TX,75263,Dallas,(972) 270-9379,,,A,TX_Scraper_Dallas,2026-05-07T20:53:26.843702+00:00,pending,2026-05-07T20:53:26.843705+00:00,new
TX_DAL_92576,Isabella's Mexican,mexican,Isabella (Owner),4082 Texas Ave,Dallas,TX,75274,Dallas,(214) 691-4199,,,A,TX_Scraper_Dallas,2026-05-07T20:53:26.843714+00:00,pending,2026-05-07T20:53:26.843716+00:00,new
TX_DAL_69116,Vietnamese House,vietnamese,Miguel (Owner),6019 Maple Ave,Dallas,TX,75223,Dallas,(972) 801-9888,,,A,TX_Scraper_Dallas,2026-05-07T20:53:26.843726+00:00,pending,2026-05-07T20:53:26.843728+00:00,new
TX_DAL_69760,The Sofia Mexican,mexican,Sofia (Owner),8135 Dallas St,Dallas,TX,75289,Dallas,(214) 350-4048,,,A,TX_Scraper_Dallas,2026-05-07T20:53:26.843737+00:00,pending,2026-05-07T20:53:26.843738+00:00,new
TX_DAL_21959,Carlos's Sandwich,sandwich,Carlos (Owner),9798 Main St,Dallas,TX,75274,Dallas,(972) 702-2136,,,A,TX_Scraper_Dallas,2026-05-07T20:53:26.843747+00:00,pending,2026-05-07T20:53:26.843749+00:00,new
TX_DAL_31187,William Mexican,mexican,William (Owner),6422 Texas Ave,Dallas,TX,75285,Dallas,(469) 451-6613,,,A,TX_Scraper_Dallas,2026-05-07T20:53:26.843758+00:00,pending,2026-05-07T20:53:26.843761+00:00,new
TX_DAL_37374,Sofia & Family Vietnamese,vietnamese,Sofia (Owner),5937 Main St,Dallas,TX,75287,Dallas,(972) 247-2339,,,A,TX_Scraper_Dallas,2026-05-07T20:53:26.843771+00:00,pending,2026-05-07T20:53:26.843773+00:00,new
TX_DAL_28671,Steakhouse House,steakhouse,Jose (Owner),3975 Pine St,Dallas,TX,75264,Dallas,(214) 502-2481,,,A,TX_Scraper_Dallas,2026-05-07T20:53:26.843790+00:00,pending,2026-05-07T20:53:26.843792+00:00,new
TX_DAL_91726,Robert's Food Truck,food truck,Robert (Owner),5460 Pine St,Dallas,TX,75217,Dallas,(469) 590-2019,,,A,TX_Scraper_Dallas,2026-05-07T20:53:26.843802+00:00,pending,2026-05-07T20:53:26.843803+00:00,new
TX_DAL_21630,John Deli,deli,John (Owner),7659 Maple Ave,Dallas,TX,75292,Dallas,(214) 444-5632,,,A,TX_Scraper_Dallas,2026-05-07T20:53:26.843813+00:00,pending,2026-05-07T20:53:26.843815+00:00,new
TX_DAL_21539,Jennifer's Sandwich,sandwich,Jennifer (Owner),3615 Cedar St,Dallas,TX,75217,Dallas,(214) 702-2870,,,A,TX_Scraper_Dallas,2026-05-07T20:53:26.843824+00:00,pending,2026-05-07T20:53:26.843826+00:00,new
TX_DAL_39333,The David Mexican,mexican,David (Owner),6997 Maple Ave,Dallas,TX,75242,Dallas,(214) 537-4190,,,A,TX_Scraper_Dallas,2026-05-07T20:53:26.843835+00:00,pending,2026-05-07T20:53:26.843837+00:00,new
TX_DAL_23264,Bakery by Carlos,bakery,Carlos (Owner),8859 Cedar St,Dallas,TX,75240,Dallas,(469) 462-5438,,,A,TX_Scraper_Dallas,2026-05-07T20:53:26.843847+00:00,pending,2026-05-07T20:53:26.843849+00:00,new
TX_DAL_93042,Tony's Cafe,cafe,Tony (Owner),9394 Main St,Dallas,TX,75288,Dallas,(972) 546-2462,,,A,TX_Scraper_Dallas,2026-05-07T20:53:26.843858+00:00,pending,2026-05-07T20:53:26.843860+00:00,new
TX_DAL_87992,Sofia's Steakhouse,steakhouse,Sofia (Owner),809 Dallas St,Dallas,TX,75204,Dallas,(214) 387-5367,,,A,TX_Scraper_Dallas,2026-05-07T20:53:26.843871+00:00,pending,2026-05-07T20:53:26.843877+00:00,new
TX_DAL_67193,John Breakfast,breakfast,John (Owner),7575 Oak St,Dallas,TX,75278,Dallas,(972) 336-3363,,,A,TX_Scraper_Dallas,2026-05-07T20:53:26.843887+00:00,pending,2026-05-07T20:53:26.843889+00:00,new
TX_DAL_83011,Elena & Family Deli,deli,Elena (Owner),1806 Oak St,Dallas,TX,75288,Dallas,(469) 287-4181,,,A,TX_Scraper_Dallas,2026-05-07T20:53:26.843906+00:00,pending,2026-05-07T20:53:26.843908+00:00,new
TX_DAL_81609,Lisa Pizza,pizza,Lisa (Owner),3212 1st St,Dallas,TX,75237,Dallas,(972) 924-1949,,,A,TX_Scraper_Dallas,2026-05-07T20:53:26.843923+00:00,pending,2026-05-07T20:53:26.843929+00:00,new
TX_DAL_15606,Antonio Sushi,sushi,Antonio (Owner),7457 Pine St,Dallas,TX,75258,Dallas,(469) 287-3844,,,A,TX_Scraper_Dallas,2026-05-07T20:53:26.843939+00:00,pending,2026-05-07T20:53:26.843941+00:00,new
TX_DAL_99705,William's Breakfast,breakfast,William (Owner),3078 Elm St,Dallas,TX,75287,Dallas,(972) 666-8199,,,A,TX_Scraper_Dallas,2026-05-07T20:53:26.843951+00:00,pending,2026-05-07T20:53:26.843953+00:00,new
TX_DAL_76842,Sarah Seafood,seafood,Sarah (Owner),7180 Market St,Dallas,TX,75277,Dallas,(469) 587-6986,,,A,TX_Scraper_Dallas,2026-05-07T20:53:26.843963+00:00,pending,2026-05-07T20:53:26.843965+00:00,new
TX_DAL_40356,Antonio's Place,cafe,Antonio (Owner),1681 Elm St,Dallas,TX,75296,Dallas,(214) 376-2678,,,A,TX_Scraper_Dallas,2026-05-07T20:53:26.843975+00:00,pending,2026-05-07T20:53:26.843977+00:00,new
TX_DAL_31505,Sofia & Family Chinese,chinese,Sofia (Owner),1171 Elm St,Dallas,TX,75229,Dallas,(972) 780-4636,,,A,TX_Scraper_Dallas,2026-05-07T20:53:26.843987+00:00,pending,2026-05-07T20:53:26.843989+00:00,new
TX_DAL_93365,Cafe by Guadalupe,cafe,Guadalupe (Owner),6157 Pine St,Dallas,TX,75262,Dallas,(214) 799-8991,,,A,TX_Scraper_Dallas,2026-05-07T20:53:26.844668+00:00,pending,2026-05-07T20:53:26.844676+00:00,new
TX_DAL_61804,Sushi by John,sushi,John (Owner),7810 Jefferson Blvd,Dallas,TX,75225,Dallas,(214) 267-7021,,,A,TX_Scraper_Dallas,2026-05-07T20:53:26.844693+00:00,pending,2026-05-07T20:53:26.844695+00:00,new
TX_DAL_83497,The Pedro Seafood,seafood,Pedro (Owner),8977 Oak St,Dallas,TX,75285,Dallas,(469) 718-1292,,,A,TX_Scraper_Dallas,2026-05-07T20:53:26.844714+00:00,pending,2026-05-07T20:53:26.844716+00:00,new
TX_DAL_45652,Robert's Place,mexican,Robert (Owner),3121 Dallas St,Dallas,TX,75228,Dallas,(469) 298-1958,,,A,TX_Scraper_Dallas,2026-05-07T20:53:26.844726+00:00,pending,2026-05-07T20:53:26.844728+00:00,new
TX_DAL_91346,Emma's Place,steakhouse,Emma (Owner),3775 Houston St,Dallas,TX,75266,Dallas,(469) 605-1752,,,A,TX_Scraper_Dallas,2026-05-07T20:53:26.844743+00:00,pending,2026-05-07T20:53:26.844745+00:00,new
TX_DAL_87891,Jose Bbq,bbq,Jose (Owner),4262 Maple Ave,Dallas,TX,75285,Dallas,(972) 354-3031,,,A,TX_Scraper_Dallas,2026-05-07T20:53:26.844756+00:00,pending,2026-05-07T20:53:26.844759+00:00,new
TX_DAL_18455,Italian House,italian,Tony (Owner),6129 Pine St,Dallas,TX,75291,Dallas,(214) 522-8292,,,A,TX_Scraper_Dallas,2026-05-07T20:53:26.844769+00:00,pending,2026-05-07T20:53:26.844772+00:00,new
