id,business_name,business_type,owner_name,address,city,state,zip,county,phone,email,website,priority,source,scraped_at,enrichment_status,discovered_at,status
TX_EL _19081,Miguel's Chinese,chinese,Miguel (Owner),4879 Texas Ave,El Paso,TX,79958,El Paso,(915) 936-7137,,,B,TX_Scraper_El Paso,2026-05-07T20:53:26.857173+00:00,pending,2026-05-07T20:53:26.857176+00:00,new
TX_EL _67326,The Mike Diner,diner,Mike (Owner),4299 Cedar St,El Paso,TX,79978,El Paso,(915) 420-9345,,,B,TX_Scraper_El Paso,2026-05-07T20:53:26.857185+00:00,pending,2026-05-07T20:53:26.857187+00:00,new
TX_EL _80788,Jose Restaurant,restaurant,Jose (Owner),9097 Market St,El Paso,TX,79925,El Paso,(915) 820-2222,,,B,TX_Scraper_El Paso,2026-05-07T20:53:26.857201+00:00,pending,2026-05-07T20:53:26.857203+00:00,new
TX_EL _94871,Patricia Bakery,bakery,Patricia (Owner),4503 Broadway,El Paso,TX,79940,El Paso,(915) 351-1565,,,B,TX_Scraper_El Paso,2026-05-07T20:53:26.857212+00:00,pending,2026-05-07T20:53:26.857213+00:00,new
TX_EL _74595,Restaurant by Linda,restaurant,Linda (Owner),9809 Oak St,El Paso,TX,79902,El Paso,(915) 336-3954,,,B,TX_Scraper_El Paso,2026-05-07T20:53:26.857222+00:00,pending,2026-05-07T20:53:26.857224+00:00,new
TX_EL _71254,The Patricia Food Truck,food truck,Patricia (Owner),939 Market St,El Paso,TX,79964,El Paso,(915) 916-1596,,,B,TX_Scraper_El Paso,2026-05-07T20:53:26.857233+00:00,pending,2026-05-07T20:53:26.857235+00:00,new
TX_EL _36889,Robert Diner,diner,Robert (Owner),4298 2nd St,El Paso,TX,79922,El Paso,(915) 777-4974,,,B,TX_Scraper_El Paso,2026-05-07T20:53:26.857247+00:00,pending,2026-05-07T20:53:26.857248+00:00,new
TX_EL _59272,Roberto Sandwich,sandwich,Roberto (Owner),8793 1st St,El Paso,TX,79944,El Paso,(915) 759-4205,,,B,TX_Scraper_El Paso,2026-05-07T20:53:26.857257+00:00,pending,2026-05-07T20:53:26.857259+00:00,new
TX_EL _26593,Lisa's Place,chinese,Lisa (Owner),5739 Broadway,El Paso,TX,79928,El Paso,(915) 962-2862,,,B,TX_Scraper_El Paso,2026-05-07T20:53:26.857267+00:00,pending,2026-05-07T20:53:26.857269+00:00,new
TX_EL _52912,Roberto's Breakfast,breakfast,Roberto (Owner),9391 Broadway,El Paso,TX,79957,El Paso,(915) 245-3735,,,B,TX_Scraper_El Paso,2026-05-07T20:53:26.857278+00:00,pending,2026-05-07T20:53:26.857280+00:00,new
TX_EL _95553,Vietnamese by Linda,vietnamese,Linda (Owner),7130 Cedar St,El Paso,TX,79955,El Paso,(915) 999-5857,,,B,TX_Scraper_El Paso,2026-05-07T20:53:26.857289+00:00,pending,2026-05-07T20:53:26.857290+00:00,new
TX_EL _51886,Roberto's Place,restaurant,Roberto (Owner),8734 Maple Ave,El Paso,TX,79978,El Paso,(915) 718-6137,,,B,TX_Scraper_El Paso,2026-05-07T20:53:26.857299+00:00,pending,2026-05-07T20:53:26.857301+00:00,new
TX_EL _76820,Patricia's Place,seafood,Patricia (Owner),8933 3rd St,El Paso,TX,79983,El Paso,(915) 977-1402,,,B,TX_Scraper_El Paso,2026-05-07T20:53:26.857314+00:00,pending,2026-05-07T20:53:26.857316+00:00,new
TX_EL _11723,Isabella & Family Mexican,mexican,Isabella (Owner),6453 Washington St,El Paso,TX,79916,El Paso,(915) 689-3954,,,B,TX_Scraper_El Paso,2026-05-07T20:53:26.857325+00:00,pending,2026-05-07T20:53:26.857326+00:00,new
TX_EL _44551,Elena's Restaurant,restaurant,Elena (Owner),9955 2nd St,El Paso,TX,79908,El Paso,(915) 245-1617,,,B,TX_Scraper_El Paso,2026-05-07T20:53:26.857336+00:00,pending,2026-05-07T20:53:26.857337+00:00,new
TX_EL _46111,Miguel Seafood,seafood,Miguel (Owner),601 Houston St,El Paso,TX,79990,El Paso,(915) 436-8158,,,B,TX_Scraper_El Paso,2026-05-07T20:53:26.857346+00:00,pending,2026-05-07T20:53:26.857348+00:00,new
TX_EL _72485,Patricia's Sandwich,sandwich,Patricia (Owner),9076 Dallas St,El Paso,TX,79996,El Paso,(915) 324-1232,,,B,TX_Scraper_El Paso,2026-05-07T20:53:26.857364+00:00,pending,2026-05-07T20:53:26.857366+00:00,new
TX_EL _52073,John Breakfast,breakfast,John (Owner),1506 Maple Ave,El Paso,TX,79949,El Paso,(915) 524-9014,,,B,TX_Scraper_El Paso,2026-05-07T20:53:26.857375+00:00,pending,2026-05-07T20:53:26.857377+00:00,new
