id,business_name,business_type,owner_name,address,city,state,zip,county,phone,email,website,priority,source,scraped_at,enrichment_status,discovered_at,status
TX_FOR_14768,Luis's Burger,burger,Luis (Owner),513 Dallas St,Fort Worth,TX,76144,Tarrant,(817) 869-2664,,,A,TX_Scraper_Fort Worth,2026-05-07T20:53:26.852499+00:00,pending,2026-05-07T20:53:26.852501+00:00,new
TX_FOR_37167,Bbq House,bbq,Maria (Owner),8629 2nd St,Fort Worth,TX,76152,Tarrant,(682) 517-6667,,,A,TX_Scraper_Fort Worth,2026-05-07T20:53:26.855442+00:00,pending,2026-05-07T20:53:26.855453+00:00,new
TX_FOR_32936,Emma & Family Italian,italian,Emma (Owner),699 Washington St,Fort Worth,TX,76183,Tarrant,(817) 734-9372,,,A,TX_Scraper_Fort Worth,2026-05-07T20:53:26.855482+00:00,pending,2026-05-07T20:53:26.855484+00:00,new
TX_FOR_37066,The Hector Bbq,bbq,Hector (Owner),1573 Cedar St,Fort Worth,TX,76105,Tarrant,(682) 590-6186,,,A,TX_Scraper_Fort Worth,2026-05-07T20:53:26.855495+00:00,pending,2026-05-07T20:53:26.855497+00:00,new
TX_FOR_17886,Steakhouse by Carmen,steakhouse,Carmen (Owner),7141 1st St,Fort Worth,TX,76191,Tarrant,(817) 890-8483,,,A,TX_Scraper_Fort Worth,2026-05-07T20:53:26.855506+00:00,pending,2026-05-07T20:53:26.855508+00:00,new
TX_FOR_41893,Lisa & Family Food Truck,food truck,Lisa (Owner),9945 Elm St,Fort Worth,TX,76107,Tarrant,(682) 585-4336,,,A,TX_Scraper_Fort Worth,2026-05-07T20:53:26.855517+00:00,pending,2026-05-07T20:53:26.855519+00:00,new
TX_FOR_71670,The Roberto Mexican,mexican,Roberto (Owner),8189 Broadway,Fort Worth,TX,76147,Tarrant,(817) 849-1928,,,A,TX_Scraper_Fort Worth,2026-05-07T20:53:26.855527+00:00,pending,2026-05-07T20:53:26.855528+00:00,new
TX_FOR_60792,Carmen's Burger,burger,Carmen (Owner),9236 Washington St,Fort Worth,TX,76131,Tarrant,(682) 403-5890,,,A,TX_Scraper_Fort Worth,2026-05-07T20:53:26.855537+00:00,pending,2026-05-07T20:53:26.855538+00:00,new
TX_FOR_55480,Lisa's Food Truck,food truck,Lisa (Owner),8841 Texas Ave,Fort Worth,TX,76197,Tarrant,(682) 845-1092,,,A,TX_Scraper_Fort Worth,2026-05-07T20:53:26.855547+00:00,pending,2026-05-07T20:53:26.855548+00:00,new
TX_FOR_71682,Chinese House,chinese,Carlos (Owner),8983 Market St,Fort Worth,TX,76167,Tarrant,(817) 841-5136,,,A,TX_Scraper_Fort Worth,2026-05-07T20:53:26.855557+00:00,pending,2026-05-07T20:53:26.855558+00:00,new
TX_FOR_13075,Taqueria House,taqueria,Roberto (Owner),9767 Maple Ave,Fort Worth,TX,76140,Tarrant,(817) 889-9168,,,A,TX_Scraper_Fort Worth,2026-05-07T20:53:26.855570+00:00,pending,2026-05-07T20:53:26.855572+00:00,new
TX_FOR_81479,Bakery by Francisco,bakery,Francisco (Owner),681 Washington St,Fort Worth,TX,76138,Tarrant,(817) 972-8075,,,A,TX_Scraper_Fort Worth,2026-05-07T20:53:26.855580+00:00,pending,2026-05-07T20:53:26.855582+00:00,new
TX_FOR_20019,Emma's Place,diner,Emma (Owner),8680 3rd St,Fort Worth,TX,76169,Tarrant,(817) 381-9114,,,A,TX_Scraper_Fort Worth,2026-05-07T20:53:26.855593+00:00,pending,2026-05-07T20:53:26.855595+00:00,new
TX_FOR_78008,Miguel Steakhouse,steakhouse,Miguel (Owner),9120 Houston St,Fort Worth,TX,76158,Tarrant,(682) 582-5830,,,A,TX_Scraper_Fort Worth,2026-05-07T20:53:26.855603+00:00,pending,2026-05-07T20:53:26.855605+00:00,new
TX_FOR_58634,Steakhouse House,steakhouse,Sofia (Owner),1558 3rd St,Fort Worth,TX,76185,Tarrant,(682) 768-1511,,,A,TX_Scraper_Fort Worth,2026-05-07T20:53:26.855613+00:00,pending,2026-05-07T20:53:26.855615+00:00,new
TX_FOR_98075,Food Truck House,food truck,Carlos (Owner),1976 Oak St,Fort Worth,TX,76130,Tarrant,(817) 623-9762,,,A,TX_Scraper_Fort Worth,2026-05-07T20:53:26.855623+00:00,pending,2026-05-07T20:53:26.855624+00:00,new
TX_FOR_92366,Elena's Italian,italian,Elena (Owner),506 Maple Ave,Fort Worth,TX,76157,Tarrant,(817) 993-8712,,,A,TX_Scraper_Fort Worth,2026-05-07T20:53:26.855633+00:00,pending,2026-05-07T20:53:26.855634+00:00,new
TX_FOR_59978,Sandwich House,sandwich,Maria (Owner),5861 2nd St,Fort Worth,TX,76132,Tarrant,(817) 505-9003,,,A,TX_Scraper_Fort Worth,2026-05-07T20:53:26.855646+00:00,pending,2026-05-07T20:53:26.855647+00:00,new
TX_FOR_72471,The Linda Thai,thai,Linda (Owner),5257 Market St,Fort Worth,TX,76125,Tarrant,(682) 637-1246,,,A,TX_Scraper_Fort Worth,2026-05-07T20:53:26.855655+00:00,pending,2026-05-07T20:53:26.855657+00:00,new
TX_FOR_71104,Michael & Family Sandwich,sandwich,Michael (Owner),5450 Texas Ave,Fort Worth,TX,76145,Tarrant,(682) 232-2822,,,A,TX_Scraper_Fort Worth,2026-05-07T20:53:26.855665+00:00,pending,2026-05-07T20:53:26.855667+00:00,new
TX_FOR_15095,Maria & Family Bakery,bakery,Maria (Owner),5798 3rd St,Fort Worth,TX,76170,Tarrant,(682) 237-5380,,,A,TX_Scraper_Fort Worth,2026-05-07T20:53:26.855683+00:00,pending,2026-05-07T20:53:26.855685+00:00,new
TX_FOR_76278,Carmen's Deli,deli,Carmen (Owner),6194 Maple Ave,Fort Worth,TX,76169,Tarrant,(817) 960-6154,,,A,TX_Scraper_Fort Worth,2026-05-07T20:53:26.855694+00:00,pending,2026-05-07T20:53:26.855695+00:00,new
TX_FOR_65603,Juan Pizza,pizza,Juan (Owner),9465 Texas Ave,Fort Worth,TX,76120,Tarrant,(817) 540-6613,,,A,TX_Scraper_Fort Worth,2026-05-07T20:53:26.855706+00:00,pending,2026-05-07T20:53:26.855708+00:00,new
TX_FOR_84249,Mike & Family Mexican,mexican,Mike (Owner),6202 Texas Ave,Fort Worth,TX,76166,Tarrant,(682) 324-5114,,,A,TX_Scraper_Fort Worth,2026-05-07T20:53:26.855716+00:00,pending,2026-05-07T20:53:26.855717+00:00,new
TX_FOR_31379,Jennifer's Pizza,pizza,Jennifer (Owner),3779 Houston St,Fort Worth,TX,76135,Tarrant,(817) 326-9546,,,A,TX_Scraper_Fort Worth,2026-05-07T20:53:26.855726+00:00,pending,2026-05-07T20:53:26.855727+00:00,new
TX_FOR_68375,Lisa Sandwich,sandwich,Lisa (Owner),274 Cedar St,Fort Worth,TX,76139,Tarrant,(682) 981-6726,,,A,TX_Scraper_Fort Worth,2026-05-07T20:53:26.855736+00:00,pending,2026-05-07T20:53:26.855738+00:00,new
TX_FOR_54071,Food Truck House,food truck,Francisco (Owner),5326 Houston St,Fort Worth,TX,76163,Tarrant,(682) 211-9424,,,A,TX_Scraper_Fort Worth,2026-05-07T20:53:26.855747+00:00,pending,2026-05-07T20:53:26.855748+00:00,new
TX_FOR_31652,Italian by Patricia,italian,Patricia (Owner),7303 Maple Ave,Fort Worth,TX,76104,Tarrant,(682) 564-4641,,,A,TX_Scraper_Fort Worth,2026-05-07T20:53:26.855757+00:00,pending,2026-05-07T20:53:26.855759+00:00,new
TX_FOR_21292,Carmen & Family Taqueria,taqueria,Carmen (Owner),780 1st St,Fort Worth,TX,76171,Tarrant,(817) 265-3872,,,A,TX_Scraper_Fort Worth,2026-05-07T20:53:26.855767+00:00,pending,2026-05-07T20:53:26.855769+00:00,new
TX_FOR_80476,Luis's Deli,deli,Luis (Owner),7726 Pine St,Fort Worth,TX,76195,Tarrant,(682) 524-3155,,,A,TX_Scraper_Fort Worth,2026-05-07T20:53:26.855781+00:00,pending,2026-05-07T20:53:26.855782+00:00,new
TX_FOR_97425,Guadalupe's Place,restaurant,Guadalupe (Owner),8597 Jefferson Blvd,Fort Worth,TX,76128,Tarrant,(817) 297-7273,,,A,TX_Scraper_Fort Worth,2026-05-07T20:53:26.855791+00:00,pending,2026-05-07T20:53:26.855792+00:00,new
TX_FOR_93170,Restaurant House,restaurant,Emma (Owner),6064 1st St,Fort Worth,TX,76175,Tarrant,(682) 222-6964,,,A,TX_Scraper_Fort Worth,2026-05-07T20:53:26.855801+00:00,pending,2026-05-07T20:53:26.855803+00:00,new
TX_FOR_20326,Restaurant by Linda,restaurant,Linda (Owner),6344 Oak St,Fort Worth,TX,76156,Tarrant,(682) 374-8953,,,A,TX_Scraper_Fort Worth,2026-05-07T20:53:26.855814+00:00,pending,2026-05-07T20:53:26.855816+00:00,new
TX_FOR_19558,Elena's Chinese,chinese,Elena (Owner),3334 Pine St,Fort Worth,TX,76176,Tarrant,(682) 553-2907,,,A,TX_Scraper_Fort Worth,2026-05-07T20:53:26.855825+00:00,pending,2026-05-07T20:53:26.855826+00:00,new
TX_FOR_90175,The Mike Breakfast,breakfast,Mike (Owner),9145 3rd St,Fort Worth,TX,76190,Tarrant,(817) 695-2142,,,A,TX_Scraper_Fort Worth,2026-05-07T20:53:26.855835+00:00,pending,2026-05-07T20:53:26.855836+00:00,new
TX_FOR_72135,Tony's Deli,deli,Tony (Owner),862 Pine St,Fort Worth,TX,76159,Tarrant,(682) 559-3470,,,A,TX_Scraper_Fort Worth,2026-05-07T20:53:26.855845+00:00,pending,2026-05-07T20:53:26.855846+00:00,new
TX_FOR_63871,Italian House,italian,Miguel (Owner),3224 Main St,Fort Worth,TX,76103,Tarrant,(682) 270-8166,,,A,TX_Scraper_Fort Worth,2026-05-07T20:53:26.855854+00:00,pending,2026-05-07T20:53:26.855856+00:00,new
TX_FOR_70331,Sushi House,sushi,Carlos (Owner),9113 Dallas St,Fort Worth,TX,76197,Tarrant,(817) 856-7068,,,A,TX_Scraper_Fort Worth,2026-05-07T20:53:26.855864+00:00,pending,2026-05-07T20:53:26.855866+00:00,new
TX_FOR_98791,Thai by Sarah,thai,Sarah (Owner),4247 Oak St,Fort Worth,TX,76129,Tarrant,(682) 269-1147,,,A,TX_Scraper_Fort Worth,2026-05-07T20:53:26.855878+00:00,pending,2026-05-07T20:53:26.855880+00:00,new
TX_FOR_68801,John & Family Cafe,cafe,John (Owner),3741 Maple Ave,Fort Worth,TX,76177,Tarrant,(817) 923-1573,,,A,TX_Scraper_Fort Worth,2026-05-07T20:53:26.855888+00:00,pending,2026-05-07T20:53:26.855890+00:00,new
TX_FOR_70600,Mike's Restaurant,restaurant,Mike (Owner),5030 1st St,Fort Worth,TX,76124,Tarrant,(682) 756-5797,,,A,TX_Scraper_Fort Worth,2026-05-07T20:53:26.855900+00:00,pending,2026-05-07T20:53:26.855901+00:00,new
TX_FOR_25716,Restaurant by Roberto,restaurant,Roberto (Owner),6822 2nd St,Fort Worth,TX,76144,Tarrant,(682) 825-5327,,,A,TX_Scraper_Fort Worth,2026-05-07T20:53:26.855917+00:00,pending,2026-05-07T20:53:26.855921+00:00,new
TX_FOR_20480,Chinese by Guadalupe,chinese,Guadalupe (Owner),4202 Elm St,Fort Worth,TX,76102,Tarrant,(682) 458-2175,,,A,TX_Scraper_Fort Worth,2026-05-07T20:53:26.855937+00:00,pending,2026-05-07T20:53:26.855939+00:00,new
TX_FOR_38406,Isabella & Family Italian,italian,Isabella (Owner),7909 Maple Ave,Fort Worth,TX,76117,Tarrant,(682) 702-5979,,,A,TX_Scraper_Fort Worth,2026-05-07T20:53:26.855948+00:00,pending,2026-05-07T20:53:26.855949+00:00,new
TX_FOR_62395,Seafood by Michael,seafood,Michael (Owner),9470 Washington St,Fort Worth,TX,76148,Tarrant,(682) 219-7240,,,A,TX_Scraper_Fort Worth,2026-05-07T20:53:26.855961+00:00,pending,2026-05-07T20:53:26.855963+00:00,new
TX_FOR_14592,Sushi House,sushi,Isabella (Owner),9697 Dallas St,Fort Worth,TX,76101,Tarrant,(817) 628-3902,,,A,TX_Scraper_Fort Worth,2026-05-07T20:53:26.855971+00:00,pending,2026-05-07T20:53:26.855972+00:00,new
TX_FOR_12184,Antonio's Chinese,chinese,Antonio (Owner),7202 Broadway,Fort Worth,TX,76137,Tarrant,(682) 698-5102,,,A,TX_Scraper_Fort Worth,2026-05-07T20:53:26.855980+00:00,pending,2026-05-07T20:53:26.855981+00:00,new
