id,business_name,business_type,owner_name,address,city,state,zip,county,phone,email,website,priority,source,scraped_at,enrichment_status,discovered_at,status
TX_SAN_55682,Jose's Sushi,sushi,Jose (Owner),4350 Jefferson Blvd,San Antonio,TX,78277,Bexar,(726) 972-1980,,,A,TX_Scraper_San Antonio,2026-05-07T20:53:26.847711+00:00,pending,2026-05-07T20:53:26.847713+00:00,new
TX_SAN_16274,Robert & Family Sushi,sushi,Robert (Owner),2406 Texas Ave,San Antonio,TX,78225,Bexar,(726) 558-9114,,,A,TX_Scraper_San Antonio,2026-05-07T20:53:26.847724+00:00,pending,2026-05-07T20:53:26.847726+00:00,new
TX_SAN_42943,Mike's Taqueria,taqueria,Mike (Owner),4336 Elm St,San Antonio,TX,78222,Bexar,(210) 261-1664,,,A,TX_Scraper_San Antonio,2026-05-07T20:53:26.847741+00:00,pending,2026-05-07T20:53:26.847743+00:00,new
TX_SAN_61602,Sarah Burger,burger,Sarah (Owner),613 1st St,San Antonio,TX,78297,Bexar,(210) 957-4886,,,A,TX_Scraper_San Antonio,2026-05-07T20:53:26.847753+00:00,pending,2026-05-07T20:53:26.847755+00:00,new
TX_SAN_35283,The Michael Restaurant,restaurant,Michael (Owner),925 Broadway,San Antonio,TX,78278,Bexar,(726) 883-4627,,,A,TX_Scraper_San Antonio,2026-05-07T20:53:26.847768+00:00,pending,2026-05-07T20:53:26.847770+00:00,new
TX_SAN_82643,Miguel's Pizza,pizza,Miguel (Owner),2057 Main St,San Antonio,TX,78222,Bexar,(210) 338-7785,,,A,TX_Scraper_San Antonio,2026-05-07T20:53:26.847780+00:00,pending,2026-05-07T20:53:26.847782+00:00,new
TX_SAN_38847,Isabella Bakery,bakery,Isabella (Owner),8473 3rd St,San Antonio,TX,78217,Bexar,(210) 704-1937,,,A,TX_Scraper_San Antonio,2026-05-07T20:53:26.847792+00:00,pending,2026-05-07T20:53:26.847794+00:00,new
TX_SAN_29135,The Sarah Bakery,bakery,Sarah (Owner),6396 Jefferson Blvd,San Antonio,TX,78208,Bexar,(210) 544-4074,,,A,TX_Scraper_San Antonio,2026-05-07T20:53:26.847804+00:00,pending,2026-05-07T20:53:26.847806+00:00,new
TX_SAN_60699,The Pedro Italian,italian,Pedro (Owner),2513 Broadway,San Antonio,TX,78283,Bexar,(210) 372-9641,,,A,TX_Scraper_San Antonio,2026-05-07T20:53:26.847815+00:00,pending,2026-05-07T20:53:26.847817+00:00,new
TX_SAN_61014,Roberto Chinese,chinese,Roberto (Owner),329 Texas Ave,San Antonio,TX,78254,Bexar,(210) 278-1036,,,A,TX_Scraper_San Antonio,2026-05-07T20:53:26.847827+00:00,pending,2026-05-07T20:53:26.847829+00:00,new
