id,company_name,contact_name,email,phone,address,city,state,county,zip,business_type,priority,source,tags,scraped_at,notes
AK-00000,Fairbanks Tavern,Mary Smith,info@fairbankstavern.com,+1 (555) 761-4117,9397 Oak St,Fairbanks,AK,Fairbanks County,96172,food service,C,AK_Scraper,"Restaurant,AK,Fairbanks",2026-05-07T20:51:47.940314,"State Population: 733,391"
AK-00001,Fairbanks Pub,Michael Brown,info@fairbankspub.com,+1 (555) 361-5242,708 Oak St,Fairbanks,AK,Fairbanks County,40731,food service,C,AK_Scraper,"Restaurant,AK,Fairbanks",2026-05-07T20:51:47.940342,"State Population: 733,391"
AK-00002,Sitka Diner,Robert Garcia,info@sitkadiner.com,+1 (555) 525-1621,1196 Main St,Sitka,AK,Sitka County,28963,brewery,C,AK_Scraper,"Restaurant,AK,Sitka",2026-05-07T20:51:47.940354,"State Population: 733,391"
AK-00003,Fairbanks Tavern,Jennifer Johnson,info@fairbankstavern.com,+1 (555) 327-5670,8633 Maple St,Fairbanks,AK,Fairbanks County,49892,brewery,C,AK_Scraper,"Restaurant,AK,Fairbanks",2026-05-07T20:51:47.940364,"State Population: 733,391"
AK-00004,Juneau Grill,James Rodriguez,info@juneaugrill.com,+1 (555) 928-5949,8287 Pine St,Juneau,AK,Juneau County,87194,catering,C,AK_Scraper,"Restaurant,AK,Juneau",2026-05-07T20:51:47.940374,"State Population: 733,391"
AK-00005,Anchorage Eatery,William Davis,info@anchorageeatery.com,+1 (555) 549-9559,1466 Pine St,Anchorage,AK,Anchorage County,93251,cafe,C,AK_Scraper,"Restaurant,AK,Anchorage",2026-05-07T20:51:47.940384,"State Population: 733,391"
AK-00006,The Smith Restaurant,Patricia Miller,info@thesmithrestaur.com,+1 (555) 204-7966,2386 Elm St,Sitka,AK,Sitka County,71224,food service,C,AK_Scraper,"Restaurant,AK,Sitka",2026-05-07T20:51:47.940420,"State Population: 733,391"
AK-00007,Juneau Diner,Robert Smith,info@juneaudiner.com,+1 (555) 347-1016,8205 Elm St,Juneau,AK,Juneau County,61262,cafe,C,AK_Scraper,"Restaurant,AK,Juneau",2026-05-07T20:51:47.940437,"State Population: 733,391"
AK-00008,Sitka Pub,James Anderson,info@sitkapub.com,+1 (555) 433-8844,6974 Elm St,Sitka,AK,Sitka County,88879,bakery,C,AK_Scraper,"Restaurant,AK,Sitka",2026-05-07T20:51:47.940451,"State Population: 733,391"
AK-00009,Anchorage House,Barbara Rodriguez,info@anchoragehouse.com,+1 (555) 578-1120,4380 Main St,Anchorage,AK,Anchorage County,65527,cafe,C,AK_Scraper,"Restaurant,AK,Anchorage",2026-05-07T20:51:47.940460,"State Population: 733,391"
AK-00010,Anchorage Cafe,David Williams,info@anchoragecafe.com,+1 (555) 790-2114,5791 Pine St,Anchorage,AK,Anchorage County,24625,restaurant,C,AK_Scraper,"Restaurant,AK,Anchorage",2026-05-07T20:51:47.940470,"State Population: 733,391"
AK-00011,Anchorage Bar,Elizabeth Davis,info@anchoragebar.com,+1 (555) 225-3989,8499 Pine St,Anchorage,AK,Anchorage County,28662,brewery,C,AK_Scraper,"Restaurant,AK,Anchorage",2026-05-07T20:51:47.940479,"State Population: 733,391"
AK-00012,Sitka Kitchen,David Garcia,info@sitkakitchen.com,+1 (555) 769-2973,8835 Maple St,Sitka,AK,Sitka County,17422,food service,C,AK_Scraper,"Restaurant,AK,Sitka",2026-05-07T20:51:47.940490,"State Population: 733,391"
AK-00013,Sitka House,Michael Jones,info@sitkahouse.com,+1 (555) 148-3714,4799 Oak St,Sitka,AK,Sitka County,37143,bar,C,AK_Scraper,"Restaurant,AK,Sitka",2026-05-07T20:51:47.940500,"State Population: 733,391"
AK-00014,The Smith Restaurant,Robert Taylor,info@thesmithrestaur.com,+1 (555) 483-7329,2346 Elm St,Sitka,AK,Sitka County,51313,bar,C,AK_Scraper,"Restaurant,AK,Sitka",2026-05-07T20:51:47.940519,"State Population: 733,391"
AK-00015,Fairbanks Tavern,Richard Miller,info@fairbankstavern.com,+1 (555) 833-4791,2901 Pine St,Fairbanks,AK,Fairbanks County,17851,bakery,C,AK_Scraper,"Restaurant,AK,Fairbanks",2026-05-07T20:51:47.940530,"State Population: 733,391"
AK-00016,Anchorage Diner,James Jones,info@anchoragediner.com,+1 (555) 389-4828,7791 Pine St,Anchorage,AK,Anchorage County,46216,brewery,C,AK_Scraper,"Restaurant,AK,Anchorage",2026-05-07T20:51:47.940551,"State Population: 733,391"
AK-00017,Juneau Bistro,Richard Johnson,info@juneaubistro.com,+1 (555) 912-3355,1094 Oak St,Juneau,AK,Juneau County,68826,restaurant,C,AK_Scraper,"Restaurant,AK,Juneau",2026-05-07T20:51:47.940561,"State Population: 733,391"
AK-00018,Sitka Tavern,John Smith,info@sitkatavern.com,+1 (555) 698-6577,7250 Oak St,Sitka,AK,Sitka County,64247,catering,C,AK_Scraper,"Restaurant,AK,Sitka",2026-05-07T20:51:47.940570,"State Population: 733,391"
AK-00019,Sitka Bistro,Barbara Brown,info@sitkabistro.com,+1 (555) 695-1907,2905 Maple St,Sitka,AK,Sitka County,54888,brewery,C,AK_Scraper,"Restaurant,AK,Sitka",2026-05-07T20:51:47.940580,"State Population: 733,391"
