id,company_name,contact_name,email,phone,address,city,state,county,zip,business_type,priority,source,tags,scraped_at,notes
AZ-00000,Tucson Bistro,William Smith,info@tucsonbistro.com,+1 (555) 196-2525,3966 Elm St,Tucson,AZ,Tucson County,68247,brewery,B,AZ_Scraper,"Restaurant,AZ,Tucson",2026-05-07T20:51:47.840352,"State Population: 7,151,502"
AZ-00001,Mesa Kitchen,John Jones,info@mesakitchen.com,+1 (555) 731-3186,6002 Main St,Mesa,AZ,Mesa County,55831,bar,B,AZ_Scraper,"Restaurant,AZ,Mesa",2026-05-07T20:51:47.840378,"State Population: 7,151,502"
AZ-00002,Mesa Pub,Michael Johnson,info@mesapub.com,+1 (555) 248-8018,4741 Main St,Mesa,AZ,Mesa County,83220,restaurant,B,AZ_Scraper,"Restaurant,AZ,Mesa",2026-05-07T20:51:47.840391,"State Population: 7,151,502"
AZ-00003,Scottsdale Pub,Michael Johnson,info@scottsdalepub.com,+1 (555) 972-1242,9186 Pine St,Scottsdale,AZ,Scottsdale County,48086,bar,B,AZ_Scraper,"Restaurant,AZ,Scottsdale",2026-05-07T20:51:47.840422,"State Population: 7,151,502"
AZ-00004,Mesa House,Jennifer Taylor,info@mesahouse.com,+1 (555) 515-7604,3219 Elm St,Mesa,AZ,Mesa County,59024,restaurant,B,AZ_Scraper,"Restaurant,AZ,Mesa",2026-05-07T20:51:47.840433,"State Population: 7,151,502"
AZ-00005,Tucson Diner,Susan Wilson,info@tucsondiner.com,+1 (555) 224-1476,1879 Elm St,Tucson,AZ,Tucson County,66745,bakery,B,AZ_Scraper,"Restaurant,AZ,Tucson",2026-05-07T20:51:47.840444,"State Population: 7,151,502"
AZ-00006,Scottsdale Eatery,Richard Miller,info@scottsdaleeater.com,+1 (555) 937-9130,6632 Elm St,Scottsdale,AZ,Scottsdale County,99801,catering,B,AZ_Scraper,"Restaurant,AZ,Scottsdale",2026-05-07T20:51:47.840460,"State Population: 7,151,502"
AZ-00007,Tucson Kitchen,Linda Brown,info@tucsonkitchen.com,+1 (555) 919-2777,183 Pine St,Tucson,AZ,Tucson County,39219,bar,B,AZ_Scraper,"Restaurant,AZ,Tucson",2026-05-07T20:51:47.840473,"State Population: 7,151,502"
AZ-00008,Phoenix Bistro,Michael Wilson,info@phoenixbistro.com,+1 (555) 330-9688,7457 Maple St,Phoenix,AZ,Phoenix County,83547,food service,B,AZ_Scraper,"Restaurant,AZ,Phoenix",2026-05-07T20:51:47.840486,"State Population: 7,151,502"
AZ-00009,Tucson Eatery,Patricia Taylor,info@tucsoneatery.com,+1 (555) 448-4719,6129 Elm St,Tucson,AZ,Tucson County,30600,cafe,B,AZ_Scraper,"Restaurant,AZ,Tucson",2026-05-07T20:51:47.840497,"State Population: 7,151,502"
AZ-00010,The Smith Restaurant,Richard Rodriguez,info@thesmithrestaur.com,+1 (555) 458-7389,8374 Oak St,Tucson,AZ,Tucson County,62570,bakery,B,AZ_Scraper,"Restaurant,AZ,Tucson",2026-05-07T20:51:47.840509,"State Population: 7,151,502"
AZ-00011,Tucson Grill,David Davis,info@tucsongrill.com,+1 (555) 371-6701,3077 Main St,Tucson,AZ,Tucson County,63554,bakery,B,AZ_Scraper,"Restaurant,AZ,Tucson",2026-05-07T20:51:47.840520,"State Population: 7,151,502"
AZ-00012,Mesa House,James Wilson,info@mesahouse.com,+1 (555) 755-1932,8081 Main St,Mesa,AZ,Mesa County,38044,catering,B,AZ_Scraper,"Restaurant,AZ,Mesa",2026-05-07T20:51:47.840530,"State Population: 7,151,502"
AZ-00013,The Rodriguez Restaurant,Mary Johnson,info@therodriguezres.com,+1 (555) 889-6926,7203 Elm St,Mesa,AZ,Mesa County,39239,bar,B,AZ_Scraper,"Restaurant,AZ,Mesa",2026-05-07T20:51:47.840541,"State Population: 7,151,502"
AZ-00014,Scottsdale Grill,Linda Garcia,info@scottsdalegrill.com,+1 (555) 787-2035,5440 Main St,Scottsdale,AZ,Scottsdale County,70754,food service,B,AZ_Scraper,"Restaurant,AZ,Scottsdale",2026-05-07T20:51:47.840557,"State Population: 7,151,502"
AZ-00015,Phoenix Grill,Richard Garcia,info@phoenixgrill.com,+1 (555) 326-9992,7300 Elm St,Phoenix,AZ,Phoenix County,12099,cafe,B,AZ_Scraper,"Restaurant,AZ,Phoenix",2026-05-07T20:51:47.840568,"State Population: 7,151,502"
AZ-00016,Scottsdale Kitchen,Linda Garcia,info@scottsdalekitch.com,+1 (555) 493-3861,5262 Maple St,Scottsdale,AZ,Scottsdale County,40633,bakery,B,AZ_Scraper,"Restaurant,AZ,Scottsdale",2026-05-07T20:51:47.840580,"State Population: 7,151,502"
