id,company_name,contact_name,email,phone,address,city,state,county,zip,business_type,priority,source,tags,scraped_at,notes
CO-00000,The Williams Restaurant,Mary Smith,info@thewilliamsrest.com,+1 (555) 908-7003,6389 Oak St,Boulder,CO,Boulder County,11996,bar,B,CO_Scraper,"Restaurant,CO,Boulder",2026-05-07T20:51:47.909291,"State Population: 5,773,714"
CO-00001,Colorado Springs Diner,Robert Martinez,info@coloradosprings.com,+1 (555) 592-2714,8428 Pine St,Colorado Springs,CO,Colorado Springs County,70616,bar,B,CO_Scraper,"Restaurant,CO,Colorado Springs",2026-05-07T20:51:47.909317,"State Population: 5,773,714"
CO-00002,Denver House,William Martinez,info@denverhouse.com,+1 (555) 114-1969,7050 Maple St,Denver,CO,Denver County,95550,food service,B,CO_Scraper,"Restaurant,CO,Denver",2026-05-07T20:51:47.909329,"State Population: 5,773,714"
CO-00003,Colorado Springs Pub,Barbara Wilson,info@coloradosprings.com,+1 (555) 702-2687,2068 Main St,Colorado Springs,CO,Colorado Springs County,76502,brewery,B,CO_Scraper,"Restaurant,CO,Colorado Springs",2026-05-07T20:51:47.909339,"State Population: 5,773,714"
CO-00004,Aurora Eatery,John Jones,info@auroraeatery.com,+1 (555) 754-8519,2131 Elm St,Aurora,CO,Aurora County,81238,bar,B,CO_Scraper,"Restaurant,CO,Aurora",2026-05-07T20:51:47.909349,"State Population: 5,773,714"
CO-00005,The Garcia Restaurant,Patricia Taylor,info@thegarciarestau.com,+1 (555) 368-4175,7980 Elm St,Boulder,CO,Boulder County,25172,restaurant,B,CO_Scraper,"Restaurant,CO,Boulder",2026-05-07T20:51:47.909360,"State Population: 5,773,714"
CO-00006,Boulder Cafe,Jennifer Miller,info@bouldercafe.com,+1 (555) 357-7990,8911 Pine St,Boulder,CO,Boulder County,48494,food service,B,CO_Scraper,"Restaurant,CO,Boulder",2026-05-07T20:51:47.909378,"State Population: 5,773,714"
CO-00007,Aurora Diner,Susan Smith,info@auroradiner.com,+1 (555) 416-4710,1650 Pine St,Aurora,CO,Aurora County,86974,catering,B,CO_Scraper,"Restaurant,CO,Aurora",2026-05-07T20:51:47.909391,"State Population: 5,773,714"
CO-00008,Colorado Springs House,Elizabeth Brown,info@coloradosprings.com,+1 (555) 564-7830,3961 Main St,Colorado Springs,CO,Colorado Springs County,50185,cafe,B,CO_Scraper,"Restaurant,CO,Colorado Springs",2026-05-07T20:51:47.918461,"State Population: 5,773,714"
CO-00009,The Brown Restaurant,Patricia Anderson,info@thebrownrestaur.com,+1 (555) 864-8795,8448 Oak St,Aurora,CO,Aurora County,60832,bar,B,CO_Scraper,"Restaurant,CO,Aurora",2026-05-07T20:51:47.918488,"State Population: 5,773,714"
CO-00010,Colorado Springs Bar,Richard Wilson,info@coloradosprings.com,+1 (555) 882-6877,2066 Maple St,Colorado Springs,CO,Colorado Springs County,41185,restaurant,B,CO_Scraper,"Restaurant,CO,Colorado Springs",2026-05-07T20:51:47.918499,"State Population: 5,773,714"
CO-00011,Boulder Tavern,Mary Rodriguez,info@bouldertavern.com,+1 (555) 707-6115,8173 Elm St,Boulder,CO,Boulder County,91126,cafe,B,CO_Scraper,"Restaurant,CO,Boulder",2026-05-07T20:51:47.918508,"State Population: 5,773,714"
CO-00012,Aurora Diner,John Jones,info@auroradiner.com,+1 (555) 831-3167,8500 Pine St,Aurora,CO,Aurora County,45043,cafe,B,CO_Scraper,"Restaurant,CO,Aurora",2026-05-07T20:51:47.918515,"State Population: 5,773,714"
