id,company_name,contact_name,email,phone,address,city,state,county,zip,business_type,priority,source,tags,scraped_at,notes
HI-00000,Honolulu Pub,Mary Williams,info@honolulupub.com,+1 (555) 495-1972,3052 Pine St,Honolulu,HI,Honolulu County,93796,brewery,C,HI_Scraper,"Restaurant,HI,Honolulu",2026-05-07T20:51:47.943685,"State Population: 1,455,271"
HI-00001,Honolulu Diner,Jennifer Davis,info@honoluludiner.com,+1 (555) 915-8753,5013 Elm St,Honolulu,HI,Honolulu County,46268,food service,C,HI_Scraper,"Restaurant,HI,Honolulu",2026-05-07T20:51:47.943708,"State Population: 1,455,271"
HI-00002,The Miller Restaurant,Michael Taylor,info@themillerrestau.com,+1 (555) 786-9082,3062 Maple St,Hilo,HI,Hilo County,34075,bar,C,HI_Scraper,"Restaurant,HI,Hilo",2026-05-07T20:51:47.943723,"State Population: 1,455,271"
HI-00003,Kailua Bistro,John Martinez,info@kailuabistro.com,+1 (555) 153-5207,9839 Pine St,Kailua,HI,Kailua County,23792,bakery,C,HI_Scraper,"Restaurant,HI,Kailua",2026-05-07T20:51:47.943736,"State Population: 1,455,271"
HI-00004,Honolulu Grill,Elizabeth Davis,info@honolulugrill.com,+1 (555) 403-1691,5950 Pine St,Honolulu,HI,Honolulu County,39451,restaurant,C,HI_Scraper,"Restaurant,HI,Honolulu",2026-05-07T20:51:47.943748,"State Population: 1,455,271"
HI-00005,Honolulu Kitchen,Jennifer Anderson,info@honolulukitchen.com,+1 (555) 464-5922,3140 Elm St,Honolulu,HI,Honolulu County,94318,cafe,C,HI_Scraper,"Restaurant,HI,Honolulu",2026-05-07T20:51:47.943759,"State Population: 1,455,271"
HI-00006,Honolulu House,Barbara Johnson,info@honoluluhouse.com,+1 (555) 329-6892,3921 Maple St,Honolulu,HI,Honolulu County,65797,food service,C,HI_Scraper,"Restaurant,HI,Honolulu",2026-05-07T20:51:47.943779,"State Population: 1,455,271"
HI-00007,Kailua Cafe,William Taylor,info@kailuacafe.com,+1 (555) 940-2071,7954 Maple St,Kailua,HI,Kailua County,64351,cafe,C,HI_Scraper,"Restaurant,HI,Kailua",2026-05-07T20:51:47.943789,"State Population: 1,455,271"
HI-00008,Honolulu House,Susan Williams,info@honoluluhouse.com,+1 (555) 755-2940,156 Maple St,Honolulu,HI,Honolulu County,99471,catering,C,HI_Scraper,"Restaurant,HI,Honolulu",2026-05-07T20:51:47.943803,"State Population: 1,455,271"
HI-00009,Kahului Tavern,Jennifer Miller,info@kahuluitavern.com,+1 (555) 116-8866,4333 Elm St,Kahului,HI,Kahului County,74810,food service,C,HI_Scraper,"Restaurant,HI,Kahului",2026-05-07T20:51:47.943814,"State Population: 1,455,271"
HI-00010,Honolulu House,Linda Johnson,info@honoluluhouse.com,+1 (555) 837-8842,7778 Pine St,Honolulu,HI,Honolulu County,30485,brewery,C,HI_Scraper,"Restaurant,HI,Honolulu",2026-05-07T20:51:47.943823,"State Population: 1,455,271"
HI-00011,Hilo Grill,Richard Smith,info@hilogrill.com,+1 (555) 943-1988,8452 Oak St,Hilo,HI,Hilo County,20339,bakery,C,HI_Scraper,"Restaurant,HI,Hilo",2026-05-07T20:51:47.943833,"State Population: 1,455,271"
HI-00012,Hilo Eatery,Mary Davis,info@hiloeatery.com,+1 (555) 794-7682,4885 Elm St,Hilo,HI,Hilo County,13698,catering,C,HI_Scraper,"Restaurant,HI,Hilo",2026-05-07T20:51:47.943849,"State Population: 1,455,271"
HI-00013,Hilo Bar,Elizabeth Wilson,info@hilobar.com,+1 (555) 359-3176,4447 Elm St,Hilo,HI,Hilo County,44698,brewery,C,HI_Scraper,"Restaurant,HI,Hilo",2026-05-07T20:51:47.943860,"State Population: 1,455,271"
HI-00014,Honolulu Pub,David Jones,info@honolulupub.com,+1 (555) 658-7652,7632 Maple St,Honolulu,HI,Honolulu County,23299,food service,C,HI_Scraper,"Restaurant,HI,Honolulu",2026-05-07T20:51:47.943870,"State Population: 1,455,271"
HI-00015,Honolulu Tavern,Richard Smith,info@honolulutavern.com,+1 (555) 853-1123,6799 Pine St,Honolulu,HI,Honolulu County,19662,bar,C,HI_Scraper,"Restaurant,HI,Honolulu",2026-05-07T20:51:47.943880,"State Population: 1,455,271"
HI-00016,Hilo Tavern,Robert Smith,info@hilotavern.com,+1 (555) 849-5704,7652 Oak St,Hilo,HI,Hilo County,45936,cafe,C,HI_Scraper,"Restaurant,HI,Hilo",2026-05-07T20:51:47.943895,"State Population: 1,455,271"
HI-00017,Honolulu Grill,David Garcia,info@honolulugrill.com,+1 (555) 781-4524,5314 Elm St,Honolulu,HI,Honolulu County,21532,catering,C,HI_Scraper,"Restaurant,HI,Honolulu",2026-05-07T20:51:47.943905,"State Population: 1,455,271"
HI-00018,Kailua House,Michael Taylor,info@kailuahouse.com,+1 (555) 257-2768,9271 Oak St,Kailua,HI,Kailua County,66234,restaurant,C,HI_Scraper,"Restaurant,HI,Kailua",2026-05-07T20:51:47.943915,"State Population: 1,455,271"
HI-00019,The Rodriguez Restaurant,David Smith,info@therodriguezres.com,+1 (555) 494-1341,417 Maple St,Kahului,HI,Kahului County,97697,catering,C,HI_Scraper,"Restaurant,HI,Kahului",2026-05-07T20:51:47.943930,"State Population: 1,455,271"
