id,company_name,contact_name,email,phone,address,city,state,county,zip,business_type,priority,source,tags,scraped_at,notes
ID-00000,Nampa Bistro,Susan Miller,info@nampabistro.com,+1 (555) 648-5109,8478 Pine St,Nampa,ID,Nampa County,74533,brewery,C,ID_Scraper,"Restaurant,ID,Nampa",2026-05-07T20:51:47.912434,"State Population: 1,839,106"
ID-00001,Idaho Falls Diner,Michael Williams,info@idahofallsdiner.com,+1 (555) 691-5830,6505 Elm St,Idaho Falls,ID,Idaho Falls County,22594,brewery,C,ID_Scraper,"Restaurant,ID,Idaho Falls",2026-05-07T20:51:47.912465,"State Population: 1,839,106"
ID-00002,Nampa Bistro,Jennifer Smith,info@nampabistro.com,+1 (555) 237-3135,8469 Pine St,Nampa,ID,Nampa County,45717,cafe,C,ID_Scraper,"Restaurant,ID,Nampa",2026-05-07T20:51:47.912477,"State Population: 1,839,106"
ID-00003,Nampa Grill,William Brown,info@nampagrill.com,+1 (555) 368-5733,9710 Elm St,Nampa,ID,Nampa County,47900,catering,C,ID_Scraper,"Restaurant,ID,Nampa",2026-05-07T20:51:47.912488,"State Population: 1,839,106"
ID-00004,Coeur d'Alene Tavern,Barbara Davis,info@coeurdalenetave.com,+1 (555) 182-2495,5503 Elm St,Coeur d'Alene,ID,Coeur d'Alene County,55512,food service,C,ID_Scraper,"Restaurant,ID,Coeur d'Alene",2026-05-07T20:51:47.912498,"State Population: 1,839,106"
ID-00005,Idaho Falls Kitchen,Mary Garcia,info@idahofallskitch.com,+1 (555) 100-5773,622 Main St,Idaho Falls,ID,Idaho Falls County,53515,catering,C,ID_Scraper,"Restaurant,ID,Idaho Falls",2026-05-07T20:51:47.912508,"State Population: 1,839,106"
ID-00006,Coeur d'Alene Kitchen,Patricia Jones,info@coeurdalenekitc.com,+1 (555) 629-5291,7434 Elm St,Coeur d'Alene,ID,Coeur d'Alene County,28277,food service,C,ID_Scraper,"Restaurant,ID,Coeur d'Alene",2026-05-07T20:51:47.912526,"State Population: 1,839,106"
ID-00007,Nampa Bar,Robert Jones,info@nampabar.com,+1 (555) 726-7508,5386 Maple St,Nampa,ID,Nampa County,34352,bakery,C,ID_Scraper,"Restaurant,ID,Nampa",2026-05-07T20:51:47.912539,"State Population: 1,839,106"
ID-00008,Coeur d'Alene Kitchen,Robert Jones,info@coeurdalenekitc.com,+1 (555) 613-8846,4412 Oak St,Coeur d'Alene,ID,Coeur d'Alene County,62263,brewery,C,ID_Scraper,"Restaurant,ID,Coeur d'Alene",2026-05-07T20:51:47.912549,"State Population: 1,839,106"
ID-00009,Nampa House,William Rodriguez,info@nampahouse.com,+1 (555) 290-1520,1986 Pine St,Nampa,ID,Nampa County,35782,food service,C,ID_Scraper,"Restaurant,ID,Nampa",2026-05-07T20:51:47.912558,"State Population: 1,839,106"
ID-00010,Nampa Pub,Barbara Miller,info@nampapub.com,+1 (555) 886-9880,5645 Main St,Nampa,ID,Nampa County,27371,bar,C,ID_Scraper,"Restaurant,ID,Nampa",2026-05-07T20:51:47.912568,"State Population: 1,839,106"
ID-00011,The Wilson Restaurant,James Brown,info@thewilsonrestau.com,+1 (555) 915-8702,9924 Main St,Idaho Falls,ID,Idaho Falls County,42118,cafe,C,ID_Scraper,"Restaurant,ID,Idaho Falls",2026-05-07T20:51:47.912578,"State Population: 1,839,106"
ID-00012,Nampa Kitchen,Mary Davis,info@nampakitchen.com,+1 (555) 391-7511,3423 Oak St,Nampa,ID,Nampa County,26714,food service,C,ID_Scraper,"Restaurant,ID,Nampa",2026-05-07T20:51:47.912587,"State Population: 1,839,106"
ID-00013,Coeur d'Alene Grill,Robert Martinez,info@coeurdalenegril.com,+1 (555) 820-6974,6928 Main St,Coeur d'Alene,ID,Coeur d'Alene County,59076,food service,C,ID_Scraper,"Restaurant,ID,Coeur d'Alene",2026-05-07T20:51:47.912596,"State Population: 1,839,106"
ID-00014,Coeur d'Alene Bistro,Linda Smith,info@coeurdalenebist.com,+1 (555) 413-2893,5733 Oak St,Coeur d'Alene,ID,Coeur d'Alene County,81813,bar,C,ID_Scraper,"Restaurant,ID,Coeur d'Alene",2026-05-07T20:51:47.912606,"State Population: 1,839,106"
ID-00015,Boise House,Barbara Garcia,info@boisehouse.com,+1 (555) 179-1269,6608 Pine St,Boise,ID,Boise County,51850,bakery,C,ID_Scraper,"Restaurant,ID,Boise",2026-05-07T20:51:47.912620,"State Population: 1,839,106"
ID-00016,Boise Eatery,David Garcia,info@boiseeatery.com,+1 (555) 848-3602,5276 Oak St,Boise,ID,Boise County,26501,brewery,C,ID_Scraper,"Restaurant,ID,Boise",2026-05-07T20:51:47.912633,"State Population: 1,839,106"
ID-00017,Nampa Bistro,Jennifer Brown,info@nampabistro.com,+1 (555) 939-3576,6146 Maple St,Nampa,ID,Nampa County,79035,cafe,C,ID_Scraper,"Restaurant,ID,Nampa",2026-05-07T20:51:47.912643,"State Population: 1,839,106"
ID-00018,Idaho Falls Cafe,Jennifer Davis,info@idahofallscafe.com,+1 (555) 603-1808,3894 Main St,Idaho Falls,ID,Idaho Falls County,95079,restaurant,C,ID_Scraper,"Restaurant,ID,Idaho Falls",2026-05-07T20:51:47.912652,"State Population: 1,839,106"
ID-00019,Nampa House,Patricia Rodriguez,info@nampahouse.com,+1 (555) 774-1531,6629 Pine St,Nampa,ID,Nampa County,32599,restaurant,C,ID_Scraper,"Restaurant,ID,Nampa",2026-05-07T20:51:47.912661,"State Population: 1,839,106"
