id,company_name,contact_name,email,phone,address,city,state,county,zip,business_type,priority,source,tags,scraped_at,notes
MT-00000,Missoula Pub,Susan Smith,info@missoulapub.com,+1 (555) 628-9020,9553 Maple St,Missoula,MT,Missoula County,55241,food service,C,MT_Scraper,"Restaurant,MT,Missoula",2026-05-07T20:51:47.881293,"State Population: 1,084,225"
MT-00001,Bozeman Bistro,David Williams,info@bozemanbistro.com,+1 (555) 266-9210,4087 Elm St,Bozeman,MT,Bozeman County,41210,catering,C,MT_Scraper,"Restaurant,MT,Bozeman",2026-05-07T20:51:47.881330,"State Population: 1,084,225"
MT-00002,Billings Eatery,Mary Anderson,info@billingseatery.com,+1 (555) 519-1480,7316 Oak St,Billings,MT,Billings County,73869,bar,C,MT_Scraper,"Restaurant,MT,Billings",2026-05-07T20:51:47.881345,"State Population: 1,084,225"
MT-00003,Missoula Grill,James Martinez,info@missoulagrill.com,+1 (555) 494-1344,9691 Pine St,Missoula,MT,Missoula County,38084,restaurant,C,MT_Scraper,"Restaurant,MT,Missoula",2026-05-07T20:51:47.881357,"State Population: 1,084,225"
MT-00004,Bozeman House,Linda Miller,info@bozemanhouse.com,+1 (555) 877-8622,9637 Maple St,Bozeman,MT,Bozeman County,39741,cafe,C,MT_Scraper,"Restaurant,MT,Bozeman",2026-05-07T20:51:47.881367,"State Population: 1,084,225"
MT-00005,Billings Grill,Patricia Wilson,info@billingsgrill.com,+1 (555) 110-2164,6229 Main St,Billings,MT,Billings County,24513,food service,C,MT_Scraper,"Restaurant,MT,Billings",2026-05-07T20:51:47.881378,"State Population: 1,084,225"
MT-00006,Great Falls Kitchen,Robert Johnson,info@greatfallskitch.com,+1 (555) 370-5825,9856 Maple St,Great Falls,MT,Great Falls County,51321,food service,C,MT_Scraper,"Restaurant,MT,Great Falls",2026-05-07T20:51:47.881422,"State Population: 1,084,225"
MT-00007,Billings Grill,James Johnson,info@billingsgrill.com,+1 (555) 893-7976,7872 Elm St,Billings,MT,Billings County,17972,food service,C,MT_Scraper,"Restaurant,MT,Billings",2026-05-07T20:51:47.881439,"State Population: 1,084,225"
MT-00008,Billings Grill,Linda Brown,info@billingsgrill.com,+1 (555) 922-9821,7876 Main St,Billings,MT,Billings County,34445,cafe,C,MT_Scraper,"Restaurant,MT,Billings",2026-05-07T20:51:47.881452,"State Population: 1,084,225"
MT-00009,Great Falls House,Jennifer Jones,info@greatfallshouse.com,+1 (555) 123-8744,9830 Main St,Great Falls,MT,Great Falls County,45908,bakery,C,MT_Scraper,"Restaurant,MT,Great Falls",2026-05-07T20:51:47.881462,"State Population: 1,084,225"
MT-00010,Bozeman Grill,David Smith,info@bozemangrill.com,+1 (555) 899-2662,1452 Oak St,Bozeman,MT,Bozeman County,12409,cafe,C,MT_Scraper,"Restaurant,MT,Bozeman",2026-05-07T20:51:47.881473,"State Population: 1,084,225"
MT-00011,Billings Cafe,Barbara Williams,info@billingscafe.com,+1 (555) 557-3753,7666 Maple St,Billings,MT,Billings County,58209,catering,C,MT_Scraper,"Restaurant,MT,Billings",2026-05-07T20:51:47.881485,"State Population: 1,084,225"
MT-00012,Great Falls Eatery,William Rodriguez,info@greatfallseater.com,+1 (555) 612-6010,2787 Oak St,Great Falls,MT,Great Falls County,97820,cafe,C,MT_Scraper,"Restaurant,MT,Great Falls",2026-05-07T20:51:47.881496,"State Population: 1,084,225"
MT-00013,Bozeman Eatery,Susan Taylor,info@bozemaneatery.com,+1 (555) 275-1986,189 Pine St,Bozeman,MT,Bozeman County,69924,bar,C,MT_Scraper,"Restaurant,MT,Bozeman",2026-05-07T20:51:47.881506,"State Population: 1,084,225"
MT-00014,Bozeman Kitchen,Barbara Brown,info@bozemankitchen.com,+1 (555) 191-3672,5295 Oak St,Bozeman,MT,Bozeman County,37978,brewery,C,MT_Scraper,"Restaurant,MT,Bozeman",2026-05-07T20:51:47.881519,"State Population: 1,084,225"
MT-00015,Billings Bistro,Barbara Davis,info@billingsbistro.com,+1 (555) 491-8119,4961 Pine St,Billings,MT,Billings County,38063,catering,C,MT_Scraper,"Restaurant,MT,Billings",2026-05-07T20:51:47.881529,"State Population: 1,084,225"
MT-00016,Billings Bar,Jennifer Martinez,info@billingsbar.com,+1 (555) 822-1177,7018 Maple St,Billings,MT,Billings County,60776,catering,C,MT_Scraper,"Restaurant,MT,Billings",2026-05-07T20:51:47.881542,"State Population: 1,084,225"
MT-00017,The Anderson Restaurant,Elizabeth Brown,info@theandersonrest.com,+1 (555) 737-8034,1898 Maple St,Missoula,MT,Missoula County,62101,brewery,C,MT_Scraper,"Restaurant,MT,Missoula",2026-05-07T20:51:47.881553,"State Population: 1,084,225"
MT-00018,Missoula Bar,Robert Johnson,info@missoulabar.com,+1 (555) 296-9734,9546 Pine St,Missoula,MT,Missoula County,47878,restaurant,C,MT_Scraper,"Restaurant,MT,Missoula",2026-05-07T20:51:47.881563,"State Population: 1,084,225"
MT-00019,Bozeman House,William Williams,info@bozemanhouse.com,+1 (555) 535-9747,7795 Main St,Bozeman,MT,Bozeman County,74018,food service,C,MT_Scraper,"Restaurant,MT,Bozeman",2026-05-07T20:51:47.881572,"State Population: 1,084,225"
