id,company_name,contact_name,email,phone,address,city,state,county,zip,business_type,priority,source,tags,scraped_at,notes
NM-00000,Roswell House,Michael Taylor,info@roswellhouse.com,+1 (555) 987-3878,495 Pine St,Roswell,NM,Roswell County,94993,bar,C,NM_Scraper,"Restaurant,NM,Roswell",2026-05-07T20:51:47.932503,"State Population: 2,117,522"
NM-00001,Roswell Bistro,Jennifer Taylor,info@roswellbistro.com,+1 (555) 648-1116,3178 Pine St,Roswell,NM,Roswell County,12075,food service,C,NM_Scraper,"Restaurant,NM,Roswell",2026-05-07T20:51:47.932530,"State Population: 2,117,522"
NM-00002,Albuquerque Bistro,Michael Garcia,info@albuquerquebist.com,+1 (555) 412-1581,347 Main St,Albuquerque,NM,Albuquerque County,92449,restaurant,C,NM_Scraper,"Restaurant,NM,Albuquerque",2026-05-07T20:51:47.932543,"State Population: 2,117,522"
NM-00003,Santa Fe House,Barbara Martinez,info@santafehouse.com,+1 (555) 816-8175,3217 Pine St,Santa Fe,NM,Santa Fe County,36478,food service,C,NM_Scraper,"Restaurant,NM,Santa Fe",2026-05-07T20:51:47.932553,"State Population: 2,117,522"
NM-00004,Santa Fe Pub,William Garcia,info@santafepub.com,+1 (555) 542-7344,8318 Main St,Santa Fe,NM,Santa Fe County,20511,brewery,C,NM_Scraper,"Restaurant,NM,Santa Fe",2026-05-07T20:51:47.932563,"State Population: 2,117,522"
NM-00005,Santa Fe Tavern,James Rodriguez,info@santafetavern.com,+1 (555) 890-3143,8401 Main St,Santa Fe,NM,Santa Fe County,55266,food service,C,NM_Scraper,"Restaurant,NM,Santa Fe",2026-05-07T20:51:47.932574,"State Population: 2,117,522"
NM-00006,Roswell Kitchen,James Wilson,info@roswellkitchen.com,+1 (555) 587-8201,326 Maple St,Roswell,NM,Roswell County,80841,bar,C,NM_Scraper,"Restaurant,NM,Roswell",2026-05-07T20:51:47.932608,"State Population: 2,117,522"
NM-00007,Santa Fe Grill,Elizabeth Martinez,info@santafegrill.com,+1 (555) 975-4013,6151 Maple St,Santa Fe,NM,Santa Fe County,33237,cafe,C,NM_Scraper,"Restaurant,NM,Santa Fe",2026-05-07T20:51:47.932620,"State Population: 2,117,522"
NM-00008,Las Cruces House,William Miller,info@lascruceshouse.com,+1 (555) 574-7893,5982 Pine St,Las Cruces,NM,Las Cruces County,31643,bar,C,NM_Scraper,"Restaurant,NM,Las Cruces",2026-05-07T20:51:47.932633,"State Population: 2,117,522"
NM-00009,Las Cruces Tavern,John Johnson,info@lascrucestavern.com,+1 (555) 697-7322,8370 Maple St,Las Cruces,NM,Las Cruces County,94861,bar,C,NM_Scraper,"Restaurant,NM,Las Cruces",2026-05-07T20:51:47.932642,"State Population: 2,117,522"
NM-00010,Santa Fe Diner,William Martinez,info@santafediner.com,+1 (555) 706-9026,5166 Main St,Santa Fe,NM,Santa Fe County,26462,catering,C,NM_Scraper,"Restaurant,NM,Santa Fe",2026-05-07T20:51:47.932651,"State Population: 2,117,522"
NM-00011,Santa Fe Eatery,Linda Smith,info@santafeeatery.com,+1 (555) 827-4197,5557 Elm St,Santa Fe,NM,Santa Fe County,63883,cafe,C,NM_Scraper,"Restaurant,NM,Santa Fe",2026-05-07T20:51:47.932660,"State Population: 2,117,522"
NM-00012,Santa Fe House,James Davis,info@santafehouse.com,+1 (555) 664-2131,5093 Maple St,Santa Fe,NM,Santa Fe County,12857,food service,C,NM_Scraper,"Restaurant,NM,Santa Fe",2026-05-07T20:51:47.932670,"State Population: 2,117,522"
NM-00013,Albuquerque Pub,John Johnson,info@albuquerquepub.com,+1 (555) 184-8703,6326 Elm St,Albuquerque,NM,Albuquerque County,92913,bar,C,NM_Scraper,"Restaurant,NM,Albuquerque",2026-05-07T20:51:47.932687,"State Population: 2,117,522"
NM-00014,The Brown Restaurant,Robert Taylor,info@thebrownrestaur.com,+1 (555) 935-2161,5212 Maple St,Santa Fe,NM,Santa Fe County,70077,catering,C,NM_Scraper,"Restaurant,NM,Santa Fe",2026-05-07T20:51:47.932696,"State Population: 2,117,522"
NM-00015,Roswell Diner,John Brown,info@roswelldiner.com,+1 (555) 436-3208,6367 Main St,Roswell,NM,Roswell County,26278,cafe,C,NM_Scraper,"Restaurant,NM,Roswell",2026-05-07T20:51:47.932705,"State Population: 2,117,522"
NM-00016,Roswell Kitchen,Susan Brown,info@roswellkitchen.com,+1 (555) 135-3718,5907 Oak St,Roswell,NM,Roswell County,31228,food service,C,NM_Scraper,"Restaurant,NM,Roswell",2026-05-07T20:51:47.932717,"State Population: 2,117,522"
NM-00017,Las Cruces Eatery,Mary Miller,info@lascruceseatery.com,+1 (555) 616-4668,1111 Maple St,Las Cruces,NM,Las Cruces County,92722,bakery,C,NM_Scraper,"Restaurant,NM,Las Cruces",2026-05-07T20:51:47.932726,"State Population: 2,117,522"
NM-00018,Las Cruces Diner,Linda Brown,info@lascrucesdiner.com,+1 (555) 430-5224,8885 Maple St,Las Cruces,NM,Las Cruces County,74523,cafe,C,NM_Scraper,"Restaurant,NM,Las Cruces",2026-05-07T20:51:47.932734,"State Population: 2,117,522"
NM-00019,Roswell Tavern,Patricia Brown,info@roswelltavern.com,+1 (555) 584-1940,3462 Pine St,Roswell,NM,Roswell County,57481,bakery,C,NM_Scraper,"Restaurant,NM,Roswell",2026-05-07T20:51:47.932743,"State Population: 2,117,522"
