id,company_name,contact_name,email,phone,address,city,state,county,zip,business_type,priority,source,tags,scraped_at,notes
NV-00000,Carson City Kitchen,Patricia Jones,info@carsoncitykitch.com,+1 (555) 806-1478,9515 Maple St,Carson City,NV,Carson City County,58312,restaurant,C,NV_Scraper,"Restaurant,NV,Carson City",2026-05-07T20:51:47.855699,"State Population: 3,104,614"
NV-00001,Reno Eatery,Richard Martinez,info@renoeatery.com,+1 (555) 757-3199,5115 Main St,Reno,NV,Reno County,91763,restaurant,C,NV_Scraper,"Restaurant,NV,Reno",2026-05-07T20:51:47.855727,"State Population: 3,104,614"
NV-00002,Reno Grill,Jennifer Martinez,info@renogrill.com,+1 (555) 109-6505,3026 Oak St,Reno,NV,Reno County,15927,catering,C,NV_Scraper,"Restaurant,NV,Reno",2026-05-07T20:51:47.855740,"State Population: 3,104,614"
NV-00003,Carson City Bar,Mary Smith,info@carsoncitybar.com,+1 (555) 695-6408,8342 Main St,Carson City,NV,Carson City County,21836,food service,C,NV_Scraper,"Restaurant,NV,Carson City",2026-05-07T20:51:47.855748,"State Population: 3,104,614"
NV-00004,The Smith Restaurant,Patricia Taylor,info@thesmithrestaur.com,+1 (555) 539-9164,577 Elm St,Reno,NV,Reno County,45136,brewery,C,NV_Scraper,"Restaurant,NV,Reno",2026-05-07T20:51:47.855756,"State Population: 3,104,614"
NV-00005,Henderson Bistro,Jennifer Garcia,info@hendersonbistro.com,+1 (555) 863-6504,3162 Pine St,Henderson,NV,Henderson County,82364,bakery,C,NV_Scraper,"Restaurant,NV,Henderson",2026-05-07T20:51:47.855764,"State Population: 3,104,614"
NV-00006,The Smith Restaurant,Elizabeth Davis,info@thesmithrestaur.com,+1 (555) 421-9208,8305 Oak St,Las Vegas,NV,Las Vegas County,51430,cafe,C,NV_Scraper,"Restaurant,NV,Las Vegas",2026-05-07T20:51:47.855780,"State Population: 3,104,614"
NV-00007,Las Vegas Eatery,Linda Garcia,info@lasvegaseatery.com,+1 (555) 314-9267,968 Pine St,Las Vegas,NV,Las Vegas County,15385,bakery,C,NV_Scraper,"Restaurant,NV,Las Vegas",2026-05-07T20:51:47.855791,"State Population: 3,104,614"
NV-00008,Las Vegas Bistro,Robert Jones,info@lasvegasbistro.com,+1 (555) 725-2690,1214 Maple St,Las Vegas,NV,Las Vegas County,68787,brewery,C,NV_Scraper,"Restaurant,NV,Las Vegas",2026-05-07T20:51:47.855797,"State Population: 3,104,614"
NV-00009,Reno Bar,Mary Williams,info@renobar.com,+1 (555) 969-2072,1637 Maple St,Reno,NV,Reno County,48710,cafe,C,NV_Scraper,"Restaurant,NV,Reno",2026-05-07T20:51:47.855805,"State Population: 3,104,614"
NV-00010,Henderson Tavern,Barbara Davis,info@hendersontavern.com,+1 (555) 949-4122,7731 Elm St,Henderson,NV,Henderson County,21073,brewery,C,NV_Scraper,"Restaurant,NV,Henderson",2026-05-07T20:51:47.855812,"State Population: 3,104,614"
NV-00011,Las Vegas Cafe,Patricia Garcia,info@lasvegascafe.com,+1 (555) 683-8338,1118 Elm St,Las Vegas,NV,Las Vegas County,69494,cafe,C,NV_Scraper,"Restaurant,NV,Las Vegas",2026-05-07T20:51:47.855818,"State Population: 3,104,614"
NV-00012,Henderson Grill,David Taylor,info@hendersongrill.com,+1 (555) 950-1316,9572 Maple St,Henderson,NV,Henderson County,71967,brewery,C,NV_Scraper,"Restaurant,NV,Henderson",2026-05-07T20:51:47.855825,"State Population: 3,104,614"
NV-00013,Reno Kitchen,Richard Jones,info@renokitchen.com,+1 (555) 485-3799,5819 Maple St,Reno,NV,Reno County,90755,catering,C,NV_Scraper,"Restaurant,NV,Reno",2026-05-07T20:51:47.855831,"State Population: 3,104,614"
NV-00014,Henderson Bar,James Martinez,info@hendersonbar.com,+1 (555) 191-5250,3138 Elm St,Henderson,NV,Henderson County,98597,cafe,C,NV_Scraper,"Restaurant,NV,Henderson",2026-05-07T20:51:47.855844,"State Population: 3,104,614"
NV-00015,Henderson Bar,John Johnson,info@hendersonbar.com,+1 (555) 856-7904,9090 Pine St,Henderson,NV,Henderson County,42574,brewery,C,NV_Scraper,"Restaurant,NV,Henderson",2026-05-07T20:51:47.855850,"State Population: 3,104,614"
NV-00016,The Martinez Restaurant,Patricia Smith,info@themartinezrest.com,+1 (555) 990-3882,3859 Maple St,Carson City,NV,Carson City County,84858,bar,C,NV_Scraper,"Restaurant,NV,Carson City",2026-05-07T20:51:47.855860,"State Population: 3,104,614"
NV-00017,Henderson Eatery,Mary Miller,info@hendersoneatery.com,+1 (555) 664-7617,7594 Maple St,Henderson,NV,Henderson County,56610,cafe,C,NV_Scraper,"Restaurant,NV,Henderson",2026-05-07T20:51:47.855866,"State Population: 3,104,614"
NV-00018,Henderson Bistro,Susan Williams,info@hendersonbistro.com,+1 (555) 473-1948,8900 Elm St,Henderson,NV,Henderson County,76369,bar,C,NV_Scraper,"Restaurant,NV,Henderson",2026-05-07T20:51:47.855872,"State Population: 3,104,614"
NV-00019,Henderson Cafe,Richard Brown,info@hendersoncafe.com,+1 (555) 470-3978,1242 Elm St,Henderson,NV,Henderson County,12992,food service,C,NV_Scraper,"Restaurant,NV,Henderson",2026-05-07T20:51:47.855877,"State Population: 3,104,614"
