id,company_name,contact_name,email,phone,address,city,state,county,zip,business_type,priority,source,tags,scraped_at,notes
UT-00000,Provo Pub,Michael Garcia,info@provopub.com,+1 (555) 969-8743,6065 Main St,Provo,UT,Provo County,69682,food service,C,UT_Scraper,"Restaurant,UT,Provo",2026-05-07T20:51:47.859657,"State Population: 3,271,616"
UT-00001,Ogden House,Elizabeth Rodriguez,info@ogdenhouse.com,+1 (555) 320-7909,1728 Pine St,Ogden,UT,Ogden County,63632,bar,C,UT_Scraper,"Restaurant,UT,Ogden",2026-05-07T20:51:47.859680,"State Population: 3,271,616"
UT-00002,St. George Bar,David Smith,info@st.georgebar.com,+1 (555) 221-8704,6441 Pine St,St. George,UT,St. George County,10835,brewery,C,UT_Scraper,"Restaurant,UT,St. George",2026-05-07T20:51:47.859693,"State Population: 3,271,616"
UT-00003,Salt Lake City Bar,James Miller,info@saltlakecitybar.com,+1 (555) 429-5510,2049 Pine St,Salt Lake City,UT,Salt Lake City County,30558,catering,C,UT_Scraper,"Restaurant,UT,Salt Lake City",2026-05-07T20:51:47.859704,"State Population: 3,271,616"
UT-00004,St. George Tavern,William Miller,info@st.georgetavern.com,+1 (555) 957-5336,7838 Main St,St. George,UT,St. George County,32239,restaurant,C,UT_Scraper,"Restaurant,UT,St. George",2026-05-07T20:51:47.859714,"State Population: 3,271,616"
UT-00005,St. George Tavern,William Brown,info@st.georgetavern.com,+1 (555) 985-3509,6824 Elm St,St. George,UT,St. George County,21765,bakery,C,UT_Scraper,"Restaurant,UT,St. George",2026-05-07T20:51:47.859724,"State Population: 3,271,616"
UT-00006,St. George Pub,John Smith,info@st.georgepub.com,+1 (555) 275-9769,3123 Elm St,St. George,UT,St. George County,81723,catering,C,UT_Scraper,"Restaurant,UT,St. George",2026-05-07T20:51:47.859742,"State Population: 3,271,616"
UT-00007,Ogden Cafe,Linda Wilson,info@ogdencafe.com,+1 (555) 863-5203,2844 Elm St,Ogden,UT,Ogden County,65051,catering,C,UT_Scraper,"Restaurant,UT,Ogden",2026-05-07T20:51:47.859755,"State Population: 3,271,616"
UT-00008,Salt Lake City Diner,Susan Smith,info@saltlakecitydin.com,+1 (555) 567-4014,5532 Main St,Salt Lake City,UT,Salt Lake City County,92893,restaurant,C,UT_Scraper,"Restaurant,UT,Salt Lake City",2026-05-07T20:51:47.859765,"State Population: 3,271,616"
UT-00009,Ogden Grill,Mary Johnson,info@ogdengrill.com,+1 (555) 191-5246,6974 Pine St,Ogden,UT,Ogden County,16029,restaurant,C,UT_Scraper,"Restaurant,UT,Ogden",2026-05-07T20:51:47.859775,"State Population: 3,271,616"
UT-00010,Provo Bistro,William Miller,info@provobistro.com,+1 (555) 819-8399,656 Maple St,Provo,UT,Provo County,23677,bar,C,UT_Scraper,"Restaurant,UT,Provo",2026-05-07T20:51:47.859785,"State Population: 3,271,616"
UT-00011,Salt Lake City House,Richard Wilson,info@saltlakecityhou.com,+1 (555) 847-6002,6621 Pine St,Salt Lake City,UT,Salt Lake City County,94515,bakery,C,UT_Scraper,"Restaurant,UT,Salt Lake City",2026-05-07T20:51:47.859794,"State Population: 3,271,616"
UT-00012,St. George Eatery,Susan Miller,info@st.georgeeatery.com,+1 (555) 933-9583,5024 Main St,St. George,UT,St. George County,89328,bakery,C,UT_Scraper,"Restaurant,UT,St. George",2026-05-07T20:51:47.859804,"State Population: 3,271,616"
UT-00013,Ogden Pub,William Jones,info@ogdenpub.com,+1 (555) 163-2751,9770 Oak St,Ogden,UT,Ogden County,11606,bar,C,UT_Scraper,"Restaurant,UT,Ogden",2026-05-07T20:51:47.859813,"State Population: 3,271,616"
UT-00014,Salt Lake City Pub,Michael Johnson,info@saltlakecitypub.com,+1 (555) 715-6648,4770 Oak St,Salt Lake City,UT,Salt Lake City County,30094,catering,C,UT_Scraper,"Restaurant,UT,Salt Lake City",2026-05-07T20:51:47.859823,"State Population: 3,271,616"
UT-00015,The Miller Restaurant,William Rodriguez,info@themillerrestau.com,+1 (555) 976-4262,7891 Oak St,Salt Lake City,UT,Salt Lake City County,39794,bakery,C,UT_Scraper,"Restaurant,UT,Salt Lake City",2026-05-07T20:51:47.859839,"State Population: 3,271,616"
UT-00016,Salt Lake City Bar,William Davis,info@saltlakecitybar.com,+1 (555) 866-5570,6114 Maple St,Salt Lake City,UT,Salt Lake City County,42791,food service,C,UT_Scraper,"Restaurant,UT,Salt Lake City",2026-05-07T20:51:47.859852,"State Population: 3,271,616"
UT-00017,Ogden House,Mary Smith,info@ogdenhouse.com,+1 (555) 891-7546,974 Elm St,Ogden,UT,Ogden County,90198,food service,C,UT_Scraper,"Restaurant,UT,Ogden",2026-05-07T20:51:47.859861,"State Population: 3,271,616"
UT-00018,Salt Lake City Tavern,Michael Brown,info@saltlakecitytav.com,+1 (555) 630-5748,8307 Elm St,Salt Lake City,UT,Salt Lake City County,14086,restaurant,C,UT_Scraper,"Restaurant,UT,Salt Lake City",2026-05-07T20:51:47.859871,"State Population: 3,271,616"
UT-00019,Salt Lake City Cafe,John Jones,info@saltlakecitycaf.com,+1 (555) 922-3705,1609 Maple St,Salt Lake City,UT,Salt Lake City County,31234,restaurant,C,UT_Scraper,"Restaurant,UT,Salt Lake City",2026-05-07T20:51:47.859881,"State Population: 3,271,616"
