id,company_name,contact_name,email,phone,address,city,state,county,zip,business_type,priority,source,tags,scraped_at,notes
WY-00000,Cheyenne Pub,Elizabeth Smith,info@cheyennepub.com,+1 (555) 242-1720,5261 Maple St,Cheyenne,WY,Cheyenne County,83330,cafe,C,WY_Scraper,"Restaurant,WY,Cheyenne",2026-05-07T20:51:47.890713,"State Population: 576,851"
WY-00001,Cheyenne Kitchen,Robert Garcia,info@cheyennekitchen.com,+1 (555) 453-7370,4168 Maple St,Cheyenne,WY,Cheyenne County,51872,catering,C,WY_Scraper,"Restaurant,WY,Cheyenne",2026-05-07T20:51:47.890741,"State Population: 576,851"
WY-00002,Jackson Cafe,James Wilson,info@jacksoncafe.com,+1 (555) 248-2150,6162 Maple St,Jackson,WY,Jackson County,22029,cafe,C,WY_Scraper,"Restaurant,WY,Jackson",2026-05-07T20:51:47.890754,"State Population: 576,851"
WY-00003,Casper House,David Miller,info@casperhouse.com,+1 (555) 639-1740,9586 Oak St,Casper,WY,Casper County,68072,bakery,C,WY_Scraper,"Restaurant,WY,Casper",2026-05-07T20:51:47.890764,"State Population: 576,851"
WY-00004,The Miller Restaurant,James Rodriguez,info@themillerrestau.com,+1 (555) 849-1292,2741 Pine St,Jackson,WY,Jackson County,99486,bar,C,WY_Scraper,"Restaurant,WY,Jackson",2026-05-07T20:51:47.890774,"State Population: 576,851"
WY-00005,Laramie Bar,John Smith,info@laramiebar.com,+1 (555) 469-9411,6638 Main St,Laramie,WY,Laramie County,88066,brewery,C,WY_Scraper,"Restaurant,WY,Laramie",2026-05-07T20:51:47.890784,"State Population: 576,851"
WY-00006,Casper Cafe,Jennifer Smith,info@caspercafe.com,+1 (555) 747-2101,1283 Main St,Casper,WY,Casper County,81748,bakery,C,WY_Scraper,"Restaurant,WY,Casper",2026-05-07T20:51:47.890798,"State Population: 576,851"
WY-00007,The Wilson Restaurant,Michael Johnson,info@thewilsonrestau.com,+1 (555) 413-4458,9737 Pine St,Jackson,WY,Jackson County,44458,cafe,C,WY_Scraper,"Restaurant,WY,Jackson",2026-05-07T20:51:47.890813,"State Population: 576,851"
WY-00008,Cheyenne Cafe,Susan Jones,info@cheyennecafe.com,+1 (555) 486-2935,8979 Main St,Cheyenne,WY,Cheyenne County,58480,food service,C,WY_Scraper,"Restaurant,WY,Cheyenne",2026-05-07T20:51:47.890826,"State Population: 576,851"
WY-00009,Laramie Bar,James Wilson,info@laramiebar.com,+1 (555) 558-4865,1702 Elm St,Laramie,WY,Laramie County,73399,food service,C,WY_Scraper,"Restaurant,WY,Laramie",2026-05-07T20:51:47.890835,"State Population: 576,851"
WY-00010,Laramie Cafe,James Jones,info@laramiecafe.com,+1 (555) 303-7272,7447 Main St,Laramie,WY,Laramie County,57801,brewery,C,WY_Scraper,"Restaurant,WY,Laramie",2026-05-07T20:51:47.890845,"State Population: 576,851"
WY-00011,Jackson Eatery,Jennifer Davis,info@jacksoneatery.com,+1 (555) 360-3334,6900 Maple St,Jackson,WY,Jackson County,56020,brewery,C,WY_Scraper,"Restaurant,WY,Jackson",2026-05-07T20:51:47.890854,"State Population: 576,851"
WY-00012,Casper Tavern,James Wilson,info@caspertavern.com,+1 (555) 538-8526,6213 Main St,Casper,WY,Casper County,19817,brewery,C,WY_Scraper,"Restaurant,WY,Casper",2026-05-07T20:51:47.890864,"State Population: 576,851"
WY-00013,The Johnson Restaurant,Patricia Johnson,info@thejohnsonresta.com,+1 (555) 116-4595,9770 Main St,Cheyenne,WY,Cheyenne County,25241,restaurant,C,WY_Scraper,"Restaurant,WY,Cheyenne",2026-05-07T20:51:47.890874,"State Population: 576,851"
WY-00014,Jackson Kitchen,William Anderson,info@jacksonkitchen.com,+1 (555) 313-1712,1320 Pine St,Jackson,WY,Jackson County,63288,food service,C,WY_Scraper,"Restaurant,WY,Jackson",2026-05-07T20:51:47.890890,"State Population: 576,851"
WY-00015,Casper Kitchen,Elizabeth Miller,info@casperkitchen.com,+1 (555) 441-6488,1016 Maple St,Casper,WY,Casper County,69009,bakery,C,WY_Scraper,"Restaurant,WY,Casper",2026-05-07T20:51:47.890899,"State Population: 576,851"
WY-00016,Laramie Eatery,James Garcia,info@laramieeatery.com,+1 (555) 897-9028,1628 Main St,Laramie,WY,Laramie County,47156,catering,C,WY_Scraper,"Restaurant,WY,Laramie",2026-05-07T20:51:47.890912,"State Population: 576,851"
WY-00017,The Taylor Restaurant,David Williams,info@thetaylorrestau.com,+1 (555) 789-9491,4647 Main St,Laramie,WY,Laramie County,33228,bakery,C,WY_Scraper,"Restaurant,WY,Laramie",2026-05-07T20:51:47.890921,"State Population: 576,851"
WY-00018,Jackson Grill,Elizabeth Jones,info@jacksongrill.com,+1 (555) 813-7645,6917 Maple St,Jackson,WY,Jackson County,96035,bakery,C,WY_Scraper,"Restaurant,WY,Jackson",2026-05-07T20:51:47.890931,"State Population: 576,851"
WY-00019,Laramie Tavern,Michael Rodriguez,info@laramietavern.com,+1 (555) 679-6612,9884 Main St,Laramie,WY,Laramie County,45474,bakery,C,WY_Scraper,"Restaurant,WY,Laramie",2026-05-07T20:51:47.890940,"State Population: 576,851"
