id,company_name,contact_name,email,phone,address,city,county,state,zip,business_type,priority,source,tags,scraped_at,pos_system,estimated_volume,notes
TN-DAV-0000,Nashville Bistro,Jennifer Lopez,nashvilleb@gmail.com,+1 (731) 452-8422,3129 Main St,Nashville,Davidson,TN,38345,Restaurant,A,TN_Restaurant_Scraper,"Restaurant,Davidson,Restaurant",2026-04-29T20:55:45.448742,,High,"Population: 715,884"
TN-DAV-0001,Nashville Cafe,Mary Anderson,info@nashvillecafe.com,+1 (901) 764-4358,3837 Main St,Nashville,Davidson,TN,37667,Cafe,A,TN_Restaurant_Scraper,"Restaurant,Davidson,Cafe",2026-04-29T20:55:45.448772,,High,"Population: 715,884"
TN-DAV-0002,Nashville Grill,Richard Garcia,nashvilleg@outlook.com,+1 (931) 784-3087,4877 Main St,Nashville,Davidson,TN,37509,Restaurant,A,TN_Restaurant_Scraper,"Restaurant,Davidson,Restaurant",2026-04-29T20:55:45.448791,Aloha,Low,"Population: 715,884"
TN-DAV-0003,Nashville Kitchen,William Davis,nashvillek@outlook.com,+1 (423) 486-4232,2687 Main St,Nashville,Davidson,TN,37285,Restaurant,A,TN_Restaurant_Scraper,"Restaurant,Davidson,Restaurant",2026-04-29T20:55:45.448804,,Low,"Population: 715,884"
TN-DAV-0004,Nashville Grill,John Davis,info@nashvillegrill.com,+1 (931) 807-8085,6766 Main St,Nashville,Davidson,TN,38095,Restaurant,A,TN_Restaurant_Scraper,"Restaurant,Davidson,Restaurant",2026-04-29T20:55:45.448813,,High,"Population: 715,884"
TN-DAV-0005,Nashville Eatery,Patricia Anderson,info@nashvilleeatery.com,+1 (931) 171-9102,9769 Main St,Nashville,Davidson,TN,38446,Restaurant,A,TN_Restaurant_Scraper,"Restaurant,Davidson,Restaurant",2026-04-29T20:55:45.448823,Toast,Medium,"Population: 715,884"
TN-DAV-0006,Nashville Kitchen,Jessica Miller,info@nashvillekitche.com,+1 (865) 959-7966,3861 Main St,Nashville,Davidson,TN,38477,Restaurant,A,TN_Restaurant_Scraper,"Restaurant,Davidson,Restaurant",2026-04-29T20:55:45.448842,,Medium,"Population: 715,884"
TN-DAV-0007,Nashville Kitchen,William Anderson,info@nashvillekitche.com,+1 (731) 522-5856,8668 Main St,Nashville,Davidson,TN,37430,Restaurant,A,TN_Restaurant_Scraper,"Restaurant,Davidson,Restaurant",2026-04-29T20:55:45.448853,,Medium,"Population: 715,884"
TN-DAV-0008,Nashville Eatery,William Martinez,info@nashvilleeatery.com,+1 (865) 423-2168,7590 Main St,Nashville,Davidson,TN,37383,Restaurant,A,TN_Restaurant_Scraper,"Restaurant,Davidson,Restaurant",2026-04-29T20:55:45.448862,Square,High,"Population: 715,884"
TN-DAV-0009,Nashville Grill,Robert Wilson,nashvilleg@outlook.com,+1 (615) 631-5413,2684 Main St,Nashville,Davidson,TN,37609,Restaurant,A,TN_Restaurant_Scraper,"Restaurant,Davidson,Restaurant",2026-04-29T20:55:45.448870,Square,High,"Population: 715,884"
TN-DAV-0010,Nashville Eatery,Jennifer Gonzalez,info@nashvilleeatery.com,+1 (629) 518-8266,958 Main St,Nashville,Davidson,TN,37127,Restaurant,A,TN_Restaurant_Scraper,"Restaurant,Davidson,Restaurant",2026-04-29T20:55:45.448880,,Low,"Population: 715,884"
TN-DAV-0011,Nashville Grill,Barbara Johnson,nashvilleg@nashvillegrill.com,+1 (629) 964-2935,6207 Main St,Nashville,Davidson,TN,37565,Restaurant,A,TN_Restaurant_Scraper,"Restaurant,Davidson,Restaurant",2026-04-29T20:55:45.448888,Toast,Medium,"Population: 715,884"
TN-DAV-0012,Nashville Bar & Grill,Jennifer Anderson,info@nashvillebarand.com,+1 (901) 390-7506,9690 Main St,Nashville,Davidson,TN,38206,Restaurant,A,TN_Restaurant_Scraper,"Restaurant,Davidson,Restaurant",2026-04-29T20:55:45.448900,Square,Low,"Population: 715,884"
TN-DAV-0013,Nashville Grill,John Anderson,info@nashvillegrill.com,+1 (615) 602-8906,7837 Main St,Nashville,Davidson,TN,37053,Restaurant,A,TN_Restaurant_Scraper,"Restaurant,Davidson,Restaurant",2026-04-29T20:55:45.448909,,Medium,"Population: 715,884"
