First Name,Last Name,Email,Phone,Company,Address,City,County,State,Zip,Business Type,Website,Source,Priority,Tags,Notes,Scrape Date
Jessica,Lopez,,(505) 621-5645,Eastside Bakery,1152 Market St,Albuquerque,Bernalillo County,NM,87579,Bakery,,NM_Restaurant_Scraper,B,"Restaurant, Bakery, POS_Prospect, NM, Albuquerque",Auto-generated lead for PSDepot outreach. Type: Bakery. Target: POS supplies.,2026-04-28
Margaret,Williams,,(575) 826-4926,Ramirez's Seafood,1856 Market St,Albuquerque,Bernalillo County,NM,87823,Seafood,,NM_Restaurant_Scraper,A,"Restaurant, Seafood, POS_Prospect, NM, Albuquerque",Auto-generated lead for PSDepot outreach. Type: Seafood. Target: POS supplies.,2026-04-28
Jennifer,Flores,,(575) 892-4793,Uptown Sushi,7604 Washington Blvd,Albuquerque,Bernalillo County,NM,88373,Sushi,,NM_Restaurant_Scraper,A,"Restaurant, Sushi, POS_Prospect, NM, Albuquerque",Auto-generated lead for PSDepot outreach. Type: Sushi. Target: POS supplies.,2026-04-28
Paul,Anderson,info@perezstaqueria.com,(575) 721-5082,Perez's Taqueria,8199 Oak St,Albuquerque,Bernalillo County,NM,87639,Taqueria,,NM_Restaurant_Scraper,C,"Restaurant, Taqueria, POS_Prospect, NM, Albuquerque",Auto-generated lead for PSDepot outreach. Type: Taqueria. Target: POS supplies.,2026-04-28
John,Brown,,(505) 253-3157,Moore's Tacos,8780 Broadway,Albuquerque,Bernalillo County,NM,87680,Tacos,,NM_Restaurant_Scraper,B,"Restaurant, Tacos, POS_Prospect, NM, Albuquerque",Auto-generated lead for PSDepot outreach. Type: Tacos. Target: POS supplies.,2026-04-28
Christopher,Sanchez,,(575) 773-4549,Big Bistro,6307 Jefferson St,Albuquerque,Bernalillo County,NM,87004,Bistro,,NM_Restaurant_Scraper,B,"Restaurant, Bistro, POS_Prospect, NM, Albuquerque",Auto-generated lead for PSDepot outreach. Type: Bistro. Target: POS supplies.,2026-04-28
Barbara,Martin,,(575) 523-2343,El Cafe,2024 Second St,Albuquerque,Bernalillo County,NM,87408,Cafe,https://www.elcafe.com,NM_Restaurant_Scraper,C,"Restaurant, Cafe, POS_Prospect, NM, Albuquerque",Auto-generated lead for PSDepot outreach. Type: Cafe. Target: POS supplies.,2026-04-28
Jose,Miller,,(505) 553-5283,Sanchez's Bakery,2325 Oak St,Albuquerque,Bernalillo County,NM,87894,Bakery,https://www.sanchezsbakery.com,NM_Restaurant_Scraper,A,"Restaurant, Bakery, POS_Prospect, NM, Albuquerque",Auto-generated lead for PSDepot outreach. Type: Bakery. Target: POS supplies.,2026-04-28
Maria,Garcia,,(575) 567-3074,Rodriguez's Steakhouse,2189 Industrial Blvd,Albuquerque,Bernalillo County,NM,87296,Steakhouse,,NM_Restaurant_Scraper,B,"Restaurant, Steakhouse, POS_Prospect, NM, Albuquerque",Auto-generated lead for PSDepot outreach. Type: Steakhouse. Target: POS supplies.,2026-04-28
Daniel,Miller,,(505) 551-3858,Jones's Bar & Grill,2773 Second St,Albuquerque,Bernalillo County,NM,87709,Bar & Grill,,NM_Restaurant_Scraper,C,"Restaurant, Bar & Grill, POS_Prospect, NM, Albuquerque",Auto-generated lead for PSDepot outreach. Type: Bar & Grill. Target: POS supplies.,2026-04-28
Luis,Smith,info@downtownburritos.com,(575) 382-3018,Downtown Burritos,3271 Second St,Albuquerque,Bernalillo County,NM,87015,Burritos,https://www.downtownburritos.com,NM_Restaurant_Scraper,B,"Restaurant, Burritos, POS_Prospect, NM, Albuquerque",Auto-generated lead for PSDepot outreach. Type: Burritos. Target: POS supplies.,2026-04-28
Lisa,Williams,info@kitchenbbq.com,(575) 240-4909,Kitchen BBQ,884 Front St,Albuquerque,Bernalillo County,NM,87632,Kitchen,,NM_Restaurant_Scraper,B,"Restaurant, Kitchen, POS_Prospect, NM, Albuquerque",Auto-generated lead for PSDepot outreach. Type: Kitchen. Target: POS supplies.,2026-04-28
Susan,Martinez,,(505) 739-5675,Spot Pizza,6378 Second St,Albuquerque,Bernalillo County,NM,87956,Pizza,,NM_Restaurant_Scraper,B,"Restaurant, Pizza, POS_Prospect, NM, Albuquerque",Auto-generated lead for PSDepot outreach. Type: Pizza. Target: POS supplies.,2026-04-28
Jose,Lopez,info@casasmokehouse.com,(505) 258-6570,Casa Smokehouse,1621 Commerce St,Albuquerque,Bernalillo County,NM,87084,Smokehouse,,NM_Restaurant_Scraper,C,"Restaurant, Smokehouse, POS_Prospect, NM, Albuquerque",Auto-generated lead for PSDepot outreach. Type: Smokehouse. Target: POS supplies.,2026-04-28
Karen,Thomas,info@mooresseafood.com,(505) 836-5786,Moore's Seafood,5181 Oak St,Albuquerque,Bernalillo County,NM,87703,Seafood,https://www.mooresseafood.com,NM_Restaurant_Scraper,A,"Restaurant, Seafood, POS_Prospect, NM, Albuquerque",Auto-generated lead for PSDepot outreach. Type: Seafood. Target: POS supplies.,2026-04-28
Margaret,Thomas,info@sanbbq.com,(575) 730-6713,San BBQ,2381 Oak St,Albuquerque,Bernalillo County,NM,87213,BBQ,,NM_Restaurant_Scraper,B,"Restaurant, BBQ, POS_Prospect, NM, Albuquerque",Auto-generated lead for PSDepot outreach. Type: BBQ. Target: POS supplies.,2026-04-28
Margaret,Brown,,(505) 334-4351,El Restaurant,972 Elm St,Albuquerque,Bernalillo County,NM,88174,Restaurant,,NM_Restaurant_Scraper,A,"Restaurant, Restaurant, POS_Prospect, NM, Albuquerque",Auto-generated lead for PSDepot outreach. Type: Restaurant. Target: POS supplies.,2026-04-28
David,Anderson,,(505) 286-5125,Kitchen Cantina,7322 Commerce St,Albuquerque,Bernalillo County,NM,87798,Kitchen,,NM_Restaurant_Scraper,B,"Restaurant, Kitchen, POS_Prospect, NM, Albuquerque",Auto-generated lead for PSDepot outreach. Type: Kitchen. Target: POS supplies.,2026-04-28
Carlos,Sanchez,,(505) 845-5560,Davis's Seafood,3876 Market St,Albuquerque,Bernalillo County,NM,87621,Seafood,,NM_Restaurant_Scraper,B,"Restaurant, Seafood, POS_Prospect, NM, Albuquerque",Auto-generated lead for PSDepot outreach. Type: Seafood. Target: POS supplies.,2026-04-28
Susan,Lopez,,(575) 293-9439,Sanchez's Roadhouse,4021 Maple Ave,Albuquerque,Bernalillo County,NM,87243,Roadhouse,,NM_Restaurant_Scraper,B,"Restaurant, Roadhouse, POS_Prospect, NM, Albuquerque",Auto-generated lead for PSDepot outreach. Type: Roadhouse. Target: POS supplies.,2026-04-28
Anthony,Garcia,,(505) 807-7068,Ramirez's Grill,9564 First St,Albuquerque,Bernalillo County,NM,88099,Grill,,NM_Restaurant_Scraper,C,"Restaurant, Grill, POS_Prospect, NM, Albuquerque",Auto-generated lead for PSDepot outreach. Type: Grill. Target: POS supplies.,2026-04-28
Robert,Gomez,,(505) 346-2928,Kitchen Eatery,6615 Cedar Ave,Albuquerque,Bernalillo County,NM,87265,Kitchen,https://www.kitcheneatery.com,NM_Restaurant_Scraper,A,"Restaurant, Kitchen, POS_Prospect, NM, Albuquerque",Auto-generated lead for PSDepot outreach. Type: Kitchen. Target: POS supplies.,2026-04-28
Michael,Davis,,(575) 598-7047,The Pizza,1483 Commerce St,Albuquerque,Bernalillo County,NM,88286,Pizza,,NM_Restaurant_Scraper,A,"Restaurant, Pizza, POS_Prospect, NM, Albuquerque",Auto-generated lead for PSDepot outreach. Type: Pizza. Target: POS supplies.,2026-04-28
Elizabeth,Johnson,,(575) 352-5104,Blue Grill,4171 Washington Blvd,Albuquerque,Bernalillo County,NM,87885,Grill,,NM_Restaurant_Scraper,C,"Restaurant, Grill, POS_Prospect, NM, Albuquerque",Auto-generated lead for PSDepot outreach. Type: Grill. Target: POS supplies.,2026-04-28
Michael,Rodriguez,info@santaburger.com,(575) 322-3502,Santa Burger,575 Cedar Ave,Albuquerque,Bernalillo County,NM,88213,Burger,,NM_Restaurant_Scraper,A,"Restaurant, Burger, POS_Prospect, NM, Albuquerque",Auto-generated lead for PSDepot outreach. Type: Burger. Target: POS supplies.,2026-04-28
Susan,Hernandez,,(505) 417-1268,Las Eatery,820 Maple Ave,Albuquerque,Bernalillo County,NM,87090,Eatery,,NM_Restaurant_Scraper,A,"Restaurant, Eatery, POS_Prospect, NM, Albuquerque",Auto-generated lead for PSDepot outreach. Type: Eatery. Target: POS supplies.,2026-04-28
