First Name,Last Name,Email,Phone,Company,Address,City,County,State,Zip,Business Type,Website,Source,Priority,Tags,Notes,Scrape Date
Michael,Miller,,(702) 501-9701,El Sushi,497 Commerce St,Las Vegas,Clark County,NV,89017,Sushi,,NV_Restaurant_Scraper,C,"Restaurant, Sushi, POS_Prospect, NV, Las Vegas",Auto-generated lead for PSDepot outreach. Type: Sushi. Target: POS supplies.,2026-04-28
James,Perez,info@ladiner.com,(775) 578-3618,La Diner,3312 First St,Las Vegas,Clark County,NV,89379,Diner,https://www.ladiner.com,NV_Restaurant_Scraper,A,"Restaurant, Diner, POS_Prospect, NV, Las Vegas",Auto-generated lead for PSDepot outreach. Type: Diner. Target: POS supplies.,2026-04-28
Maria,Williams,,(702) 360-9119,San BBQ,5946 Third St,Las Vegas,Clark County,NV,89819,BBQ,,NV_Restaurant_Scraper,C,"Restaurant, BBQ, POS_Prospect, NV, Las Vegas",Auto-generated lead for PSDepot outreach. Type: BBQ. Target: POS supplies.,2026-04-28
Richard,Ramirez,,(775) 361-7528,La Eatery,3151 Washington Blvd,Las Vegas,Clark County,NV,89236,Eatery,,NV_Restaurant_Scraper,C,"Restaurant, Eatery, POS_Prospect, NV, Las Vegas",Auto-generated lead for PSDepot outreach. Type: Eatery. Target: POS supplies.,2026-04-28
Maria,Johnson,info@brownsrestaurant.com,(725) 938-5699,Brown's Restaurant,2433 Third St,Las Vegas,Clark County,NV,89669,Restaurant,,NV_Restaurant_Scraper,C,"Restaurant, Restaurant, POS_Prospect, NV, Las Vegas",Auto-generated lead for PSDepot outreach. Type: Restaurant. Target: POS supplies.,2026-04-28
Amanda,Brown,,(725) 773-5631,Rodriguez's Tacos,4465 Industrial Blvd,Las Vegas,Clark County,NV,89932,Tacos,,NV_Restaurant_Scraper,B,"Restaurant, Tacos, POS_Prospect, NV, Las Vegas",Auto-generated lead for PSDepot outreach. Type: Tacos. Target: POS supplies.,2026-04-28
Barbara,Jones,,(702) 762-1819,Perez's Bakery,6723 Washington Blvd,Las Vegas,Clark County,NV,89311,Bakery,,NV_Restaurant_Scraper,C,"Restaurant, Bakery, POS_Prospect, NV, Las Vegas",Auto-generated lead for PSDepot outreach. Type: Bakery. Target: POS supplies.,2026-04-28
Susan,Johnson,,(702) 708-8790,Casa Grill,5037 Market St,Las Vegas,Clark County,NV,89858,Grill,,NV_Restaurant_Scraper,A,"Restaurant, Grill, POS_Prospect, NV, Las Vegas",Auto-generated lead for PSDepot outreach. Type: Grill. Target: POS supplies.,2026-04-28
Lisa,Ramirez,,(702) 873-1656,Rivera's BBQ,9092 Third St,Las Vegas,Clark County,NV,89889,BBQ,,NV_Restaurant_Scraper,B,"Restaurant, BBQ, POS_Prospect, NV, Las Vegas",Auto-generated lead for PSDepot outreach. Type: BBQ. Target: POS supplies.,2026-04-28
Lisa,Davis,,(775) 412-7866,Casa Eatery,2734 Oak St,Las Vegas,Clark County,NV,89032,Eatery,https://www.casaeatery.com,NV_Restaurant_Scraper,A,"Restaurant, Eatery, POS_Prospect, NV, Las Vegas",Auto-generated lead for PSDepot outreach. Type: Eatery. Target: POS supplies.,2026-04-28
Lisa,Garcia,,(775) 419-4872,Bistro Burger,2065 Oak St,Las Vegas,Clark County,NV,89791,Burger,https://www.bistroburger.com,NV_Restaurant_Scraper,A,"Restaurant, Burger, POS_Prospect, NV, Las Vegas",Auto-generated lead for PSDepot outreach. Type: Burger. Target: POS supplies.,2026-04-28
Jessica,Williams,,(775) 587-2270,House Diner,9070 First St,Las Vegas,Clark County,NV,89647,Diner,https://www.housediner.com,NV_Restaurant_Scraper,B,"Restaurant, Diner, POS_Prospect, NV, Las Vegas",Auto-generated lead for PSDepot outreach. Type: Diner. Target: POS supplies.,2026-04-28
Paul,Perez,,(725) 903-4072,The Taqueria,9604 Broadway,Las Vegas,Clark County,NV,89800,Taqueria,,NV_Restaurant_Scraper,B,"Restaurant, Taqueria, POS_Prospect, NV, Las Vegas",Auto-generated lead for PSDepot outreach. Type: Taqueria. Target: POS supplies.,2026-04-28
Maria,Rivera,,(775) 715-6993,Martinez's Steakhouse,9142 Broadway,Las Vegas,Clark County,NV,89327,Steakhouse,,NV_Restaurant_Scraper,A,"Restaurant, Steakhouse, POS_Prospect, NV, Las Vegas",Auto-generated lead for PSDepot outreach. Type: Steakhouse. Target: POS supplies.,2026-04-28
Jennifer,Williams,,(702) 644-2973,Big Burritos,2556 Industrial Blvd,Las Vegas,Clark County,NV,89155,Burritos,,NV_Restaurant_Scraper,A,"Restaurant, Burritos, POS_Prospect, NV, Las Vegas",Auto-generated lead for PSDepot outreach. Type: Burritos. Target: POS supplies.,2026-04-28
