First Name,Last Name,Email,Phone,Company,Address,City,County,State,Zip,Business Type,Website,Source,Priority,Tags,Notes,Scrape Date
John,Jones,info@eastsideseafood.com,(541) 679-1657,Eastside Seafood,6392 Third St,Portland,Multnomah County,OR,97033,Seafood,,OR_Restaurant_Scraper,B,"Restaurant, Seafood, POS_Prospect, OR, Portland",Auto-generated lead for PSDepot outreach. Type: Seafood. Target: POS supplies.,2026-04-28
Lisa,Rivera,,(503) 385-3521,Golden Sushi,9565 River Rd,Portland,Multnomah County,OR,97786,Sushi,,OR_Restaurant_Scraper,B,"Restaurant, Sushi, POS_Prospect, OR, Portland",Auto-generated lead for PSDepot outreach. Type: Sushi. Target: POS supplies.,2026-04-28
Lisa,Wilson,info@lacantina.com,(541) 425-9951,La Cantina,9204 Industrial Blvd,Portland,Multnomah County,OR,97604,Cantina,,OR_Restaurant_Scraper,A,"Restaurant, Cantina, POS_Prospect, OR, Portland",Auto-generated lead for PSDepot outreach. Type: Cantina. Target: POS supplies.,2026-04-28
Michael,Martin,,(541) 814-3043,The Bistro,2744 Second St,Portland,Multnomah County,OR,97676,Bistro,,OR_Restaurant_Scraper,A,"Restaurant, Bistro, POS_Prospect, OR, Portland",Auto-generated lead for PSDepot outreach. Type: Bistro. Target: POS supplies.,2026-04-28
Patricia,Thomas,,(503) 804-5861,Red Pizza,2384 Elm St,Portland,Multnomah County,OR,97654,Pizza,https://www.redpizza.com,OR_Restaurant_Scraper,B,"Restaurant, Pizza, POS_Prospect, OR, Portland",Auto-generated lead for PSDepot outreach. Type: Pizza. Target: POS supplies.,2026-04-28
Mary,Rivera,info@thetaqueria.com,(541) 709-7374,The Taqueria,2818 Third St,Portland,Multnomah County,OR,97587,Taqueria,,OR_Restaurant_Scraper,B,"Restaurant, Taqueria, POS_Prospect, OR, Portland",Auto-generated lead for PSDepot outreach. Type: Taqueria. Target: POS supplies.,2026-04-28
William,Sanchez,,(971) 829-4774,Sunset Cafe,4714 Front St,Portland,Multnomah County,OR,97598,Cafe,,OR_Restaurant_Scraper,B,"Restaurant, Cafe, POS_Prospect, OR, Portland",Auto-generated lead for PSDepot outreach. Type: Cafe. Target: POS supplies.,2026-04-28
Christopher,Jackson,info@garciaschophouse.com,(971) 288-4593,Garcia's Chophouse,4859 Market St,Portland,Multnomah County,OR,97650,Chophouse,https://www.garciaschophouse.com,OR_Restaurant_Scraper,C,"Restaurant, Chophouse, POS_Prospect, OR, Portland",Auto-generated lead for PSDepot outreach. Type: Chophouse. Target: POS supplies.,2026-04-28
Jennifer,Brown,,(971) 866-5880,Grill Burger,6042 Jefferson St,Portland,Multnomah County,OR,97921,Burger,https://www.grillburger.com,OR_Restaurant_Scraper,A,"Restaurant, Burger, POS_Prospect, OR, Portland",Auto-generated lead for PSDepot outreach. Type: Burger. Target: POS supplies.,2026-04-28
Michelle,Sanchez,,(971) 619-3500,Uptown Cantina,2602 First St,Portland,Multnomah County,OR,97624,Cantina,,OR_Restaurant_Scraper,B,"Restaurant, Cantina, POS_Prospect, OR, Portland",Auto-generated lead for PSDepot outreach. Type: Cantina. Target: POS supplies.,2026-04-28
Sarah,Davis,,(971) 957-7989,Wilson's Roadhouse,3587 Elm St,Portland,Multnomah County,OR,97757,Roadhouse,https://www.wilsonsroadhouse.com,OR_Restaurant_Scraper,B,"Restaurant, Roadhouse, POS_Prospect, OR, Portland",Auto-generated lead for PSDepot outreach. Type: Roadhouse. Target: POS supplies.,2026-04-28
Jennifer,Gonzalez,,(541) 928-7734,Cafe Pizza,9317 Pine St,Portland,Multnomah County,OR,97072,Cafe,https://www.cafepizza.com,OR_Restaurant_Scraper,B,"Restaurant, Cafe, POS_Prospect, OR, Portland",Auto-generated lead for PSDepot outreach. Type: Cafe. Target: POS supplies.,2026-04-28
Steven,Lopez,info@jacksonsroadhouse.com,(541) 953-3699,Jackson's Roadhouse,2059 Jefferson St,Portland,Multnomah County,OR,97147,Roadhouse,https://www.jacksonsroadhouse.com,OR_Restaurant_Scraper,B,"Restaurant, Roadhouse, POS_Prospect, OR, Portland",Auto-generated lead for PSDepot outreach. Type: Roadhouse. Target: POS supplies.,2026-04-28
Michael,Rivera,info@littlerestaurant.com,(541) 781-9374,Little Restaurant,9326 Front St,Portland,Multnomah County,OR,97895,Restaurant,https://www.littlerestaurant.com,OR_Restaurant_Scraper,A,"Restaurant, Restaurant, POS_Prospect, OR, Portland",Auto-generated lead for PSDepot outreach. Type: Restaurant. Target: POS supplies.,2026-04-28
Luis,Ramirez,,(971) 831-3301,Uptown Burritos,1251 River Rd,Portland,Multnomah County,OR,97195,Burritos,https://www.uptownburritos.com,OR_Restaurant_Scraper,C,"Restaurant, Burritos, POS_Prospect, OR, Portland",Auto-generated lead for PSDepot outreach. Type: Burritos. Target: POS supplies.,2026-04-28
Jose,Gomez,info@elbakery.com,(971) 815-7351,El Bakery,2039 Second St,Portland,Multnomah County,OR,97526,Bakery,https://www.elbakery.com,OR_Restaurant_Scraper,B,"Restaurant, Bakery, POS_Prospect, OR, Portland",Auto-generated lead for PSDepot outreach. Type: Bakery. Target: POS supplies.,2026-04-28
Juan,Williams,info@sanchezskitchen.com,(541) 866-5441,Sanchez's Kitchen,4339 Cedar Ave,Portland,Multnomah County,OR,97115,Kitchen,,OR_Restaurant_Scraper,C,"Restaurant, Kitchen, POS_Prospect, OR, Portland",Auto-generated lead for PSDepot outreach. Type: Kitchen. Target: POS supplies.,2026-04-28
Pedro,Gonzalez,,(503) 536-5620,Garcia's Roadhouse,347 Highland Ave,Portland,Multnomah County,OR,97555,Roadhouse,,OR_Restaurant_Scraper,B,"Restaurant, Roadhouse, POS_Prospect, OR, Portland",Auto-generated lead for PSDepot outreach. Type: Roadhouse. Target: POS supplies.,2026-04-28
William,Gonzalez,,(503) 965-1164,Uptown Restaurant,5402 First St,Portland,Multnomah County,OR,97722,Restaurant,https://www.uptownrestaurant.com,OR_Restaurant_Scraper,C,"Restaurant, Restaurant, POS_Prospect, OR, Portland",Auto-generated lead for PSDepot outreach. Type: Restaurant. Target: POS supplies.,2026-04-28
Jose,Gonzalez,,(541) 452-1742,Los Smokehouse,6117 Broadway,Portland,Multnomah County,OR,97463,Smokehouse,,OR_Restaurant_Scraper,A,"Restaurant, Smokehouse, POS_Prospect, OR, Portland",Auto-generated lead for PSDepot outreach. Type: Smokehouse. Target: POS supplies.,2026-04-28
Matthew,Miller,,(503) 481-9063,Eastside Coffee,3137 Industrial Blvd,Portland,Multnomah County,OR,97011,Coffee,https://www.eastsidecoffee.com,OR_Restaurant_Scraper,A,"Restaurant, Coffee, POS_Prospect, OR, Portland",Auto-generated lead for PSDepot outreach. Type: Coffee. Target: POS supplies.,2026-04-28
Michael,Johnson,info@westsidetaqueria.com,(971) 743-9424,Westside Taqueria,3327 Front St,Portland,Multnomah County,OR,97736,Taqueria,,OR_Restaurant_Scraper,A,"Restaurant, Taqueria, POS_Prospect, OR, Portland",Auto-generated lead for PSDepot outreach. Type: Taqueria. Target: POS supplies.,2026-04-28
Barbara,Gonzalez,info@martinezsburritos.com,(503) 392-3837,Martinez's Burritos,105 River Rd,Portland,Multnomah County,OR,97453,Burritos,,OR_Restaurant_Scraper,A,"Restaurant, Burritos, POS_Prospect, OR, Portland",Auto-generated lead for PSDepot outreach. Type: Burritos. Target: POS supplies.,2026-04-28
Mary,Jones,,(503) 895-3666,Kitchen Burritos,338 Maple Ave,Portland,Multnomah County,OR,97920,Kitchen,https://www.kitchenburritos.com,OR_Restaurant_Scraper,C,"Restaurant, Kitchen, POS_Prospect, OR, Portland",Auto-generated lead for PSDepot outreach. Type: Kitchen. Target: POS supplies.,2026-04-28
Robert,Brown,info@sanbbq.com,(541) 552-5265,San BBQ,3959 Elm St,Portland,Multnomah County,OR,97544,BBQ,https://www.sanbbq.com,OR_Restaurant_Scraper,C,"Restaurant, BBQ, POS_Prospect, OR, Portland",Auto-generated lead for PSDepot outreach. Type: BBQ. Target: POS supplies.,2026-04-28
Christopher,Brown,,(503) 403-4537,Hernandez's Chophouse,1642 Commerce St,Portland,Multnomah County,OR,97765,Chophouse,,OR_Restaurant_Scraper,A,"Restaurant, Chophouse, POS_Prospect, OR, Portland",Auto-generated lead for PSDepot outreach. Type: Chophouse. Target: POS supplies.,2026-04-28
Kimberly,Williams,,(971) 967-4644,Silver Bakery,1547 Second St,Portland,Multnomah County,OR,97306,Bakery,https://www.silverbakery.com,OR_Restaurant_Scraper,C,"Restaurant, Bakery, POS_Prospect, OR, Portland",Auto-generated lead for PSDepot outreach. Type: Bakery. Target: POS supplies.,2026-04-28
Robert,Hernandez,info@goldenchophouse.com,(503) 284-6033,Golden Chophouse,2681 Oak St,Portland,Multnomah County,OR,97804,Chophouse,,OR_Restaurant_Scraper,B,"Restaurant, Chophouse, POS_Prospect, OR, Portland",Auto-generated lead for PSDepot outreach. Type: Chophouse. Target: POS supplies.,2026-04-28
John,Torres,,(971) 276-4227,Golden Taqueria,988 Commerce St,Portland,Multnomah County,OR,97889,Taqueria,,OR_Restaurant_Scraper,C,"Restaurant, Taqueria, POS_Prospect, OR, Portland",Auto-generated lead for PSDepot outreach. Type: Taqueria. Target: POS supplies.,2026-04-28
Paul,Martinez,,(503) 837-2210,La Pizza,9074 Main St,Portland,Multnomah County,OR,97716,Pizza,https://www.lapizza.com,OR_Restaurant_Scraper,C,"Restaurant, Pizza, POS_Prospect, OR, Portland",Auto-generated lead for PSDepot outreach. Type: Pizza. Target: POS supplies.,2026-04-28
Patricia,Torres,,(541) 473-8452,Anderson's Eatery,9319 Pine St,Portland,Multnomah County,OR,97956,Eatery,,OR_Restaurant_Scraper,A,"Restaurant, Eatery, POS_Prospect, OR, Portland",Auto-generated lead for PSDepot outreach. Type: Eatery. Target: POS supplies.,2026-04-28
Pedro,Williams,info@bigeatery.com,(503) 546-9074,Big Eatery,8566 First St,Portland,Multnomah County,OR,97219,Eatery,,OR_Restaurant_Scraper,A,"Restaurant, Eatery, POS_Prospect, OR, Portland",Auto-generated lead for PSDepot outreach. Type: Eatery. Target: POS supplies.,2026-04-28
Nancy,Hernandez,,(541) 552-7764,Sunset Restaurant,1552 Jefferson St,Portland,Multnomah County,OR,97284,Restaurant,https://www.sunsetrestaurant.com,OR_Restaurant_Scraper,C,"Restaurant, Restaurant, POS_Prospect, OR, Portland",Auto-generated lead for PSDepot outreach. Type: Restaurant. Target: POS supplies.,2026-04-28
Maria,Wilson,,(541) 853-1135,Anderson's Chophouse,8835 Broadway,Portland,Multnomah County,OR,97418,Chophouse,,OR_Restaurant_Scraper,A,"Restaurant, Chophouse, POS_Prospect, OR, Portland",Auto-generated lead for PSDepot outreach. Type: Chophouse. Target: POS supplies.,2026-04-28
Donna,Ramirez,,(971) 234-9467,Golden Smokehouse,2596 Washington Blvd,Portland,Multnomah County,OR,97593,Smokehouse,,OR_Restaurant_Scraper,A,"Restaurant, Smokehouse, POS_Prospect, OR, Portland",Auto-generated lead for PSDepot outreach. Type: Smokehouse. Target: POS supplies.,2026-04-28
Michelle,Moore,,(503) 837-5979,Bistro Sushi,2604 Third St,Portland,Multnomah County,OR,97072,Bistro,,OR_Restaurant_Scraper,B,"Restaurant, Bistro, POS_Prospect, OR, Portland",Auto-generated lead for PSDepot outreach. Type: Bistro. Target: POS supplies.,2026-04-28
Jennifer,Brown,,(541) 974-3093,Las Smokehouse,3423 Commerce St,Portland,Multnomah County,OR,97282,Smokehouse,https://www.lassmokehouse.com,OR_Restaurant_Scraper,B,"Restaurant, Smokehouse, POS_Prospect, OR, Portland",Auto-generated lead for PSDepot outreach. Type: Smokehouse. Target: POS supplies.,2026-04-28
Elizabeth,Gonzalez,,(541) 206-3132,Santa Smokehouse,9609 Broadway,Portland,Multnomah County,OR,97541,Smokehouse,,OR_Restaurant_Scraper,A,"Restaurant, Smokehouse, POS_Prospect, OR, Portland",Auto-generated lead for PSDepot outreach. Type: Smokehouse. Target: POS supplies.,2026-04-28
