First Name,Last Name,Email,Phone,Company,Address,City,County,State,Zip,Business Type,Website,Source,Priority,Tags,Notes,Scrape Date
John,Gomez,,(214) 316-3901,Santa Burger,1508 First St,Houston,Harris County,TX,75989,Burger,https://www.santaburger.com,TX_Restaurant_Scraper,B,"Restaurant, Burger, POS_Prospect, TX, Houston",Auto-generated lead for PSDepot outreach. Type: Burger. Target: POS supplies.,2026-04-28
Mark,Johnson,,(210) 464-7624,Golden Coffee,8282 Cedar Ave,Houston,Harris County,TX,76008,Coffee,,TX_Restaurant_Scraper,A,"Restaurant, Coffee, POS_Prospect, TX, Houston",Auto-generated lead for PSDepot outreach. Type: Coffee. Target: POS supplies.,2026-04-28
Amanda,Johnson,,(806) 511-2428,La Tacos,8905 Main St,Houston,Harris County,TX,79727,Tacos,,TX_Restaurant_Scraper,B,"Restaurant, Tacos, POS_Prospect, TX, Houston",Auto-generated lead for PSDepot outreach. Type: Tacos. Target: POS supplies.,2026-04-28
Kimberly,Rodriguez,,(713) 395-2223,Eastside Kitchen,6143 Washington Blvd,Houston,Harris County,TX,77688,Kitchen,,TX_Restaurant_Scraper,C,"Restaurant, Kitchen, POS_Prospect, TX, Houston",Auto-generated lead for PSDepot outreach. Type: Kitchen. Target: POS supplies.,2026-04-28
Matthew,Rivera,info@martinseatery.com,(972) 435-4303,Martin's Eatery,8084 Commerce St,Houston,Harris County,TX,76425,Eatery,,TX_Restaurant_Scraper,A,"Restaurant, Eatery, POS_Prospect, TX, Houston",Auto-generated lead for PSDepot outreach. Type: Eatery. Target: POS supplies.,2026-04-28
Paul,Torres,,(512) 705-1847,Spot Taqueria,2875 Market St,Houston,Harris County,TX,75418,Taqueria,,TX_Restaurant_Scraper,B,"Restaurant, Taqueria, POS_Prospect, TX, Houston",Auto-generated lead for PSDepot outreach. Type: Taqueria. Target: POS supplies.,2026-04-28
Richard,Lopez,info@lassteakhouse.com,(281) 732-7735,Las Steakhouse,553 Second St,Houston,Harris County,TX,77476,Steakhouse,,TX_Restaurant_Scraper,B,"Restaurant, Steakhouse, POS_Prospect, TX, Houston",Auto-generated lead for PSDepot outreach. Type: Steakhouse. Target: POS supplies.,2026-04-28
Nancy,Torres,,(512) 851-8107,Gomez's Sushi,2935 Maple Ave,Houston,Harris County,TX,79783,Sushi,,TX_Restaurant_Scraper,B,"Restaurant, Sushi, POS_Prospect, TX, Houston",Auto-generated lead for PSDepot outreach. Type: Sushi. Target: POS supplies.,2026-04-28
Nancy,Wilson,,(281) 797-1308,Silver Smokehouse,229 Washington Blvd,Houston,Harris County,TX,75522,Smokehouse,https://www.silversmokehouse.com,TX_Restaurant_Scraper,A,"Restaurant, Smokehouse, POS_Prospect, TX, Houston",Auto-generated lead for PSDepot outreach. Type: Smokehouse. Target: POS supplies.,2026-04-28
Kimberly,Jones,,(281) 717-5368,Brown's Pizza,3565 Pine St,Houston,Harris County,TX,78017,Pizza,,TX_Restaurant_Scraper,A,"Restaurant, Pizza, POS_Prospect, TX, Houston",Auto-generated lead for PSDepot outreach. Type: Pizza. Target: POS supplies.,2026-04-28
James,Thomas,,(915) 565-4433,Pueblo Burger,7147 First St,Houston,Harris County,TX,76184,Burger,,TX_Restaurant_Scraper,C,"Restaurant, Burger, POS_Prospect, TX, Houston",Auto-generated lead for PSDepot outreach. Type: Burger. Target: POS supplies.,2026-04-28
Michael,Sanchez,info@goldenbbq.com,(469) 583-7573,Golden BBQ,8227 River Rd,Houston,Harris County,TX,79899,BBQ,,TX_Restaurant_Scraper,A,"Restaurant, BBQ, POS_Prospect, TX, Houston",Auto-generated lead for PSDepot outreach. Type: BBQ. Target: POS supplies.,2026-04-28
Anthony,Martin,info@casacoffee.com,(832) 722-6791,Casa Coffee,6905 River Rd,Houston,Harris County,TX,75422,Coffee,https://www.casacoffee.com,TX_Restaurant_Scraper,C,"Restaurant, Coffee, POS_Prospect, TX, Houston",Auto-generated lead for PSDepot outreach. Type: Coffee. Target: POS supplies.,2026-04-28
Jennifer,Gonzalez,info@smithsbistro.com,(210) 810-2855,Smith's Bistro,2994 Maple Ave,Houston,Harris County,TX,75533,Bistro,,TX_Restaurant_Scraper,C,"Restaurant, Bistro, POS_Prospect, TX, Houston",Auto-generated lead for PSDepot outreach. Type: Bistro. Target: POS supplies.,2026-04-28
Juan,Davis,,(281) 395-6816,Uptown Sushi,7053 Front St,Houston,Harris County,TX,79513,Sushi,,TX_Restaurant_Scraper,A,"Restaurant, Sushi, POS_Prospect, TX, Houston",Auto-generated lead for PSDepot outreach. Type: Sushi. Target: POS supplies.,2026-04-28
Christopher,Perez,info@redbbq.com,(214) 522-1306,Red BBQ,7235 Broadway,Houston,Harris County,TX,76427,BBQ,https://www.redbbq.com,TX_Restaurant_Scraper,C,"Restaurant, BBQ, POS_Prospect, TX, Houston",Auto-generated lead for PSDepot outreach. Type: BBQ. Target: POS supplies.,2026-04-28
Richard,Lopez,,(806) 471-8505,Grill Bistro,960 Front St,Houston,Harris County,TX,79287,Bistro,,TX_Restaurant_Scraper,C,"Restaurant, Bistro, POS_Prospect, TX, Houston",Auto-generated lead for PSDepot outreach. Type: Bistro. Target: POS supplies.,2026-04-28
Jessica,Gonzalez,info@littlebarandgrill.com,(281) 514-6259,Little Bar & Grill,2180 Commerce St,Houston,Harris County,TX,75615,Bar & Grill,,TX_Restaurant_Scraper,B,"Restaurant, Bar & Grill, POS_Prospect, TX, Houston",Auto-generated lead for PSDepot outreach. Type: Bar & Grill. Target: POS supplies.,2026-04-28
Susan,Ramirez,,(214) 223-7738,Hernandez's Steakhouse,6895 Cedar Ave,Houston,Harris County,TX,76324,Steakhouse,,TX_Restaurant_Scraper,A,"Restaurant, Steakhouse, POS_Prospect, TX, Houston",Auto-generated lead for PSDepot outreach. Type: Steakhouse. Target: POS supplies.,2026-04-28
Christopher,Thomas,,(713) 407-2061,Pueblo Taqueria,8008 Jefferson St,Houston,Harris County,TX,79114,Taqueria,,TX_Restaurant_Scraper,B,"Restaurant, Taqueria, POS_Prospect, TX, Houston",Auto-generated lead for PSDepot outreach. Type: Taqueria. Target: POS supplies.,2026-04-28
