First Name,Last Name,Email,Phone,Company,Address,City,County,State,Zip,Business Type,Website,Source,Priority,Tags,Notes,Scrape Date
David,Jones,,(360) 803-1523,The Smokehouse,5907 Main St,Seattle,King County,WA,98454,Smokehouse,,WA_Restaurant_Scraper,C,"Restaurant, Smokehouse, POS_Prospect, WA, Seattle",Auto-generated lead for PSDepot outreach. Type: Smokehouse. Target: POS supplies.,2026-04-28
Christopher,Jones,info@bistrotaqueria.com,(425) 877-7272,Bistro Taqueria,1267 Maple Ave,Seattle,King County,WA,98532,Taqueria,,WA_Restaurant_Scraper,B,"Restaurant, Taqueria, POS_Prospect, WA, Seattle",Auto-generated lead for PSDepot outreach. Type: Taqueria. Target: POS supplies.,2026-04-28
Patricia,Torres,,(509) 811-5662,Kitchen Bar & Grill,944 Front St,Seattle,King County,WA,98388,Bar & Grill,https://www.kitchenbarandgrill.com,WA_Restaurant_Scraper,A,"Restaurant, Bar & Grill, POS_Prospect, WA, Seattle",Auto-generated lead for PSDepot outreach. Type: Bar & Grill. Target: POS supplies.,2026-04-28
Robert,Lopez,,(360) 410-1207,Green Kitchen,6617 Pine St,Seattle,King County,WA,98012,Kitchen,,WA_Restaurant_Scraper,C,"Restaurant, Kitchen, POS_Prospect, WA, Seattle",Auto-generated lead for PSDepot outreach. Type: Kitchen. Target: POS supplies.,2026-04-28
Paul,Sanchez,info@uptownpizza.com,(206) 855-7769,Uptown Pizza,8663 Pine St,Seattle,King County,WA,99014,Pizza,,WA_Restaurant_Scraper,C,"Restaurant, Pizza, POS_Prospect, WA, Seattle",Auto-generated lead for PSDepot outreach. Type: Pizza. Target: POS supplies.,2026-04-28
Daniel,Hernandez,,(253) 312-8464,Williams's Cafe,1370 Cedar Ave,Seattle,King County,WA,98936,Cafe,https://www.williamsscafe.com,WA_Restaurant_Scraper,B,"Restaurant, Cafe, POS_Prospect, WA, Seattle",Auto-generated lead for PSDepot outreach. Type: Cafe. Target: POS supplies.,2026-04-28
Christopher,Sanchez,,(425) 938-9089,Golden Kitchen,5480 First St,Seattle,King County,WA,99200,Kitchen,https://www.goldenkitchen.com,WA_Restaurant_Scraper,C,"Restaurant, Kitchen, POS_Prospect, WA, Seattle",Auto-generated lead for PSDepot outreach. Type: Kitchen. Target: POS supplies.,2026-04-28
Jose,Martinez,info@caferoadhouse.com,(360) 227-3325,Cafe Roadhouse,5297 Industrial Blvd,Seattle,King County,WA,99492,Cafe,https://www.caferoadhouse.com,WA_Restaurant_Scraper,A,"Restaurant, Cafe, POS_Prospect, WA, Seattle",Auto-generated lead for PSDepot outreach. Type: Cafe. Target: POS supplies.,2026-04-28
Barbara,Moore,,(253) 843-9274,Grill BBQ,2994 Cedar Ave,Seattle,King County,WA,99326,Grill,https://www.grillbbq.com,WA_Restaurant_Scraper,B,"Restaurant, Grill, POS_Prospect, WA, Seattle",Auto-generated lead for PSDepot outreach. Type: Grill. Target: POS supplies.,2026-04-28
Jennifer,Garcia,,(206) 997-5606,The Bistro,3271 Front St,Seattle,King County,WA,98470,Bistro,,WA_Restaurant_Scraper,C,"Restaurant, Bistro, POS_Prospect, WA, Seattle",Auto-generated lead for PSDepot outreach. Type: Bistro. Target: POS supplies.,2026-04-28
Elizabeth,Martin,info@thetaqueria.com,(253) 881-9581,The Taqueria,2744 Oak St,Seattle,King County,WA,98937,Taqueria,,WA_Restaurant_Scraper,C,"Restaurant, Taqueria, POS_Prospect, WA, Seattle",Auto-generated lead for PSDepot outreach. Type: Taqueria. Target: POS supplies.,2026-04-28
Betty,Ramirez,,(253) 554-1880,Moore's Cantina,3522 River Rd,Seattle,King County,WA,98779,Cantina,,WA_Restaurant_Scraper,C,"Restaurant, Cantina, POS_Prospect, WA, Seattle",Auto-generated lead for PSDepot outreach. Type: Cantina. Target: POS supplies.,2026-04-28
Lisa,Johnson,info@jonessbistro.com,(425) 389-6859,Jones's Bistro,724 Oak St,Seattle,King County,WA,98082,Bistro,,WA_Restaurant_Scraper,A,"Restaurant, Bistro, POS_Prospect, WA, Seattle",Auto-generated lead for PSDepot outreach. Type: Bistro. Target: POS supplies.,2026-04-28
Jennifer,Lopez,,(206) 555-9410,Silver Tacos,8170 Industrial Blvd,Seattle,King County,WA,99022,Tacos,,WA_Restaurant_Scraper,B,"Restaurant, Tacos, POS_Prospect, WA, Seattle",Auto-generated lead for PSDepot outreach. Type: Tacos. Target: POS supplies.,2026-04-28
Linda,Brown,,(509) 954-3191,Red Coffee,6110 Cedar Ave,Seattle,King County,WA,99144,Coffee,,WA_Restaurant_Scraper,A,"Restaurant, Coffee, POS_Prospect, WA, Seattle",Auto-generated lead for PSDepot outreach. Type: Coffee. Target: POS supplies.,2026-04-28
