First Name,Last Name,Email,Phone,Company,Address,City,County,State,Zip,Business Type,Website,Source,Priority,Tags,Notes,Scrape Date,Yelp URL,Google Maps,Yelp Rating,Yelp Reviews,Est. Revenue,Employees,POS Urgency,Region
Roberto,Garcia,,(657) 695-1187,Perez's Burritos,3400 Third St,Anaheim,Orange County,CA,91801,Burritos,,CA_Restaurant_Scraper,C,"Restaurant, Burritos, POS_Prospect, Anaheim",Auto-generated lead for PSDepot outreach. Type: Burritos,2026-04-28,https://www.yelp.com/biz/perezs-burritos-anaheim,"https://maps.google.com/?q=3400+Third+St,Anaheim,CA",,,Under $500K,26-50,Low,Orange County
Richard,Jones,,(657) 978-9930,Ramirez's Bar & Grill,4610 Second St,Anaheim,Orange County,CA,96292,Bar & Grill,,CA_Restaurant_Scraper,B,"Restaurant, Bar & Grill, POS_Prospect, Anaheim",Auto-generated lead for PSDepot outreach. Type: Bar & Grill,2026-04-28,https://www.yelp.com/biz/ramirezs-bar-&-grill-anaheim,"https://maps.google.com/?q=4610+Second+St,Anaheim,CA",3.1,135,$1M-$2.5M,100+,Medium,Orange County
Ana,Brown,,(714) 591-4506,Corner Diner,9761 Third St,Anaheim,Orange County,CA,92725,Diner,https://www.cornerdiner.com,CA_Restaurant_Scraper,C,"Restaurant, Diner, POS_Prospect, Anaheim",Auto-generated lead for PSDepot outreach. Type: Diner,2026-04-28,https://www.yelp.com/biz/corner-diner-anaheim,"https://maps.google.com/?q=9761+Third+St,Anaheim,CA",3.1,294,$5M+,100+,High,Orange County
Anthony,Davis,info@bigdelbakery.com,(714) 662-7688,Big DelBakery,2262 Pine St,Anaheim,Orange County,CA,95432,Bakery,,CA_Restaurant_Scraper,C,"Restaurant, Bakery, POS_Prospect, Anaheim",Auto-generated lead for PSDepot outreach. Type: Bakery,2026-04-28,https://www.yelp.com/biz/big-delbakery-anaheim,"https://maps.google.com/?q=2262+Pine+St,Anaheim,CA",4.3,436,Under $500K,100+,Low,Orange County
Juan,Rodriguez,,(714) 973-3233,Santa DelBar & Grill,435 Jefferson St,Anaheim,Orange County,CA,96403,Bar & Grill,,CA_Restaurant_Scraper,C,"Restaurant, Bar & Grill, POS_Prospect, Anaheim",Auto-generated lead for PSDepot outreach. Type: Bar & Grill,2026-04-28,https://www.yelp.com/biz/santa-delbar-&-grill-anaheim,"https://maps.google.com/?q=435+Jefferson+St,Anaheim,CA",4.9,97,$5M+,100+,High,Orange County
Christopher,Davis,info@lasdeeatery.com,(714) 917-9012,Las DeEatery,8992 Sunset Blvd,Anaheim,Orange County,CA,93856,Eatery,https://www.lasdeeatery.com,CA_Restaurant_Scraper,B,"Restaurant, Eatery, POS_Prospect, Anaheim",Auto-generated lead for PSDepot outreach. Type: Eatery,2026-04-28,https://www.yelp.com/biz/las-deeatery-anaheim,"https://maps.google.com/?q=8992+Sunset+Blvd,Anaheim,CA",3.1,38,Under $500K,26-50,Low,Orange County
Maria,Gonzalez,info@casadekitchen.com,(657) 774-6913,Casa DeKitchen,6227 Wilshire Blvd,Anaheim,Orange County,CA,90170,Kitchen,,CA_Restaurant_Scraper,C,"Restaurant, Kitchen, POS_Prospect, Anaheim",Auto-generated lead for PSDepot outreach. Type: Kitchen,2026-04-28,https://www.yelp.com/biz/casa-dekitchen-anaheim,"https://maps.google.com/?q=6227+Wilshire+Blvd,Anaheim,CA",3.1,104,$2.5M-$5M,1-10,High,Orange County
Matthew,Johnson,info@grilldeltaqueria.com,(714) 789-1800,Grill DelTaqueria,1723 Wilshire Blvd,Anaheim,Orange County,CA,92698,Taqueria,,CA_Restaurant_Scraper,C,"Restaurant, Taqueria, POS_Prospect, Anaheim",Auto-generated lead for PSDepot outreach. Type: Taqueria,2026-04-28,https://www.yelp.com/biz/grill-deltaqueria-anaheim,"https://maps.google.com/?q=1723+Wilshire+Blvd,Anaheim,CA",3.6,272,Under $500K,11-25,Low,Orange County
Barbara,Rodriguez,info@grilldelcoffee.com,(657) 490-3756,Grill DelCoffee,5223 Washington Blvd,Anaheim,Orange County,CA,95581,Grill,https://www.grilldelcoffee.com,CA_Restaurant_Scraper,C,"Restaurant, Grill, POS_Prospect, Anaheim",Auto-generated lead for PSDepot outreach. Type: Grill,2026-04-28,,"https://maps.google.com/?q=5223+Washington+Blvd,Anaheim,CA",,,$2.5M-$5M,100+,High,Orange County
Richard,Rodriguez,,(657) 394-4516,Silver DeSeafood,850 Oak St,Anaheim,Orange County,CA,90958,Seafood,https://www.silverdeseafood.com,CA_Restaurant_Scraper,A,"Restaurant, Seafood, POS_Prospect, Anaheim",Auto-generated lead for PSDepot outreach. Type: Seafood,2026-04-28,https://www.yelp.com/biz/silver-deseafood-anaheim,"https://maps.google.com/?q=850+Oak+St,Anaheim,CA",3.5,482,$2.5M-$5M,11-25,High,Orange County
