First Name,Last Name,Email,Phone,Company,Address,City,County,State,Zip,Business Type,Website,Source,Priority,Tags,Notes,Scrape Date,Yelp URL,Google Maps,Yelp Rating,Yelp Reviews,Est. Revenue,Employees,POS Urgency,Region
Richard,Williams,,(559) 244-7331,Corner Sushi,2827 Jefferson St,Fresno,Fresno County,CA,96731,Sushi,,CA_Restaurant_Scraper,C,"Restaurant, Sushi, POS_Prospect, Fresno",Auto-generated lead for PSDepot outreach. Type: Sushi,2026-04-28,https://www.yelp.com/biz/corner-sushi-fresno,"https://maps.google.com/?q=2827+Jefferson+St,Fresno,CA",4.9,326,$1M-$2.5M,26-50,Medium,Central Valley
Mary,Perez,,(559) 784-2645,Spot Taqueria,4660 Pine St,Fresno,Fresno County,CA,94787,Taqueria,,CA_Restaurant_Scraper,A,"Restaurant, Taqueria, POS_Prospect, Fresno",Auto-generated lead for PSDepot outreach. Type: Taqueria,2026-04-28,,"https://maps.google.com/?q=4660+Pine+St,Fresno,CA",4.5,459,$5M+,11-25,High,Central Valley
Luis,Brown,,(559) 404-6984,House Burritos,3264 Ocean Ave,Fresno,Fresno County,CA,95806,Burritos,,CA_Restaurant_Scraper,B,"Restaurant, Burritos, POS_Prospect, Fresno",Auto-generated lead for PSDepot outreach. Type: Burritos,2026-04-28,https://www.yelp.com/biz/house-burritos-fresno,"https://maps.google.com/?q=3264+Ocean+Ave,Fresno,CA",3.8,27,Under $500K,26-50,Low,Central Valley
Christopher,Williams,info@bistrodediner.com,(559) 485-1754,Bistro DeDiner,6705 Hollywood Blvd,Fresno,Fresno County,CA,92101,Diner,,CA_Restaurant_Scraper,C,"Restaurant, Diner, POS_Prospect, Fresno",Auto-generated lead for PSDepot outreach. Type: Diner,2026-04-28,https://www.yelp.com/biz/bistro-dediner-fresno,"https://maps.google.com/?q=6705+Hollywood+Blvd,Fresno,CA",,,$1M-$2.5M,51-100,Medium,Central Valley
Christopher,Perez,,(559) 994-7922,Bistro DeBakery,7518 Hollywood Blvd,Fresno,Fresno County,CA,96886,Bistro,,CA_Restaurant_Scraper,A,"Restaurant, Bistro, POS_Prospect, Fresno",Auto-generated lead for PSDepot outreach. Type: Bistro,2026-04-28,https://www.yelp.com/biz/bistro-debakery-fresno,"https://maps.google.com/?q=7518+Hollywood+Blvd,Fresno,CA",,,$5M+,100+,High,Central Valley
Matthew,Davis,info@sandesteakhouse.com,(559) 848-2608,San DeSteakhouse,628 Pico Blvd,Fresno,Fresno County,CA,93455,Steakhouse,https://www.sandesteakhouse.com,CA_Restaurant_Scraper,B,"Restaurant, Steakhouse, POS_Prospect, Fresno",Auto-generated lead for PSDepot outreach. Type: Steakhouse,2026-04-28,,"https://maps.google.com/?q=628+Pico+Blvd,Fresno,CA",4.1,348,$5M+,1-10,High,Central Valley
Christopher,Davis,info@santadegrill.com,(559) 373-3765,Santa DeGrill,5106 Ocean Ave,Fresno,Fresno County,CA,90911,Grill,,CA_Restaurant_Scraper,B,"Restaurant, Grill, POS_Prospect, Fresno",Auto-generated lead for PSDepot outreach. Type: Grill,2026-04-28,https://www.yelp.com/biz/santa-degrill-fresno,"https://maps.google.com/?q=5106+Ocean+Ave,Fresno,CA",,,$5M+,51-100,High,Central Valley
Roberto,Lopez,info@reddesteakhouse.com,(559) 734-9547,Red DeSteakhouse,6855 Sunset Blvd,Fresno,Fresno County,CA,91365,Steakhouse,https://www.reddesteakhouse.com,CA_Restaurant_Scraper,C,"Restaurant, Steakhouse, POS_Prospect, Fresno",Auto-generated lead for PSDepot outreach. Type: Steakhouse,2026-04-28,https://www.yelp.com/biz/red-desteakhouse-fresno,"https://maps.google.com/?q=6855+Sunset+Blvd,Fresno,CA",3.7,16,Under $500K,1-10,Low,Central Valley
James,Martinez,info@bigdelkitchen.com,(559) 631-8723,Big DelKitchen,8531 Ocean Ave,Fresno,Fresno County,CA,94608,Kitchen,,CA_Restaurant_Scraper,C,"Restaurant, Kitchen, POS_Prospect, Fresno",Auto-generated lead for PSDepot outreach. Type: Kitchen,2026-04-28,,"https://maps.google.com/?q=8531+Ocean+Ave,Fresno,CA",3.3,385,$500K-$1M,1-10,Low,Central Valley
Nancy,Rodriguez,,(559) 546-4484,Davis's Diner,8842 Washington Blvd,Fresno,Fresno County,CA,90344,Diner,,CA_Restaurant_Scraper,A,"Restaurant, Diner, POS_Prospect, Fresno",Auto-generated lead for PSDepot outreach. Type: Diner,2026-04-28,https://www.yelp.com/biz/daviss-diner-fresno,"https://maps.google.com/?q=8842+Washington+Blvd,Fresno,CA",,,$5M+,26-50,High,Central Valley
