First Name,Last Name,Email,Phone,Company,Address,City,County,State,Zip,Business Type,Website,Source,Priority,Tags,Notes,Scrape Date,Yelp URL,Google Maps,Yelp Rating,Yelp Reviews,Est. Revenue,Employees,POS Urgency,Region
Jessica,Garcia,info@bluedekitchen.com,(562) 288-8854,Blue DeKitchen,6992 Ocean Ave,Long Beach,Los Angeles County,CA,95184,Kitchen,,CA_Restaurant_Scraper,A,"Restaurant, Kitchen, POS_Prospect, Long Beach",Auto-generated lead for PSDepot outreach. Type: Kitchen,2026-04-28,https://www.yelp.com/biz/blue-dekitchen-long-beach,"https://maps.google.com/?q=6992+Ocean+Ave,Long+Beach,CA",3.0,434,$2.5M-$5M,1-10,High,Los Angeles County
Jennifer,Brown,,(562) 452-1398,Bistro DePizza,5276 Broadway,Long Beach,Los Angeles County,CA,91678,Bistro,,CA_Restaurant_Scraper,B,"Restaurant, Bistro, POS_Prospect, Long Beach",Auto-generated lead for PSDepot outreach. Type: Bistro,2026-04-28,https://www.yelp.com/biz/bistro-depizza-long-beach,"https://maps.google.com/?q=5276+Broadway,Long+Beach,CA",3.5,303,Under $500K,1-10,Low,Los Angeles County
Karen,Torres,,(562) 238-9115,Big DeTaqueria,3657 First St,Long Beach,Los Angeles County,CA,90861,Taqueria,https://www.bigdetaqueria.com,CA_Restaurant_Scraper,A,"Restaurant, Taqueria, POS_Prospect, Long Beach",Auto-generated lead for PSDepot outreach. Type: Taqueria,2026-04-28,https://www.yelp.com/biz/big-detaqueria-long-beach,"https://maps.google.com/?q=3657+First+St,Long+Beach,CA",,,$5M+,1-10,High,Los Angeles County
Matthew,Torres,info@garciasbbq.com,(562) 227-9317,Garcia's BBQ,8757 Wilshire Blvd,Long Beach,Los Angeles County,CA,95510,BBQ,,CA_Restaurant_Scraper,C,"Restaurant, BBQ, POS_Prospect, Long Beach",Auto-generated lead for PSDepot outreach. Type: BBQ,2026-04-28,https://www.yelp.com/biz/garcias-bbq-long-beach,"https://maps.google.com/?q=8757+Wilshire+Blvd,Long+Beach,CA",,,Under $500K,26-50,Low,Los Angeles County
Margaret,Williams,,(562) 710-7271,Grill DelSeafood,4625 Main St,Long Beach,Los Angeles County,CA,95181,Grill,,CA_Restaurant_Scraper,C,"Restaurant, Grill, POS_Prospect, Long Beach",Auto-generated lead for PSDepot outreach. Type: Grill,2026-04-28,,"https://maps.google.com/?q=4625+Main+St,Long+Beach,CA",4.2,471,$1M-$2.5M,26-50,Medium,Los Angeles County
Elizabeth,Ramirez,info@bigdelcafe.com,(562) 979-1742,Big DelCafe,5360 Cedar Ave,Long Beach,Los Angeles County,CA,93184,Cafe,,CA_Restaurant_Scraper,B,"Restaurant, Cafe, POS_Prospect, Long Beach",Auto-generated lead for PSDepot outreach. Type: Cafe,2026-04-28,https://www.yelp.com/biz/big-delcafe-long-beach,"https://maps.google.com/?q=5360+Cedar+Ave,Long+Beach,CA",4.3,478,$1M-$2.5M,11-25,Medium,Los Angeles County
Jessica,Williams,info@casaeatery.com,(562) 833-5494,Casa Eatery,3371 Pine St,Long Beach,Los Angeles County,CA,92221,Eatery,,CA_Restaurant_Scraper,A,"Restaurant, Eatery, POS_Prospect, Long Beach",Auto-generated lead for PSDepot outreach. Type: Eatery,2026-04-28,,"https://maps.google.com/?q=3371+Pine+St,Long+Beach,CA",5.0,330,$2.5M-$5M,26-50,High,Los Angeles County
Ana,Smith,info@johnsonsbistro.com,(562) 683-9538,Johnson's Bistro,5523 Mission St,Long Beach,Los Angeles County,CA,96582,Bistro,,CA_Restaurant_Scraper,B,"Restaurant, Bistro, POS_Prospect, Long Beach",Auto-generated lead for PSDepot outreach. Type: Bistro,2026-04-28,,"https://maps.google.com/?q=5523+Mission+St,Long+Beach,CA",4.0,255,Under $500K,1-10,Low,Los Angeles County
Daniel,Johnson,,(562) 940-9758,Silver DelPizza,8793 Main St,Long Beach,Los Angeles County,CA,96156,Pizza,https://www.silverdelpizza.com,CA_Restaurant_Scraper,B,"Restaurant, Pizza, POS_Prospect, Long Beach",Auto-generated lead for PSDepot outreach. Type: Pizza,2026-04-28,https://www.yelp.com/biz/silver-delpizza-long-beach,"https://maps.google.com/?q=8793+Main+St,Long+Beach,CA",4.0,496,$2.5M-$5M,11-25,High,Los Angeles County
Pedro,Brown,,(562) 895-2214,Big Steakhouse,1416 Washington Blvd,Long Beach,Los Angeles County,CA,93802,Steakhouse,,CA_Restaurant_Scraper,C,"Restaurant, Steakhouse, POS_Prospect, Long Beach",Auto-generated lead for PSDepot outreach. Type: Steakhouse,2026-04-28,https://www.yelp.com/biz/big-steakhouse-long-beach,"https://maps.google.com/?q=1416+Washington+Blvd,Long+Beach,CA",4.8,430,$500K-$1M,26-50,Low,Los Angeles County
