First Name,Last Name,Email,Phone,Company,Address,City,County,State,Zip,Business Type,Website,Source,Priority,Tags,Notes,Scrape Date,Yelp URL,Google Maps,Yelp Rating,Yelp Reviews,Est. Revenue,Employees,POS Urgency,Region
Linda,Sanchez,info@eldeleatery.com,(209) 267-4833,El DelEatery,5379 Elm St,Modesto,Stanislaus County,CA,90094,Eatery,https://www.eldeleatery.com,CA_Restaurant_Scraper,A,"Restaurant, Eatery, POS_Prospect, Modesto",Auto-generated lead for PSDepot outreach. Type: Eatery,2026-04-28,https://www.yelp.com/biz/el-deleatery-modesto,"https://maps.google.com/?q=5379+Elm+St,Modesto,CA",,,$500K-$1M,100+,Low,Northern CA
Margaret,Martinez,,(209) 883-8178,San Cafe,9287 Wilshire Blvd,Modesto,Stanislaus County,CA,95036,Cafe,,CA_Restaurant_Scraper,C,"Restaurant, Cafe, POS_Prospect, Modesto",Auto-generated lead for PSDepot outreach. Type: Cafe,2026-04-28,https://www.yelp.com/biz/san-cafe-modesto,"https://maps.google.com/?q=9287+Wilshire+Blvd,Modesto,CA",,,$500K-$1M,1-10,Low,Northern CA
Michael,Rodriguez,info@lopezsgrill.com,(209) 265-2647,Lopez's Grill,6050 Elm St,Modesto,Stanislaus County,CA,94944,Grill,,CA_Restaurant_Scraper,A,"Restaurant, Grill, POS_Prospect, Modesto",Auto-generated lead for PSDepot outreach. Type: Grill,2026-04-28,https://www.yelp.com/biz/lopezs-grill-modesto,"https://maps.google.com/?q=6050+Elm+St,Modesto,CA",3.5,195,$2.5M-$5M,1-10,High,Northern CA
Christopher,Gonzalez,,(209) 984-6463,El Taqueria,3289 Maple Ave,Modesto,Stanislaus County,CA,93910,Taqueria,,CA_Restaurant_Scraper,A,"Restaurant, Taqueria, POS_Prospect, Modesto",Auto-generated lead for PSDepot outreach. Type: Taqueria,2026-04-28,https://www.yelp.com/biz/el-taqueria-modesto,"https://maps.google.com/?q=3289+Maple+Ave,Modesto,CA",,,$2.5M-$5M,1-10,High,Northern CA
Mark,Garcia,,(209) 689-4534,Rivera's Coffee,1508 Oak St,Modesto,Stanislaus County,CA,90593,Coffee,,CA_Restaurant_Scraper,B,"Restaurant, Coffee, POS_Prospect, Modesto",Auto-generated lead for PSDepot outreach. Type: Coffee,2026-04-28,https://www.yelp.com/biz/riveras-coffee-modesto,"https://maps.google.com/?q=1508+Oak+St,Modesto,CA",3.0,319,$2.5M-$5M,26-50,High,Northern CA
Richard,Lopez,info@kitchentacos.com,(209) 387-3384,Kitchen Tacos,7481 Market St,Modesto,Stanislaus County,CA,96019,Kitchen,https://www.kitchentacos.com,CA_Restaurant_Scraper,C,"Restaurant, Kitchen, POS_Prospect, Modesto",Auto-generated lead for PSDepot outreach. Type: Kitchen,2026-04-28,https://www.yelp.com/biz/kitchen-tacos-modesto,"https://maps.google.com/?q=7481+Market+St,Modesto,CA",4.9,243,Under $500K,26-50,Low,Northern CA
Paul,Hernandez,,(209) 419-8652,Gonzalez's Restaurant,356 First St,Modesto,Stanislaus County,CA,94693,Restaurant,https://www.gonzalezsrestaurant.com,CA_Restaurant_Scraper,A,"Restaurant, Restaurant, POS_Prospect, Modesto",Auto-generated lead for PSDepot outreach. Type: Restaurant,2026-04-28,https://www.yelp.com/biz/gonzalezs-restaurant-modesto,"https://maps.google.com/?q=356+First+St,Modesto,CA",,,Under $500K,11-25,Low,Northern CA
David,Lopez,info@hernandezscafe.com,(209) 611-2745,Hernandez's Cafe,9205 Ocean Ave,Modesto,Stanislaus County,CA,96917,Cafe,,CA_Restaurant_Scraper,B,"Restaurant, Cafe, POS_Prospect, Modesto",Auto-generated lead for PSDepot outreach. Type: Cafe,2026-04-28,https://www.yelp.com/biz/hernandezs-cafe-modesto,"https://maps.google.com/?q=9205+Ocean+Ave,Modesto,CA",3.1,380,Under $500K,1-10,Low,Northern CA
Sarah,Lopez,,(209) 814-1460,Pueblo Pizza,116 Mission St,Modesto,Stanislaus County,CA,91036,Pizza,https://www.pueblopizza.com,CA_Restaurant_Scraper,B,"Restaurant, Pizza, POS_Prospect, Modesto",Auto-generated lead for PSDepot outreach. Type: Pizza,2026-04-28,https://www.yelp.com/biz/pueblo-pizza-modesto,"https://maps.google.com/?q=116+Mission+St,Modesto,CA",,,$2.5M-$5M,11-25,High,Northern CA
Anthony,Lopez,,(209) 874-2034,Big DeBurger,9113 Sunset Blvd,Modesto,Stanislaus County,CA,96430,Burger,,CA_Restaurant_Scraper,B,"Restaurant, Burger, POS_Prospect, Modesto",Auto-generated lead for PSDepot outreach. Type: Burger,2026-04-28,https://www.yelp.com/biz/big-deburger-modesto,"https://maps.google.com/?q=9113+Sunset+Blvd,Modesto,CA",,,$5M+,26-50,High,Northern CA
Linda,Lopez,,(209) 261-4118,Little DelKitchen,4407 Wilshire Blvd,Modesto,Stanislaus County,CA,94609,Kitchen,,CA_Restaurant_Scraper,C,"Restaurant, Kitchen, POS_Prospect, Modesto",Auto-generated lead for PSDepot outreach. Type: Kitchen,2026-04-28,,"https://maps.google.com/?q=4407+Wilshire+Blvd,Modesto,CA",,,$5M+,11-25,High,Northern CA
Ana,Torres,,(209) 884-6904,House DelTaqueria,3667 Second St,Modesto,Stanislaus County,CA,92500,Taqueria,,CA_Restaurant_Scraper,C,"Restaurant, Taqueria, POS_Prospect, Modesto",Auto-generated lead for PSDepot outreach. Type: Taqueria,2026-04-28,https://www.yelp.com/biz/house-deltaqueria-modesto,"https://maps.google.com/?q=3667+Second+St,Modesto,CA",4.5,144,Under $500K,26-50,Low,Northern CA
Richard,Miller,info@martinezseatery.com,(209) 984-6159,Martinez's Eatery,5369 Third St,Modesto,Stanislaus County,CA,91087,Eatery,,CA_Restaurant_Scraper,A,"Restaurant, Eatery, POS_Prospect, Modesto",Auto-generated lead for PSDepot outreach. Type: Eatery,2026-04-28,,"https://maps.google.com/?q=5369+Third+St,Modesto,CA",,,$500K-$1M,51-100,Low,Northern CA
David,Hernandez,info@santadeeatery.com,(209) 976-3529,Santa DeEatery,5405 Third St,Modesto,Stanislaus County,CA,94642,Eatery,,CA_Restaurant_Scraper,C,"Restaurant, Eatery, POS_Prospect, Modesto",Auto-generated lead for PSDepot outreach. Type: Eatery,2026-04-28,https://www.yelp.com/biz/santa-deeatery-modesto,"https://maps.google.com/?q=5405+Third+St,Modesto,CA",4.1,278,$2.5M-$5M,100+,High,Northern CA
Mary,Garcia,info@silverdediner.com,(209) 745-7564,Silver DeDiner,4687 Jefferson St,Modesto,Stanislaus County,CA,92845,Diner,,CA_Restaurant_Scraper,C,"Restaurant, Diner, POS_Prospect, Modesto",Auto-generated lead for PSDepot outreach. Type: Diner,2026-04-28,,"https://maps.google.com/?q=4687+Jefferson+St,Modesto,CA",,,$500K-$1M,26-50,Low,Northern CA
Barbara,Garcia,,(209) 506-6931,Hernandez's Bakery,3627 Jefferson St,Modesto,Stanislaus County,CA,96863,Bakery,,CA_Restaurant_Scraper,C,"Restaurant, Bakery, POS_Prospect, Modesto",Auto-generated lead for PSDepot outreach. Type: Bakery,2026-04-28,https://www.yelp.com/biz/hernandezs-bakery-modesto,"https://maps.google.com/?q=3627+Jefferson+St,Modesto,CA",,,$5M+,26-50,High,Northern CA
Lisa,Davis,,(209) 822-9762,Perez's Bakery,6288 Oak St,Modesto,Stanislaus County,CA,95482,Bakery,,CA_Restaurant_Scraper,B,"Restaurant, Bakery, POS_Prospect, Modesto",Auto-generated lead for PSDepot outreach. Type: Bakery,2026-04-28,https://www.yelp.com/biz/perezs-bakery-modesto,"https://maps.google.com/?q=6288+Oak+St,Modesto,CA",3.6,72,$500K-$1M,51-100,Low,Northern CA
James,Gonzalez,,(209) 670-7444,Lopez's Eatery,4194 Cedar Ave,Modesto,Stanislaus County,CA,96594,Eatery,,CA_Restaurant_Scraper,A,"Restaurant, Eatery, POS_Prospect, Modesto",Auto-generated lead for PSDepot outreach. Type: Eatery,2026-04-28,https://www.yelp.com/biz/lopezs-eatery-modesto,"https://maps.google.com/?q=4194+Cedar+Ave,Modesto,CA",4.0,262,$5M+,26-50,High,Northern CA
Paul,Ramirez,,(209) 652-5376,Kitchen DeCoffee,5513 Mission St,Modesto,Stanislaus County,CA,96309,Kitchen,,CA_Restaurant_Scraper,B,"Restaurant, Kitchen, POS_Prospect, Modesto",Auto-generated lead for PSDepot outreach. Type: Kitchen,2026-04-28,https://www.yelp.com/biz/kitchen-decoffee-modesto,"https://maps.google.com/?q=5513+Mission+St,Modesto,CA",,,$2.5M-$5M,100+,High,Northern CA
Nancy,Garcia,,(209) 942-9344,Rivera's Pizza,3603 Maple Ave,Modesto,Stanislaus County,CA,94368,Pizza,,CA_Restaurant_Scraper,A,"Restaurant, Pizza, POS_Prospect, Modesto",Auto-generated lead for PSDepot outreach. Type: Pizza,2026-04-28,,"https://maps.google.com/?q=3603+Maple+Ave,Modesto,CA",3.2,391,$2.5M-$5M,1-10,High,Northern CA
