First Name,Last Name,Email,Phone,Company,Address,City,County,State,Zip,Business Type,Website,Source,Priority,Tags,Notes,Scrape Date,Yelp URL,Google Maps,Yelp Rating,Yelp Reviews,Est. Revenue,Employees,POS Urgency,Region
Nancy,Jones,info@littledeltacos.com,(510) 868-1629,Little DelTacos,8533 Hollywood Blvd,Oakland,Alameda County,CA,91653,Tacos,https://www.littledeltacos.com,CA_Restaurant_Scraper,B,"Restaurant, Tacos, POS_Prospect, Oakland",Auto-generated lead for PSDepot outreach. Type: Tacos,2026-04-28,https://www.yelp.com/biz/little-deltacos-oakland,"https://maps.google.com/?q=8533+Hollywood+Blvd,Oakland,CA",4.2,285,Under $500K,11-25,Low,Northern CA
Jessica,Miller,info@hernandezsburritos.com,(925) 353-2720,Hernandez's Burritos,3298 Washington Blvd,Oakland,Alameda County,CA,94125,Burritos,,CA_Restaurant_Scraper,A,"Restaurant, Burritos, POS_Prospect, Oakland",Auto-generated lead for PSDepot outreach. Type: Burritos,2026-04-28,,"https://maps.google.com/?q=3298+Washington+Blvd,Oakland,CA",,,$500K-$1M,11-25,Low,Northern CA
Christopher,Perez,,(925) 229-6927,Gonzalez's Grill,5015 Elm St,Oakland,Alameda County,CA,95351,Grill,https://www.gonzalezsgrill.com,CA_Restaurant_Scraper,C,"Restaurant, Grill, POS_Prospect, Oakland",Auto-generated lead for PSDepot outreach. Type: Grill,2026-04-28,https://www.yelp.com/biz/gonzalezs-grill-oakland,"https://maps.google.com/?q=5015+Elm+St,Oakland,CA",3.0,445,$1M-$2.5M,100+,Medium,Northern CA
John,Williams,,(925) 742-9963,Corner DelGrill,2458 Cedar Ave,Oakland,Alameda County,CA,94740,Grill,,CA_Restaurant_Scraper,B,"Restaurant, Grill, POS_Prospect, Oakland",Auto-generated lead for PSDepot outreach. Type: Grill,2026-04-28,https://www.yelp.com/biz/corner-delgrill-oakland,"https://maps.google.com/?q=2458+Cedar+Ave,Oakland,CA",4.6,120,$1M-$2.5M,26-50,Medium,Northern CA
Karen,Lopez,,(925) 797-7035,Grill DelBakery,3541 Maple Ave,Oakland,Alameda County,CA,91669,Grill,,CA_Restaurant_Scraper,A,"Restaurant, Grill, POS_Prospect, Oakland",Auto-generated lead for PSDepot outreach. Type: Grill,2026-04-28,https://www.yelp.com/biz/grill-delbakery-oakland,"https://maps.google.com/?q=3541+Maple+Ave,Oakland,CA",4.7,113,$1M-$2.5M,1-10,Medium,Northern CA
Sarah,Martinez,info@silverdegrill.com,(510) 300-6452,Silver DeGrill,3452 Pine St,Oakland,Alameda County,CA,95242,Grill,,CA_Restaurant_Scraper,A,"Restaurant, Grill, POS_Prospect, Oakland",Auto-generated lead for PSDepot outreach. Type: Grill,2026-04-28,https://www.yelp.com/biz/silver-degrill-oakland,"https://maps.google.com/?q=3452+Pine+St,Oakland,CA",3.9,118,$2.5M-$5M,51-100,High,Northern CA
Lisa,Jones,info@lastaqueria.com,(925) 736-1228,Las Taqueria,2808 Pico Blvd,Oakland,Alameda County,CA,93260,Taqueria,,CA_Restaurant_Scraper,A,"Restaurant, Taqueria, POS_Prospect, Oakland",Auto-generated lead for PSDepot outreach. Type: Taqueria,2026-04-28,https://www.yelp.com/biz/las-taqueria-oakland,"https://maps.google.com/?q=2808+Pico+Blvd,Oakland,CA",4.8,413,Under $500K,51-100,Low,Northern CA
Patricia,Sanchez,,(510) 985-9466,Spot Grill,7050 Broadway,Oakland,Alameda County,CA,95746,Grill,,CA_Restaurant_Scraper,A,"Restaurant, Grill, POS_Prospect, Oakland",Auto-generated lead for PSDepot outreach. Type: Grill,2026-04-28,https://www.yelp.com/biz/spot-grill-oakland,"https://maps.google.com/?q=7050+Broadway,Oakland,CA",4.9,358,$2.5M-$5M,51-100,High,Northern CA
Christopher,Flores,,(925) 587-3692,El DeDiner,3239 Pico Blvd,Oakland,Alameda County,CA,91785,Diner,,CA_Restaurant_Scraper,C,"Restaurant, Diner, POS_Prospect, Oakland",Auto-generated lead for PSDepot outreach. Type: Diner,2026-04-28,https://www.yelp.com/biz/el-dediner-oakland,"https://maps.google.com/?q=3239+Pico+Blvd,Oakland,CA",3.3,405,Under $500K,11-25,Low,Northern CA
Elizabeth,Sanchez,info@martinezssushi.com,(510) 732-1079,Martinez's Sushi,825 Main St,Oakland,Alameda County,CA,91831,Sushi,,CA_Restaurant_Scraper,C,"Restaurant, Sushi, POS_Prospect, Oakland",Auto-generated lead for PSDepot outreach. Type: Sushi,2026-04-28,https://www.yelp.com/biz/martinezs-sushi-oakland,"https://maps.google.com/?q=825+Main+St,Oakland,CA",,,$5M+,26-50,High,Northern CA
