First Name,Last Name,Email,Phone,Company,Address,City,County,State,Zip,Business Type,Website,Source,Priority,Tags,Notes,Scrape Date,Yelp URL,Google Maps,Yelp Rating,Yelp Reviews,Est. Revenue,Employees,POS Urgency,Region
Robert,Garcia,,(626) 734-4561,The Steakhouse,6656 Pico Blvd,Pasadena,Los Angeles County,CA,93332,Steakhouse,,CA_Restaurant_Scraper,C,"Restaurant, Steakhouse, POS_Prospect, Pasadena",Auto-generated lead for PSDepot outreach. Type: Steakhouse,2026-04-28,https://www.yelp.com/biz/the-steakhouse-pasadena,"https://maps.google.com/?q=6656+Pico+Blvd,Pasadena,CA",,,$2.5M-$5M,1-10,High,Los Angeles County
Steven,Miller,,(626) 789-7567,Bistro DelCafe,2562 Oak St,Pasadena,Los Angeles County,CA,92394,Cafe,https://www.bistrodelcafe.com,CA_Restaurant_Scraper,C,"Restaurant, Cafe, POS_Prospect, Pasadena",Auto-generated lead for PSDepot outreach. Type: Cafe,2026-04-28,https://www.yelp.com/biz/bistro-delcafe-pasadena,"https://maps.google.com/?q=2562+Oak+St,Pasadena,CA",3.5,121,Under $500K,11-25,Low,Los Angeles County
Elizabeth,Martinez,,(626) 509-1909,Casa DelKitchen,7948 Second St,Pasadena,Los Angeles County,CA,93465,Kitchen,https://www.casadelkitchen.com,CA_Restaurant_Scraper,C,"Restaurant, Kitchen, POS_Prospect, Pasadena",Auto-generated lead for PSDepot outreach. Type: Kitchen,2026-04-28,https://www.yelp.com/biz/casa-delkitchen-pasadena,"https://maps.google.com/?q=7948+Second+St,Pasadena,CA",3.2,182,$5M+,26-50,High,Los Angeles County
Nancy,Rodriguez,info@sandeburritos.com,(626) 474-4699,San DeBurritos,9467 Maple Ave,Pasadena,Los Angeles County,CA,91271,Burritos,https://www.sandeburritos.com,CA_Restaurant_Scraper,C,"Restaurant, Burritos, POS_Prospect, Pasadena",Auto-generated lead for PSDepot outreach. Type: Burritos,2026-04-28,,"https://maps.google.com/?q=9467+Maple+Ave,Pasadena,CA",3.8,261,$2.5M-$5M,26-50,High,Los Angeles County
Anthony,Rodriguez,,(626) 310-8984,Brown's Burritos,8313 First St,Pasadena,Los Angeles County,CA,90824,Burritos,,CA_Restaurant_Scraper,A,"Restaurant, Burritos, POS_Prospect, Pasadena",Auto-generated lead for PSDepot outreach. Type: Burritos,2026-04-28,https://www.yelp.com/biz/browns-burritos-pasadena,"https://maps.google.com/?q=8313+First+St,Pasadena,CA",,,$1M-$2.5M,51-100,Medium,Los Angeles County
Margaret,Lopez,,(626) 581-1909,House DeRestaurant,8071 Elm St,Pasadena,Los Angeles County,CA,95992,Restaurant,,CA_Restaurant_Scraper,C,"Restaurant, Restaurant, POS_Prospect, Pasadena",Auto-generated lead for PSDepot outreach. Type: Restaurant,2026-04-28,https://www.yelp.com/biz/house-derestaurant-pasadena,"https://maps.google.com/?q=8071+Elm+St,Pasadena,CA",4.0,406,$2.5M-$5M,1-10,High,Los Angeles County
Sarah,Lopez,,(626) 702-8368,Williams's Cafe,7162 Washington Blvd,Pasadena,Los Angeles County,CA,95562,Cafe,https://www.williamsscafe.com,CA_Restaurant_Scraper,B,"Restaurant, Cafe, POS_Prospect, Pasadena",Auto-generated lead for PSDepot outreach. Type: Cafe,2026-04-28,https://www.yelp.com/biz/williamss-cafe-pasadena,"https://maps.google.com/?q=7162+Washington+Blvd,Pasadena,CA",3.3,47,$500K-$1M,100+,Low,Los Angeles County
Elizabeth,Johnson,info@rodriguezspizza.com,(626) 394-1775,Rodriguez's Pizza,3658 Third St,Pasadena,Los Angeles County,CA,96609,Pizza,https://www.rodriguezspizza.com,CA_Restaurant_Scraper,B,"Restaurant, Pizza, POS_Prospect, Pasadena",Auto-generated lead for PSDepot outreach. Type: Pizza,2026-04-28,https://www.yelp.com/biz/rodriguezs-pizza-pasadena,"https://maps.google.com/?q=3658+Third+St,Pasadena,CA",4.1,406,$1M-$2.5M,51-100,Medium,Los Angeles County
Nancy,Johnson,info@cafedecoffee.com,(626) 557-1074,Cafe DeCoffee,9228 Washington Blvd,Pasadena,Los Angeles County,CA,95608,Cafe,https://www.cafedecoffee.com,CA_Restaurant_Scraper,C,"Restaurant, Cafe, POS_Prospect, Pasadena",Auto-generated lead for PSDepot outreach. Type: Cafe,2026-04-28,https://www.yelp.com/biz/cafe-decoffee-pasadena,"https://maps.google.com/?q=9228+Washington+Blvd,Pasadena,CA",3.0,318,$5M+,51-100,High,Los Angeles County
Christopher,Williams,info@spotkitchen.com,(626) 802-3432,Spot Kitchen,8288 Elm St,Pasadena,Los Angeles County,CA,96735,Kitchen,,CA_Restaurant_Scraper,A,"Restaurant, Kitchen, POS_Prospect, Pasadena",Auto-generated lead for PSDepot outreach. Type: Kitchen,2026-04-28,https://www.yelp.com/biz/spot-kitchen-pasadena,"https://maps.google.com/?q=8288+Elm+St,Pasadena,CA",4.9,312,$5M+,11-25,High,Los Angeles County
Elizabeth,Lopez,,(626) 801-1151,Corner Kitchen,3780 Wilshire Blvd,Pasadena,Los Angeles County,CA,91534,Kitchen,,CA_Restaurant_Scraper,B,"Restaurant, Kitchen, POS_Prospect, Pasadena",Auto-generated lead for PSDepot outreach. Type: Kitchen,2026-04-28,https://www.yelp.com/biz/corner-kitchen-pasadena,"https://maps.google.com/?q=3780+Wilshire+Blvd,Pasadena,CA",3.6,147,$1M-$2.5M,11-25,Medium,Los Angeles County
Sarah,Rodriguez,,(626) 202-1713,Cafe DeTacos,3484 Sunset Blvd,Pasadena,Los Angeles County,CA,93652,Cafe,,CA_Restaurant_Scraper,B,"Restaurant, Cafe, POS_Prospect, Pasadena",Auto-generated lead for PSDepot outreach. Type: Cafe,2026-04-28,https://www.yelp.com/biz/cafe-detacos-pasadena,"https://maps.google.com/?q=3484+Sunset+Blvd,Pasadena,CA",4.1,305,$5M+,11-25,High,Los Angeles County
Ana,Garcia,info@grilltaqueria.com,(626) 739-1771,Grill Taqueria,5216 Broadway,Pasadena,Los Angeles County,CA,95522,Taqueria,,CA_Restaurant_Scraper,A,"Restaurant, Taqueria, POS_Prospect, Pasadena",Auto-generated lead for PSDepot outreach. Type: Taqueria,2026-04-28,https://www.yelp.com/biz/grill-taqueria-pasadena,"https://maps.google.com/?q=5216+Broadway,Pasadena,CA",,,$1M-$2.5M,51-100,Medium,Los Angeles County
Mark,Martinez,,(626) 486-4887,Little DelBurritos,5170 Hollywood Blvd,Pasadena,Los Angeles County,CA,94425,Burritos,https://www.littledelburritos.com,CA_Restaurant_Scraper,C,"Restaurant, Burritos, POS_Prospect, Pasadena",Auto-generated lead for PSDepot outreach. Type: Burritos,2026-04-28,https://www.yelp.com/biz/little-delburritos-pasadena,"https://maps.google.com/?q=5170+Hollywood+Blvd,Pasadena,CA",,,$5M+,11-25,High,Los Angeles County
Juan,Rivera,,(626) 492-3878,Blue Bakery,8655 Ocean Ave,Pasadena,Los Angeles County,CA,92592,Bakery,,CA_Restaurant_Scraper,B,"Restaurant, Bakery, POS_Prospect, Pasadena",Auto-generated lead for PSDepot outreach. Type: Bakery,2026-04-28,https://www.yelp.com/biz/blue-bakery-pasadena,"https://maps.google.com/?q=8655+Ocean+Ave,Pasadena,CA",4.9,9,$2.5M-$5M,51-100,High,Los Angeles County
Lisa,Gomez,info@lasbbq.com,(626) 559-4778,Las BBQ,9617 Main St,Pasadena,Los Angeles County,CA,90610,BBQ,https://www.lasbbq.com,CA_Restaurant_Scraper,B,"Restaurant, BBQ, POS_Prospect, Pasadena",Auto-generated lead for PSDepot outreach. Type: BBQ,2026-04-28,https://www.yelp.com/biz/las-bbq-pasadena,"https://maps.google.com/?q=9617+Main+St,Pasadena,CA",4.4,270,$5M+,26-50,High,Los Angeles County
John,Sanchez,info@lopezsdiner.com,(626) 951-1888,Lopez's Diner,9483 Jefferson St,Pasadena,Los Angeles County,CA,90580,Diner,,CA_Restaurant_Scraper,A,"Restaurant, Diner, POS_Prospect, Pasadena",Auto-generated lead for PSDepot outreach. Type: Diner,2026-04-28,https://www.yelp.com/biz/lopezs-diner-pasadena,"https://maps.google.com/?q=9483+Jefferson+St,Pasadena,CA",,,Under $500K,51-100,Low,Los Angeles County
Juan,Lopez,info@lossteakhouse.com,(626) 696-9710,Los Steakhouse,1667 Elm St,Pasadena,Los Angeles County,CA,91977,Steakhouse,https://www.lossteakhouse.com,CA_Restaurant_Scraper,C,"Restaurant, Steakhouse, POS_Prospect, Pasadena",Auto-generated lead for PSDepot outreach. Type: Steakhouse,2026-04-28,https://www.yelp.com/biz/los-steakhouse-pasadena,"https://maps.google.com/?q=1667+Elm+St,Pasadena,CA",,,$500K-$1M,51-100,Low,Los Angeles County
Luis,Ramirez,,(626) 931-5705,La DeBar & Grill,2977 Ocean Ave,Pasadena,Los Angeles County,CA,96491,Bar & Grill,,CA_Restaurant_Scraper,B,"Restaurant, Bar & Grill, POS_Prospect, Pasadena",Auto-generated lead for PSDepot outreach. Type: Bar & Grill,2026-04-28,https://www.yelp.com/biz/la-debar-&-grill-pasadena,"https://maps.google.com/?q=2977+Ocean+Ave,Pasadena,CA",4.8,174,$5M+,51-100,High,Los Angeles County
Luis,Gonzalez,,(626) 711-8177,Martinez's Grill,8034 Washington Blvd,Pasadena,Los Angeles County,CA,91169,Grill,,CA_Restaurant_Scraper,C,"Restaurant, Grill, POS_Prospect, Pasadena",Auto-generated lead for PSDepot outreach. Type: Grill,2026-04-28,https://www.yelp.com/biz/martinezs-grill-pasadena,"https://maps.google.com/?q=8034+Washington+Blvd,Pasadena,CA",4.7,499,$1M-$2.5M,51-100,Medium,Los Angeles County
Margaret,Lopez,info@bigcoffee.com,(626) 735-7031,Big Coffee,569 Market St,Pasadena,Los Angeles County,CA,92944,Coffee,,CA_Restaurant_Scraper,B,"Restaurant, Coffee, POS_Prospect, Pasadena",Auto-generated lead for PSDepot outreach. Type: Coffee,2026-04-28,https://www.yelp.com/biz/big-coffee-pasadena,"https://maps.google.com/?q=569+Market+St,Pasadena,CA",4.6,29,$5M+,26-50,High,Los Angeles County
Paul,Martinez,,(626) 939-1314,Rodriguez's Bar & Grill,7164 First St,Pasadena,Los Angeles County,CA,92869,Bar & Grill,,CA_Restaurant_Scraper,A,"Restaurant, Bar & Grill, POS_Prospect, Pasadena",Auto-generated lead for PSDepot outreach. Type: Bar & Grill,2026-04-28,,"https://maps.google.com/?q=7164+First+St,Pasadena,CA",3.6,16,Under $500K,51-100,Low,Los Angeles County
Jennifer,Brown,,(626) 952-3452,Torres's Grill,4807 Elm St,Pasadena,Los Angeles County,CA,91891,Grill,,CA_Restaurant_Scraper,C,"Restaurant, Grill, POS_Prospect, Pasadena",Auto-generated lead for PSDepot outreach. Type: Grill,2026-04-28,https://www.yelp.com/biz/torress-grill-pasadena,"https://maps.google.com/?q=4807+Elm+St,Pasadena,CA",4.8,298,$5M+,100+,High,Los Angeles County
Margaret,Williams,info@santadelcoffee.com,(626) 471-5786,Santa DelCoffee,7766 Ocean Ave,Pasadena,Los Angeles County,CA,95369,Coffee,,CA_Restaurant_Scraper,A,"Restaurant, Coffee, POS_Prospect, Pasadena",Auto-generated lead for PSDepot outreach. Type: Coffee,2026-04-28,https://www.yelp.com/biz/santa-delcoffee-pasadena,"https://maps.google.com/?q=7766+Ocean+Ave,Pasadena,CA",4.9,324,$1M-$2.5M,26-50,Medium,Los Angeles County
Jennifer,Brown,,(626) 546-6971,Spot DelTaqueria,4284 Washington Blvd,Pasadena,Los Angeles County,CA,95150,Taqueria,https://www.spotdeltaqueria.com,CA_Restaurant_Scraper,C,"Restaurant, Taqueria, POS_Prospect, Pasadena",Auto-generated lead for PSDepot outreach. Type: Taqueria,2026-04-28,https://www.yelp.com/biz/spot-deltaqueria-pasadena,"https://maps.google.com/?q=4284+Washington+Blvd,Pasadena,CA",4.4,156,Under $500K,1-10,Low,Los Angeles County
Pedro,Smith,info@bluedelkitchen.com,(626) 511-8487,Blue DelKitchen,5848 First St,Pasadena,Los Angeles County,CA,92414,Kitchen,,CA_Restaurant_Scraper,B,"Restaurant, Kitchen, POS_Prospect, Pasadena",Auto-generated lead for PSDepot outreach. Type: Kitchen,2026-04-28,https://www.yelp.com/biz/blue-delkitchen-pasadena,"https://maps.google.com/?q=5848+First+St,Pasadena,CA",4.2,455,Under $500K,51-100,Low,Los Angeles County
Patricia,Garcia,info@greendekitchen.com,(626) 726-6592,Green DeKitchen,2808 Sunset Blvd,Pasadena,Los Angeles County,CA,96904,Kitchen,,CA_Restaurant_Scraper,C,"Restaurant, Kitchen, POS_Prospect, Pasadena",Auto-generated lead for PSDepot outreach. Type: Kitchen,2026-04-28,https://www.yelp.com/biz/green-dekitchen-pasadena,"https://maps.google.com/?q=2808+Sunset+Blvd,Pasadena,CA",4.9,129,$2.5M-$5M,26-50,High,Los Angeles County
Elizabeth,Martinez,info@losdeburger.com,(626) 854-5198,Los DeBurger,2611 Market St,Pasadena,Los Angeles County,CA,95390,Burger,https://www.losdeburger.com,CA_Restaurant_Scraper,A,"Restaurant, Burger, POS_Prospect, Pasadena",Auto-generated lead for PSDepot outreach. Type: Burger,2026-04-28,https://www.yelp.com/biz/los-deburger-pasadena,"https://maps.google.com/?q=2611+Market+St,Pasadena,CA",4.8,401,$500K-$1M,11-25,Low,Los Angeles County
Paul,Gonzalez,,(626) 632-6949,Sanchez's Bistro,4865 Jefferson St,Pasadena,Los Angeles County,CA,90375,Bistro,,CA_Restaurant_Scraper,B,"Restaurant, Bistro, POS_Prospect, Pasadena",Auto-generated lead for PSDepot outreach. Type: Bistro,2026-04-28,,"https://maps.google.com/?q=4865+Jefferson+St,Pasadena,CA",4.4,241,$2.5M-$5M,100+,High,Los Angeles County
James,Garcia,info@goldendiner.com,(626) 343-7373,Golden Diner,3563 Oak St,Pasadena,Los Angeles County,CA,94550,Diner,,CA_Restaurant_Scraper,A,"Restaurant, Diner, POS_Prospect, Pasadena",Auto-generated lead for PSDepot outreach. Type: Diner,2026-04-28,https://www.yelp.com/biz/golden-diner-pasadena,"https://maps.google.com/?q=3563+Oak+St,Pasadena,CA",,,$2.5M-$5M,26-50,High,Los Angeles County
John,Lopez,info@millersgrill.com,(626) 873-6586,Miller's Grill,790 Market St,Pasadena,Los Angeles County,CA,90087,Grill,,CA_Restaurant_Scraper,C,"Restaurant, Grill, POS_Prospect, Pasadena",Auto-generated lead for PSDepot outreach. Type: Grill,2026-04-28,,"https://maps.google.com/?q=790+Market+St,Pasadena,CA",3.1,269,$500K-$1M,26-50,Low,Los Angeles County
Roberto,Davis,,(626) 452-6125,El Bar & Grill,8616 Wilshire Blvd,Pasadena,Los Angeles County,CA,91572,Bar & Grill,https://www.elbarandgrill.com,CA_Restaurant_Scraper,A,"Restaurant, Bar & Grill, POS_Prospect, Pasadena",Auto-generated lead for PSDepot outreach. Type: Bar & Grill,2026-04-28,https://www.yelp.com/biz/el-bar-&-grill-pasadena,"https://maps.google.com/?q=8616+Wilshire+Blvd,Pasadena,CA",,,$2.5M-$5M,1-10,High,Los Angeles County
Linda,Ramirez,info@kitchendelsteakhouse.com,(626) 610-2196,Kitchen DelSteakhouse,2488 Elm St,Pasadena,Los Angeles County,CA,96014,Kitchen,,CA_Restaurant_Scraper,B,"Restaurant, Kitchen, POS_Prospect, Pasadena",Auto-generated lead for PSDepot outreach. Type: Kitchen,2026-04-28,,"https://maps.google.com/?q=2488+Elm+St,Pasadena,CA",,,$500K-$1M,51-100,Low,Los Angeles County
Lisa,Torres,,(626) 991-2800,Pueblo DelGrill,1063 Pine St,Pasadena,Los Angeles County,CA,94532,Grill,,CA_Restaurant_Scraper,A,"Restaurant, Grill, POS_Prospect, Pasadena",Auto-generated lead for PSDepot outreach. Type: Grill,2026-04-28,https://www.yelp.com/biz/pueblo-delgrill-pasadena,"https://maps.google.com/?q=1063+Pine+St,Pasadena,CA",3.2,426,Under $500K,1-10,Low,Los Angeles County
