First Name,Last Name,Email,Phone,Company,Address,City,County,State,Zip,Business Type,Website,Source,Priority,Tags,Notes,Scrape Date,Yelp URL,Google Maps,Yelp Rating,Yelp Reviews,Est. Revenue,Employees,POS Urgency,Region
Patricia,Ramirez,info@theeatery.com,(916) 817-9784,The Eatery,6066 Mission St,Sacramento,Sacramento County,CA,91377,Eatery,,CA_Restaurant_Scraper,C,"Restaurant, Eatery, POS_Prospect, Sacramento",Auto-generated lead for PSDepot outreach. Type: Eatery,2026-04-28,https://www.yelp.com/biz/the-eatery-sacramento,"https://maps.google.com/?q=6066+Mission+St,Sacramento,CA",,,$5M+,26-50,High,Northern CA
Jessica,Jones,info@greendebbq.com,(530) 313-3196,Green DeBBQ,9216 Second St,Sacramento,Sacramento County,CA,94957,BBQ,,CA_Restaurant_Scraper,C,"Restaurant, BBQ, POS_Prospect, Sacramento",Auto-generated lead for PSDepot outreach. Type: BBQ,2026-04-28,,"https://maps.google.com/?q=9216+Second+St,Sacramento,CA",4.7,373,$2.5M-$5M,26-50,High,Northern CA
Carlos,Flores,,(916) 881-7668,Spot DelGrill,934 Jefferson St,Sacramento,Sacramento County,CA,93712,Grill,,CA_Restaurant_Scraper,C,"Restaurant, Grill, POS_Prospect, Sacramento",Auto-generated lead for PSDepot outreach. Type: Grill,2026-04-28,,"https://maps.google.com/?q=934+Jefferson+St,Sacramento,CA",,,Under $500K,11-25,Low,Northern CA
Daniel,Perez,,(916) 629-5457,Perez's Bar & Grill,4429 Elm St,Sacramento,Sacramento County,CA,95967,Bar & Grill,https://www.perezsbarandgrill.com,CA_Restaurant_Scraper,A,"Restaurant, Bar & Grill, POS_Prospect, Sacramento",Auto-generated lead for PSDepot outreach. Type: Bar & Grill,2026-04-28,https://www.yelp.com/biz/perezs-bar-&-grill-sacramento,"https://maps.google.com/?q=4429+Elm+St,Sacramento,CA",3.4,413,$2.5M-$5M,51-100,High,Northern CA
Mary,Gomez,,(530) 499-9664,Red Taqueria,4396 Second St,Sacramento,Sacramento County,CA,96405,Taqueria,,CA_Restaurant_Scraper,C,"Restaurant, Taqueria, POS_Prospect, Sacramento",Auto-generated lead for PSDepot outreach. Type: Taqueria,2026-04-28,https://www.yelp.com/biz/red-taqueria-sacramento,"https://maps.google.com/?q=4396+Second+St,Sacramento,CA",4.8,81,Under $500K,26-50,Low,Northern CA
Pedro,Rodriguez,info@bluedediner.com,(530) 488-1601,Blue DeDiner,2227 Cedar Ave,Sacramento,Sacramento County,CA,90940,Diner,https://www.bluedediner.com,CA_Restaurant_Scraper,A,"Restaurant, Diner, POS_Prospect, Sacramento",Auto-generated lead for PSDepot outreach. Type: Diner,2026-04-28,https://www.yelp.com/biz/blue-dediner-sacramento,"https://maps.google.com/?q=2227+Cedar+Ave,Sacramento,CA",4.1,139,Under $500K,100+,Low,Northern CA
James,Garcia,,(530) 489-7672,Cafe Kitchen,7570 Elm St,Sacramento,Sacramento County,CA,96438,Cafe,,CA_Restaurant_Scraper,B,"Restaurant, Cafe, POS_Prospect, Sacramento",Auto-generated lead for PSDepot outreach. Type: Cafe,2026-04-28,,"https://maps.google.com/?q=7570+Elm+St,Sacramento,CA",,,$500K-$1M,26-50,Low,Northern CA
Robert,Hernandez,info@rodriguezstacos.com,(530) 410-4905,Rodriguez's Tacos,6018 First St,Sacramento,Sacramento County,CA,94444,Tacos,,CA_Restaurant_Scraper,A,"Restaurant, Tacos, POS_Prospect, Sacramento",Auto-generated lead for PSDepot outreach. Type: Tacos,2026-04-28,,"https://maps.google.com/?q=6018+First+St,Sacramento,CA",4.7,7,$5M+,11-25,High,Northern CA
Juan,Smith,info@sancoffee.com,(530) 955-6958,San Coffee,6997 Maple Ave,Sacramento,Sacramento County,CA,95650,Coffee,,CA_Restaurant_Scraper,A,"Restaurant, Coffee, POS_Prospect, Sacramento",Auto-generated lead for PSDepot outreach. Type: Coffee,2026-04-28,https://www.yelp.com/biz/san-coffee-sacramento,"https://maps.google.com/?q=6997+Maple+Ave,Sacramento,CA",4.0,213,$2.5M-$5M,11-25,High,Northern CA
Paul,Williams,,(530) 691-3889,Little DelPizza,119 Elm St,Sacramento,Sacramento County,CA,91226,Pizza,,CA_Restaurant_Scraper,C,"Restaurant, Pizza, POS_Prospect, Sacramento",Auto-generated lead for PSDepot outreach. Type: Pizza,2026-04-28,,"https://maps.google.com/?q=119+Elm+St,Sacramento,CA",4.3,358,Under $500K,100+,Low,Northern CA
John,Johnson,info@perezskitchen.com,(916) 387-2479,Perez's Kitchen,2901 Third St,Sacramento,Sacramento County,CA,93033,Kitchen,,CA_Restaurant_Scraper,A,"Restaurant, Kitchen, POS_Prospect, Sacramento",Auto-generated lead for PSDepot outreach. Type: Kitchen,2026-04-28,,"https://maps.google.com/?q=2901+Third+St,Sacramento,CA",,,$500K-$1M,26-50,Low,Northern CA
Patricia,Rodriguez,,(916) 581-7203,Pueblo Pizza,6724 Jefferson St,Sacramento,Sacramento County,CA,91914,Pizza,,CA_Restaurant_Scraper,A,"Restaurant, Pizza, POS_Prospect, Sacramento",Auto-generated lead for PSDepot outreach. Type: Pizza,2026-04-28,,"https://maps.google.com/?q=6724+Jefferson+St,Sacramento,CA",4.4,226,Under $500K,100+,Low,Northern CA
Michael,Ramirez,,(530) 271-3893,Las DelPizza,1064 Market St,Sacramento,Sacramento County,CA,93385,Pizza,https://www.lasdelpizza.com,CA_Restaurant_Scraper,B,"Restaurant, Pizza, POS_Prospect, Sacramento",Auto-generated lead for PSDepot outreach. Type: Pizza,2026-04-28,,"https://maps.google.com/?q=1064+Market+St,Sacramento,CA",4.7,128,Under $500K,100+,Low,Northern CA
Barbara,Martinez,,(916) 928-3746,Spot DelBakery,1547 Hollywood Blvd,Sacramento,Sacramento County,CA,91576,Bakery,,CA_Restaurant_Scraper,C,"Restaurant, Bakery, POS_Prospect, Sacramento",Auto-generated lead for PSDepot outreach. Type: Bakery,2026-04-28,https://www.yelp.com/biz/spot-delbakery-sacramento,"https://maps.google.com/?q=1547+Hollywood+Blvd,Sacramento,CA",3.2,84,Under $500K,11-25,Low,Northern CA
Luis,Davis,,(916) 955-6506,Spot DeKitchen,735 Elm St,Sacramento,Sacramento County,CA,91339,Kitchen,,CA_Restaurant_Scraper,C,"Restaurant, Kitchen, POS_Prospect, Sacramento",Auto-generated lead for PSDepot outreach. Type: Kitchen,2026-04-28,https://www.yelp.com/biz/spot-dekitchen-sacramento,"https://maps.google.com/?q=735+Elm+St,Sacramento,CA",,,$1M-$2.5M,100+,Medium,Northern CA
