First Name,Last Name,Email,Phone,Company,Address,City,County,State,Zip,Business Type,Website,Source,Priority,Tags,Notes,Scrape Date,Yelp URL,Google Maps,Yelp Rating,Yelp Reviews,Est. Revenue,Employees,POS Urgency,Region
Barbara,Jones,,(858) 983-2728,La DelEatery,3575 Pine St,San Diego,San Diego County,CA,96359,Eatery,,CA_Restaurant_Scraper,C,"Restaurant, Eatery, POS_Prospect, San Diego",Auto-generated lead for PSDepot outreach. Type: Eatery,2026-04-28,https://www.yelp.com/biz/la-deleatery-san-diego,"https://maps.google.com/?q=3575+Pine+St,San+Diego,CA",4.3,315,$5M+,100+,High,San Diego County
Matthew,Rodriguez,,(619) 925-3227,Ramirez's Burritos,8288 Market St,San Diego,San Diego County,CA,95420,Burritos,https://www.ramirezsburritos.com,CA_Restaurant_Scraper,B,"Restaurant, Burritos, POS_Prospect, San Diego",Auto-generated lead for PSDepot outreach. Type: Burritos,2026-04-28,https://www.yelp.com/biz/ramirezs-burritos-san-diego,"https://maps.google.com/?q=8288+Market+St,San+Diego,CA",4.8,65,$5M+,26-50,High,San Diego County
John,Flores,,(619) 777-4977,Lopez's Diner,9088 Market St,San Diego,San Diego County,CA,90036,Diner,,CA_Restaurant_Scraper,C,"Restaurant, Diner, POS_Prospect, San Diego",Auto-generated lead for PSDepot outreach. Type: Diner,2026-04-28,,"https://maps.google.com/?q=9088+Market+St,San+Diego,CA",4.3,65,$2.5M-$5M,1-10,High,San Diego County
Betty,Smith,,(858) 399-4234,Silver DeCafe,2943 Hollywood Blvd,San Diego,San Diego County,CA,92723,Cafe,https://www.silverdecafe.com,CA_Restaurant_Scraper,B,"Restaurant, Cafe, POS_Prospect, San Diego",Auto-generated lead for PSDepot outreach. Type: Cafe,2026-04-28,https://www.yelp.com/biz/silver-decafe-san-diego,"https://maps.google.com/?q=2943+Hollywood+Blvd,San+Diego,CA",4.9,106,$5M+,100+,High,San Diego County
Jennifer,Sanchez,,(619) 403-1090,Kitchen DePizza,1435 Main St,San Diego,San Diego County,CA,90838,Kitchen,https://www.kitchendepizza.com,CA_Restaurant_Scraper,C,"Restaurant, Kitchen, POS_Prospect, San Diego",Auto-generated lead for PSDepot outreach. Type: Kitchen,2026-04-28,https://www.yelp.com/biz/kitchen-depizza-san-diego,"https://maps.google.com/?q=1435+Main+St,San+Diego,CA",4.4,50,$2.5M-$5M,100+,High,San Diego County
Luis,Garcia,info@goldendelcoffee.com,(858) 860-9039,Golden DelCoffee,8705 Mission St,San Diego,San Diego County,CA,92848,Coffee,https://www.goldendelcoffee.com,CA_Restaurant_Scraper,A,"Restaurant, Coffee, POS_Prospect, San Diego",Auto-generated lead for PSDepot outreach. Type: Coffee,2026-04-28,https://www.yelp.com/biz/golden-delcoffee-san-diego,"https://maps.google.com/?q=8705+Mission+St,San+Diego,CA",3.6,11,$5M+,100+,High,San Diego County
Sarah,Flores,,(619) 212-1048,Blue DelBar & Grill,8393 Wilshire Blvd,San Diego,San Diego County,CA,90343,Bar & Grill,https://www.bluedelbarandgrill.com,CA_Restaurant_Scraper,B,"Restaurant, Bar & Grill, POS_Prospect, San Diego",Auto-generated lead for PSDepot outreach. Type: Bar & Grill,2026-04-28,https://www.yelp.com/biz/blue-delbar-&-grill-san-diego,"https://maps.google.com/?q=8393+Wilshire+Blvd,San+Diego,CA",3.1,494,$5M+,11-25,High,San Diego County
Luis,Torres,,(619) 535-9186,Grill DelTaqueria,3883 Elm St,San Diego,San Diego County,CA,90779,Taqueria,https://www.grilldeltaqueria.com,CA_Restaurant_Scraper,B,"Restaurant, Taqueria, POS_Prospect, San Diego",Auto-generated lead for PSDepot outreach. Type: Taqueria,2026-04-28,https://www.yelp.com/biz/grill-deltaqueria-san-diego,"https://maps.google.com/?q=3883+Elm+St,San+Diego,CA",3.8,325,$500K-$1M,26-50,Low,San Diego County
Juan,Garcia,info@williamssbakery.com,(858) 482-4680,Williams's Bakery,9414 Cedar Ave,San Diego,San Diego County,CA,95806,Bakery,,CA_Restaurant_Scraper,A,"Restaurant, Bakery, POS_Prospect, San Diego",Auto-generated lead for PSDepot outreach. Type: Bakery,2026-04-28,https://www.yelp.com/biz/williamss-bakery-san-diego,"https://maps.google.com/?q=9414+Cedar+Ave,San+Diego,CA",4.3,59,$500K-$1M,51-100,Low,San Diego County
Nancy,Brown,info@sanchezsbakery.com,(858) 989-8849,Sanchez's Bakery,3043 Broadway,San Diego,San Diego County,CA,92725,Bakery,https://www.sanchezsbakery.com,CA_Restaurant_Scraper,C,"Restaurant, Bakery, POS_Prospect, San Diego",Auto-generated lead for PSDepot outreach. Type: Bakery,2026-04-28,https://www.yelp.com/biz/sanchezs-bakery-san-diego,"https://maps.google.com/?q=3043+Broadway,San+Diego,CA",4.0,226,Under $500K,1-10,Low,San Diego County
