First Name,Last Name,Email,Phone,Company,Address,City,County,State,Zip,Business Type,Website,Source,Priority,Tags,Notes,Scrape Date,Yelp URL,Google Maps,Yelp Rating,Yelp Reviews,Est. Revenue,Employees,POS Urgency,Region
Daniel,Hernandez,,(408) 635-4367,Big DeRestaurant,171 Wilshire Blvd,San Jose,Santa Clara County,CA,95367,Restaurant,,CA_Restaurant_Scraper,A,"Restaurant, Restaurant, POS_Prospect, San Jose",Auto-generated lead for PSDepot outreach. Type: Restaurant,2026-04-28,https://www.yelp.com/biz/big-derestaurant-san-jose,"https://maps.google.com/?q=171+Wilshire+Blvd,San+Jose,CA",4.4,230,$5M+,100+,High,Northern CA
Michael,Williams,info@santadeseafood.com,(408) 212-1004,Santa DeSeafood,9450 Third St,San Jose,Santa Clara County,CA,95497,Seafood,,CA_Restaurant_Scraper,A,"Restaurant, Seafood, POS_Prospect, San Jose",Auto-generated lead for PSDepot outreach. Type: Seafood,2026-04-28,https://www.yelp.com/biz/santa-deseafood-san-jose,"https://maps.google.com/?q=9450+Third+St,San+Jose,CA",,,Under $500K,100+,Low,Northern CA
Jennifer,Rodriguez,info@bigdelburger.com,(669) 613-9729,Big DelBurger,9865 Hollywood Blvd,San Jose,Santa Clara County,CA,90006,Burger,,CA_Restaurant_Scraper,A,"Restaurant, Burger, POS_Prospect, San Jose",Auto-generated lead for PSDepot outreach. Type: Burger,2026-04-28,,"https://maps.google.com/?q=9865+Hollywood+Blvd,San+Jose,CA",3.0,146,Under $500K,11-25,Low,Northern CA
Christopher,Jones,,(408) 814-8282,Red Coffee,4481 Washington Blvd,San Jose,Santa Clara County,CA,93593,Coffee,,CA_Restaurant_Scraper,A,"Restaurant, Coffee, POS_Prospect, San Jose",Auto-generated lead for PSDepot outreach. Type: Coffee,2026-04-28,https://www.yelp.com/biz/red-coffee-san-jose,"https://maps.google.com/?q=4481+Washington+Blvd,San+Jose,CA",3.8,440,$5M+,100+,High,Northern CA
Christopher,Johnson,info@bigdebargrill.com,(669) 839-2196,Big DeBar & Grill,5124 Washington Blvd,San Jose,Santa Clara County,CA,92961,Bar & Grill,,CA_Restaurant_Scraper,C,"Restaurant, Bar & Grill, POS_Prospect, San Jose",Auto-generated lead for PSDepot outreach. Type: Bar & Grill,2026-04-28,,"https://maps.google.com/?q=5124+Washington+Blvd,San+Jose,CA",4.4,175,$500K-$1M,1-10,Low,Northern CA
Juan,Gomez,,(408) 587-2053,Gomez's Cafe,4556 Market St,San Jose,Santa Clara County,CA,92561,Cafe,,CA_Restaurant_Scraper,A,"Restaurant, Cafe, POS_Prospect, San Jose",Auto-generated lead for PSDepot outreach. Type: Cafe,2026-04-28,,"https://maps.google.com/?q=4556+Market+St,San+Jose,CA",3.7,490,$2.5M-$5M,51-100,High,Northern CA
Lisa,Garcia,,(669) 893-3571,Cafe Coffee,9969 Pico Blvd,San Jose,Santa Clara County,CA,95615,Cafe,,CA_Restaurant_Scraper,C,"Restaurant, Cafe, POS_Prospect, San Jose",Auto-generated lead for PSDepot outreach. Type: Cafe,2026-04-28,https://www.yelp.com/biz/cafe-coffee-san-jose,"https://maps.google.com/?q=9969+Pico+Blvd,San+Jose,CA",5.0,499,Under $500K,1-10,Low,Northern CA
Nancy,Martinez,info@bistroeatery.com,(669) 485-3602,Bistro Eatery,3982 Second St,San Jose,Santa Clara County,CA,96154,Bistro,,CA_Restaurant_Scraper,B,"Restaurant, Bistro, POS_Prospect, San Jose",Auto-generated lead for PSDepot outreach. Type: Bistro,2026-04-28,,"https://maps.google.com/?q=3982+Second+St,San+Jose,CA",3.4,355,$5M+,11-25,High,Northern CA
Jessica,Garcia,info@millerstacos.com,(669) 746-9926,Miller's Tacos,9959 Oak St,San Jose,Santa Clara County,CA,91080,Tacos,,CA_Restaurant_Scraper,C,"Restaurant, Tacos, POS_Prospect, San Jose",Auto-generated lead for PSDepot outreach. Type: Tacos,2026-04-28,https://www.yelp.com/biz/millers-tacos-san-jose,"https://maps.google.com/?q=9959+Oak+St,San+Jose,CA",3.4,412,Under $500K,51-100,Low,Northern CA
Lisa,Torres,,(408) 659-8133,Martinez's Bakery,1688 Third St,San Jose,Santa Clara County,CA,96069,Bakery,,CA_Restaurant_Scraper,A,"Restaurant, Bakery, POS_Prospect, San Jose",Auto-generated lead for PSDepot outreach. Type: Bakery,2026-04-28,,"https://maps.google.com/?q=1688+Third+St,San+Jose,CA",3.7,464,$5M+,100+,High,Northern CA
