First Name,Last Name,Email,Phone,Company,Address,City,County,State,Zip,Business Type,Website,Source,Priority,Tags,Notes,Scrape Date,Yelp URL,Google Maps,Yelp Rating,Yelp Reviews,Est. Revenue,Employees,POS Urgency,Region
Karen,Rodriguez,info@thedelbbq.com,(209) 831-9183,The DelBBQ,4697 Jefferson St,Stockton,San Joaquin County,CA,95221,BBQ,,CA_Restaurant_Scraper,A,"Restaurant, BBQ, POS_Prospect, Stockton",Auto-generated lead for PSDepot outreach. Type: BBQ,2026-04-28,https://www.yelp.com/biz/the-delbbq-stockton,"https://maps.google.com/?q=4697+Jefferson+St,Stockton,CA",,,Under $500K,26-50,Low,Northern CA
Carlos,Gonzalez,,(209) 662-4878,Spot Bakery,7876 Mission St,Stockton,San Joaquin County,CA,90763,Bakery,,CA_Restaurant_Scraper,C,"Restaurant, Bakery, POS_Prospect, Stockton",Auto-generated lead for PSDepot outreach. Type: Bakery,2026-04-28,https://www.yelp.com/biz/spot-bakery-stockton,"https://maps.google.com/?q=7876+Mission+St,Stockton,CA",3.8,97,$5M+,51-100,High,Northern CA
Ana,Williams,info@cornerdiner.com,(209) 901-9647,Corner Diner,7335 Wilshire Blvd,Stockton,San Joaquin County,CA,93480,Diner,https://www.cornerdiner.com,CA_Restaurant_Scraper,B,"Restaurant, Diner, POS_Prospect, Stockton",Auto-generated lead for PSDepot outreach. Type: Diner,2026-04-28,https://www.yelp.com/biz/corner-diner-stockton,"https://maps.google.com/?q=7335+Wilshire+Blvd,Stockton,CA",3.7,491,$1M-$2.5M,11-25,Medium,Northern CA
Karen,Gonzalez,info@santadecafe.com,(209) 636-3270,Santa DeCafe,9873 Market St,Stockton,San Joaquin County,CA,95205,Cafe,,CA_Restaurant_Scraper,C,"Restaurant, Cafe, POS_Prospect, Stockton",Auto-generated lead for PSDepot outreach. Type: Cafe,2026-04-28,https://www.yelp.com/biz/santa-decafe-stockton,"https://maps.google.com/?q=9873+Market+St,Stockton,CA",3.3,168,Under $500K,51-100,Low,Northern CA
Roberto,Brown,info@rodriguezsburger.com,(209) 451-2173,Rodriguez's Burger,8031 Jefferson St,Stockton,San Joaquin County,CA,91304,Burger,,CA_Restaurant_Scraper,C,"Restaurant, Burger, POS_Prospect, Stockton",Auto-generated lead for PSDepot outreach. Type: Burger,2026-04-28,https://www.yelp.com/biz/rodriguezs-burger-stockton,"https://maps.google.com/?q=8031+Jefferson+St,Stockton,CA",3.9,494,$1M-$2.5M,100+,Medium,Northern CA
James,Johnson,,(209) 883-7993,Blue Burritos,5432 Maple Ave,Stockton,San Joaquin County,CA,95485,Burritos,https://www.blueburritos.com,CA_Restaurant_Scraper,A,"Restaurant, Burritos, POS_Prospect, Stockton",Auto-generated lead for PSDepot outreach. Type: Burritos,2026-04-28,,"https://maps.google.com/?q=5432+Maple+Ave,Stockton,CA",4.7,204,$5M+,51-100,High,Northern CA
Robert,Hernandez,info@bluedediner.com,(209) 320-8530,Blue DeDiner,9493 Pico Blvd,Stockton,San Joaquin County,CA,96038,Diner,,CA_Restaurant_Scraper,A,"Restaurant, Diner, POS_Prospect, Stockton",Auto-generated lead for PSDepot outreach. Type: Diner,2026-04-28,https://www.yelp.com/biz/blue-dediner-stockton,"https://maps.google.com/?q=9493+Pico+Blvd,Stockton,CA",,,$5M+,51-100,High,Northern CA
Lisa,Sanchez,,(209) 634-4831,Los Burger,3432 Hollywood Blvd,Stockton,San Joaquin County,CA,93410,Burger,,CA_Restaurant_Scraper,A,"Restaurant, Burger, POS_Prospect, Stockton",Auto-generated lead for PSDepot outreach. Type: Burger,2026-04-28,https://www.yelp.com/biz/los-burger-stockton,"https://maps.google.com/?q=3432+Hollywood+Blvd,Stockton,CA",,,$5M+,51-100,High,Northern CA
Linda,Hernandez,info@hernandezsrestaurant.com,(209) 347-2063,Hernandez's Restaurant,4965 Second St,Stockton,San Joaquin County,CA,91900,Restaurant,,CA_Restaurant_Scraper,A,"Restaurant, Restaurant, POS_Prospect, Stockton",Auto-generated lead for PSDepot outreach. Type: Restaurant,2026-04-28,,"https://maps.google.com/?q=4965+Second+St,Stockton,CA",3.3,190,$500K-$1M,51-100,Low,Northern CA
Barbara,Torres,info@thedelsushi.com,(209) 471-7308,The DelSushi,2985 First St,Stockton,San Joaquin County,CA,96712,Sushi,,CA_Restaurant_Scraper,B,"Restaurant, Sushi, POS_Prospect, Stockton",Auto-generated lead for PSDepot outreach. Type: Sushi,2026-04-28,https://www.yelp.com/biz/the-delsushi-stockton,"https://maps.google.com/?q=2985+First+St,Stockton,CA",,,Under $500K,1-10,Low,Northern CA
