First Name,Last Name,Email,Phone,Company,Address,City,County,State,Zip,Business Type,Website,Source,Priority,Tags,Notes,Scrape Date,Yelp URL,Google Maps,Yelp Rating,Yelp Reviews,Est. Revenue,Employees,POS Urgency,Region
Mark,Garcia,info@bigdeltacos.com,(805) 397-5814,Big DelTacos,4042 Market St,Santa Barbara,Santa Barbara County,CA,91094,Tacos,,CA_Restaurant_Scraper,B,"Restaurant, Tacos, POS_Prospect, Santa Barbara",Auto-generated lead for PSDepot outreach. Type: Tacos,2026-04-28,https://www.yelp.com/biz/big-deltacos-santa-barbara,"https://maps.google.com/?q=4042+Market+St,Santa+Barbara,CA",4.0,23,$2.5M-$5M,51-100,High,Central Coast
Richard,Williams,info@littledelbargrill.com,(805) 376-6304,Little DelBar & Grill,3462 Mission St,Santa Barbara,Santa Barbara County,CA,92663,Bar & Grill,https://www.littledelbarandgrill.com,CA_Restaurant_Scraper,A,"Restaurant, Bar & Grill, POS_Prospect, Santa Barbara",Auto-generated lead for PSDepot outreach. Type: Bar & Grill,2026-04-28,https://www.yelp.com/biz/little-delbar-&-grill-santa-barbara,"https://maps.google.com/?q=3462+Mission+St,Santa+Barbara,CA",4.9,135,$5M+,100+,High,Central Coast
Anthony,Davis,,(805) 708-8917,Bistro DelRestaurant,4350 Market St,Santa Barbara,Santa Barbara County,CA,96950,Restaurant,https://www.bistrodelrestaurant.com,CA_Restaurant_Scraper,C,"Restaurant, Restaurant, POS_Prospect, Santa Barbara",Auto-generated lead for PSDepot outreach. Type: Restaurant,2026-04-28,,"https://maps.google.com/?q=4350+Market+St,Santa+Barbara,CA",4.9,201,Under $500K,11-25,Low,Central Coast
William,Garcia,,(805) 322-7275,Santa Cafe,4548 Cedar Ave,Santa Barbara,Santa Barbara County,CA,93710,Cafe,,CA_Restaurant_Scraper,B,"Restaurant, Cafe, POS_Prospect, Santa Barbara",Auto-generated lead for PSDepot outreach. Type: Cafe,2026-04-28,,"https://maps.google.com/?q=4548+Cedar+Ave,Santa+Barbara,CA",3.5,229,$5M+,100+,High,Central Coast
Elizabeth,Flores,info@gomezspizza.com,(805) 497-2763,Gomez's Pizza,5415 Jefferson St,Santa Barbara,Santa Barbara County,CA,92313,Pizza,,CA_Restaurant_Scraper,A,"Restaurant, Pizza, POS_Prospect, Santa Barbara",Auto-generated lead for PSDepot outreach. Type: Pizza,2026-04-28,https://www.yelp.com/biz/gomezs-pizza-santa-barbara,"https://maps.google.com/?q=5415+Jefferson+St,Santa+Barbara,CA",3.1,147,$2.5M-$5M,100+,High,Central Coast
Anthony,Martinez,info@housedekitchen.com,(805) 423-8595,House DeKitchen,6885 Oak St,Santa Barbara,Santa Barbara County,CA,90836,Kitchen,https://www.housedekitchen.com,CA_Restaurant_Scraper,C,"Restaurant, Kitchen, POS_Prospect, Santa Barbara",Auto-generated lead for PSDepot outreach. Type: Kitchen,2026-04-28,https://www.yelp.com/biz/house-dekitchen-santa-barbara,"https://maps.google.com/?q=6885+Oak+St,Santa+Barbara,CA",,,$1M-$2.5M,100+,Medium,Central Coast
Richard,Ramirez,info@redsushi.com,(805) 268-7866,Red Sushi,5868 Elm St,Santa Barbara,Santa Barbara County,CA,96868,Sushi,,CA_Restaurant_Scraper,C,"Restaurant, Sushi, POS_Prospect, Santa Barbara",Auto-generated lead for PSDepot outreach. Type: Sushi,2026-04-28,https://www.yelp.com/biz/red-sushi-santa-barbara,"https://maps.google.com/?q=5868+Elm+St,Santa+Barbara,CA",3.7,307,$500K-$1M,11-25,Low,Central Coast
David,Brown,,(805) 773-9071,Gomez's Burritos,1594 Broadway,Santa Barbara,Santa Barbara County,CA,96923,Burritos,,CA_Restaurant_Scraper,C,"Restaurant, Burritos, POS_Prospect, Santa Barbara",Auto-generated lead for PSDepot outreach. Type: Burritos,2026-04-28,https://www.yelp.com/biz/gomezs-burritos-santa-barbara,"https://maps.google.com/?q=1594+Broadway,Santa+Barbara,CA",4.8,193,Under $500K,51-100,Low,Central Coast
Roberto,Sanchez,,(805) 606-8167,La DePizza,4643 Pico Blvd,Santa Barbara,Santa Barbara County,CA,95029,Pizza,,CA_Restaurant_Scraper,A,"Restaurant, Pizza, POS_Prospect, Santa Barbara",Auto-generated lead for PSDepot outreach. Type: Pizza,2026-04-28,https://www.yelp.com/biz/la-depizza-santa-barbara,"https://maps.google.com/?q=4643+Pico+Blvd,Santa+Barbara,CA",4.7,140,$500K-$1M,11-25,Low,Central Coast
Ana,Jones,,(805) 272-3621,Rodriguez's Tacos,1724 Ocean Ave,Santa Barbara,Santa Barbara County,CA,95313,Tacos,https://www.rodriguezstacos.com,CA_Restaurant_Scraper,A,"Restaurant, Tacos, POS_Prospect, Santa Barbara",Auto-generated lead for PSDepot outreach. Type: Tacos,2026-04-28,https://www.yelp.com/biz/rodriguezs-tacos-santa-barbara,"https://maps.google.com/?q=1724+Ocean+Ave,Santa+Barbara,CA",,,$1M-$2.5M,100+,Medium,Central Coast
