First Name,Last Name,Email,Phone,Company,Address,City,County,State,Zip,Business Type,Website,Source,Priority,Tags,Notes,Scrape Date,Yelp URL,Google Maps,Yelp Rating,Yelp Reviews,Est. Revenue,Employees,POS Urgency,Region
Matthew,Martinez,info@hernandezsbistro.com,(818) 673-3752,Hernandez's Bistro,7469 Market St,Los Angeles,Los Angeles County,CA,93779,Bistro,,CA_Restaurant_Scraper,C,"Restaurant, Bistro, POS_Prospect, Los Angeles",Auto-generated lead for PSDepot outreach. Type: Bistro,2026-04-28,,"https://maps.google.com/?q=7469+Market+St,Los+Angeles,CA",3.2,395,Under $500K,11-25,Low,Los Angeles County
Barbara,Martinez,,(626) 313-1556,Cafe Pizza,3415 Oak St,Los Angeles,Los Angeles County,CA,94770,Cafe,,CA_Restaurant_Scraper,B,"Restaurant, Cafe, POS_Prospect, Los Angeles",Auto-generated lead for PSDepot outreach. Type: Cafe,2026-04-28,,"https://maps.google.com/?q=3415+Oak+St,Los+Angeles,CA",4.4,141,$2.5M-$5M,26-50,High,Los Angeles County
John,Rodriguez,,(424) 973-4996,Las DeBurger,9706 Jefferson St,Los Angeles,Los Angeles County,CA,96597,Burger,,CA_Restaurant_Scraper,B,"Restaurant, Burger, POS_Prospect, Los Angeles",Auto-generated lead for PSDepot outreach. Type: Burger,2026-04-28,,"https://maps.google.com/?q=9706+Jefferson+St,Los+Angeles,CA",3.3,330,$500K-$1M,51-100,Low,Los Angeles County
Luis,Hernandez,info@kitchengrill.com,(310) 578-3715,Kitchen Grill,9960 Market St,Los Angeles,Los Angeles County,CA,93263,Kitchen,https://www.kitchengrill.com,CA_Restaurant_Scraper,A,"Restaurant, Kitchen, POS_Prospect, Los Angeles",Auto-generated lead for PSDepot outreach. Type: Kitchen,2026-04-28,https://www.yelp.com/biz/kitchen-grill-los-angeles,"https://maps.google.com/?q=9960+Market+St,Los+Angeles,CA",4.2,489,$2.5M-$5M,11-25,High,Los Angeles County
Ana,Lopez,info@sandelcafe.com,(626) 899-7908,San DelCafe,7816 Sunset Blvd,Los Angeles,Los Angeles County,CA,95580,Cafe,https://www.sandelcafe.com,CA_Restaurant_Scraper,C,"Restaurant, Cafe, POS_Prospect, Los Angeles",Auto-generated lead for PSDepot outreach. Type: Cafe,2026-04-28,,"https://maps.google.com/?q=7816+Sunset+Blvd,Los+Angeles,CA",4.1,194,$1M-$2.5M,1-10,Medium,Los Angeles County
Elizabeth,Gonzalez,,(818) 544-7851,Big DeBar & Grill,6579 Cedar Ave,Los Angeles,Los Angeles County,CA,95905,Bar & Grill,,CA_Restaurant_Scraper,A,"Restaurant, Bar & Grill, POS_Prospect, Los Angeles",Auto-generated lead for PSDepot outreach. Type: Bar & Grill,2026-04-28,https://www.yelp.com/biz/big-debar-&-grill-los-angeles,"https://maps.google.com/?q=6579+Cedar+Ave,Los+Angeles,CA",4.8,363,$500K-$1M,100+,Low,Los Angeles County
David,Smith,,(818) 968-7038,Martinez's Kitchen,5489 Maple Ave,Los Angeles,Los Angeles County,CA,91807,Kitchen,,CA_Restaurant_Scraper,C,"Restaurant, Kitchen, POS_Prospect, Los Angeles",Auto-generated lead for PSDepot outreach. Type: Kitchen,2026-04-28,https://www.yelp.com/biz/martinezs-kitchen-los-angeles,"https://maps.google.com/?q=5489+Maple+Ave,Los+Angeles,CA",3.0,465,Under $500K,51-100,Low,Los Angeles County
Susan,Hernandez,,(818) 536-1997,Big DelPizza,5942 Hollywood Blvd,Los Angeles,Los Angeles County,CA,95091,Pizza,,CA_Restaurant_Scraper,B,"Restaurant, Pizza, POS_Prospect, Los Angeles",Auto-generated lead for PSDepot outreach. Type: Pizza,2026-04-28,,"https://maps.google.com/?q=5942+Hollywood+Blvd,Los+Angeles,CA",3.7,27,$500K-$1M,11-25,Low,Los Angeles County
Elizabeth,Sanchez,,(323) 988-3338,Green Coffee,6011 Broadway,Los Angeles,Los Angeles County,CA,96938,Coffee,,CA_Restaurant_Scraper,C,"Restaurant, Coffee, POS_Prospect, Los Angeles",Auto-generated lead for PSDepot outreach. Type: Coffee,2026-04-28,https://www.yelp.com/biz/green-coffee-los-angeles,"https://maps.google.com/?q=6011+Broadway,Los+Angeles,CA",3.8,426,$1M-$2.5M,1-10,Medium,Los Angeles County
Karen,Hernandez,,(310) 333-9438,The Bar & Grill,5048 Jefferson St,Los Angeles,Los Angeles County,CA,95085,Bar & Grill,,CA_Restaurant_Scraper,C,"Restaurant, Bar & Grill, POS_Prospect, Los Angeles",Auto-generated lead for PSDepot outreach. Type: Bar & Grill,2026-04-28,,"https://maps.google.com/?q=5048+Jefferson+St,Los+Angeles,CA",3.5,441,$5M+,1-10,High,Los Angeles County
