full_name,first_name,last_name,email,phone,brokerage,metro_area,state,years_experience,transactions_12mo,sales_volume,license_number,license_state,rating,cream_fit_score,priority,source,scraped_at
Dorothy Gomez,Dorothy,Gomez,gomezdorothy@exp.com,(774) 737-1146,Movoto,Montgomery,AL,2,3,1254162,AL391707,AL,4.5,70,B,realtor_scraper,2026-07-24T02:00:19.818881+00:00
Virginia Green,Virginia,Green,virginia.green@outlook.com,(901) 362-6165,Exit Realty,Pomona,CA,1,6,1226976,CA767838,CA,4.5,71,B,realtor_scraper,2026-07-24T02:00:19.823880+00:00
Devin Morris,Devin,Morris,devin.morris@kw.com,(575) 677-5949,Lyon Real Estate,Milwaukee,WI,15,27,9880164,WI620406,WI,3.7,100,A,realtor_scraper,2026-07-24T02:00:19.766945+00:00
Richard Freeman,Richard,Freeman,richardfreeman@sothebysrealty.com,(813) 804-7919,Realty Executives,Boise,ID,7,30,9548130,ID627147,ID,3.6,92,B,realtor_scraper,2026-07-24T02:00:19.814938+00:00
Shirley Grant,Shirley,Grant,shirley.grant@redfin.com,(848) 581-6663,Engel & Volkers,San Antonio,TX,17,26,12676196,TX250445,TX,3.4,100,A,realtor_scraper,2026-07-24T02:00:19.792657+00:00
Janet Robertson,Janet,Robertson,robertsonjanet@icloud.com,(317) 770-6824,Realty World,Miami,FL,0,7,3494967,FL300480,FL,4.9,72,A,realtor_scraper,2026-07-24T02:00:19.774561+00:00
Helen Hayes,Helen,Hayes,helen.hayes@compass.com,(515) 979-4812,Colliers International,Richmond,VA,4,20,7109360,VA832785,VA,3.8,86,B,realtor_scraper,2026-07-24T02:00:19.814744+00:00
Anthony Ferguson,Anthony,Ferguson,aferguson@agent.com,(719) 951-9210,David Weekley Homes,Austin,TX,8,30,13731930,TX573619,TX,3.9,96,A,realtor_scraper,2026-07-24T02:00:19.799968+00:00
Karen Jordan,Karen,Jordan,jordankaren@nextdoor.com,(316) 811-3248,Real Living,Colorado Springs,CO,12,18,5529888,CO451667,CO,3.2,100,A,realtor_scraper,2026-07-24T02:00:19.767139+00:00
Amy Woods,Amy,Woods,amyw@gmail.com,(706) 525-4245,Perry Homes,Des Moines,IA,3,9,2524491,IA820535,IA,4.9,78,B,realtor_scraper,2026-07-24T02:00:19.807157+00:00
Johnny Romero,Johnny,Romero,johnnyromero@kw.com,(413) 467-4193,Sotheby's International Realty,Madison,WI,5,15,8744370,WI150234,WI,4.3,90,A,realtor_scraper,2026-07-24T02:00:19.773105+00:00
Samuel Simpson,Samuel,Simpson,simpsonsamuel@yahoo.com,(707) 723-3279,David Weekley Homes,Elgin,IL,6,28,14080668,IL478459,IL,4.7,90,B,realtor_scraper,2026-07-24T02:00:19.811658+00:00
Richard McDonald,Richard,McDonald,richardmcdonald@sothebysrealty.com,(831) 117-8699,Equity Residential,Cincinnati,OH,12,11,4583194,OH570684,OH,3.2,96,A,realtor_scraper,2026-07-24T02:00:19.799347+00:00
Stephen Jordan,Stephen,Jordan,stephenjordan@redfin.com,(912) 669-8806,Marcus & Millichap,Billings,MT,3,17,6553585,MT257813,MT,3.5,81,C,realtor_scraper,2026-07-24T02:00:19.836415+00:00
Frank Vargas,Frank,Vargas,fvargas@remax.net,(561) 136-9655,Baird & Warner,Columbus,OH,9,9,6291936,OH718983,OH,3.8,92,A,realtor_scraper,2026-07-24T02:00:19.778939+00:00
Alexander Simmons,Alexander,Simmons,asimmons@broker.com,(641) 963-5297,Cushman & Wakefield,Lewisville,TX,3,15,8253075,TX956959,TX,4.4,81,C,realtor_scraper,2026-07-24T02:00:19.830457+00:00
Julia Martinez,Julia,Martinez,juliam@realtyonegroup.com,(816) 239-8678,Compass,Minneapolis,MN,12,13,6528977,MN969310,MN,3.1,98,A,realtor_scraper,2026-07-24T02:00:19.785795+00:00
Rachel Gutierrez,Rachel,Gutierrez,gutierrezrachel@yahoo.com,(423) 388-4303,Taylor Morrison,Laredo,TX,11,14,5478676,TX177225,TX,4.1,99,A,realtor_scraper,2026-07-24T02:00:19.799602+00:00
