id,full_name,name,first_name,last_name,email,phone,brokerage,company,metro_area,city,state,zip,years_experience,transactions_12mo,transactions_last_year,sales_volume,rating,priority,cream_fit_score,source,brokerage_size,scraped_at
CREAM-20260926-00001,Nancy Robinson,Nancy Robinson,Nancy,Robinson,nancy_robinson@icloud.com,(805) 206-6769,Halstead,Halstead,Staten Island,Staten Island,NY,11347,4,15,15,11214306,5.0,A,71,MLS Database,Large (51-200 agents),2026-09-26T02:56:26Z
CREAM-20260926-00002,Danielle Cooper,Danielle Cooper,Danielle,Cooper,dcooper@livsothebys.com,(720) 306-1283,LIV Sotheby's,LIV Sotheby's,Colorado Springs,Colorado Springs,CO,81351,10,46,46,20098552,3.4,A,84,Referral Network,Enterprise (200+ agents),2026-09-26T10:14:26Z
CREAM-20260926-00003,Rachel Garcia,Rachel Garcia,Rachel,Garcia,rachelg@herrealtors.com,(713) 411-2132,HER Realtors,HER Realtors,Cincinnati,Cincinnati,OH,44911,4,10,10,2219572,4.4,A,61,Cold Outreach,Large (51-200 agents),2026-09-26T07:48:17Z
CREAM-20260926-00004,Mark Carter,Mark Carter,Mark,Carter,markcarter@outlook.com,(212) 353-7265,8z Real Estate,8z Real Estate,Colorado Springs,Colorado Springs,CO,80168,15,53,53,21002626,3.4,A,92,Realtor.com,Boutique (2-10 agents),2026-09-26T03:02:50Z
CREAM-20260926-00005,Olivia Edwards,Olivia Edwards,Olivia,Edwards,oliviae@hotmail.com,(916) 810-3049,Coldwell Banker,Coldwell Banker,Mesa,Mesa,AZ,86746,1,10,10,4022734,4.9,A,95,Facebook,Enterprise (200+ agents),2026-09-26T22:16:41Z
CREAM-20260926-00006,Paul Ross,Paul Ross,Paul,Ross,paul.ross@icloud.com,(646) 989-8417,HomeSmart,HomeSmart,Tucson,Tucson,AZ,85940,18,32,32,16486087,4.9,A,69,Referral Network,Independent,2026-09-26T15:02:23Z
CREAM-20260926-00007,Keith Richardson,Keith Richardson,Keith,Richardson,krichardson@hotmail.com,(805) 820-7324,Keller Williams,Keller Williams,Fort Worth,Fort Worth,TX,79489,20,44,44,11097666,3.0,A,70,Website Lead,Enterprise (200+ agents),2026-09-26T16:47:44Z
CREAM-20260926-00008,Thomas Parker,Thomas Parker,Thomas,Parker,thomasp@coldwellbanker.com,(305) 334-9351,Coldwell Banker,Coldwell Banker,Houston,Houston,TX,76115,22,33,33,13489167,3.6,A,98,MLS Database,Boutique (2-10 agents),2026-09-26T13:27:30Z
CREAM-20260926-00009,Donald Taylor,Donald Taylor,Donald,Taylor,donald_taylor@hotmail.com,(980) 312-6670,Berkshire Hathaway,Berkshire Hathaway,San Antonio,San Antonio,TX,79868,10,26,26,11806745,4.3,A,67,Trade Show,Boutique (2-10 agents),2026-09-26T11:41:47Z
CREAM-20260926-00010,Karen Lewis,Karen Lewis,Karen,Lewis,karenl@kellerwilliams.com,(415) 244-5390,Keller Williams,Keller Williams,Fort Worth,Fort Worth,TX,78681,1,3,3,1349365,3.7,A,92,NAR Directory,Mid-size (11-50 agents),2026-09-26T19:18:07Z
CREAM-20260926-00011,Victoria Myers,Victoria Myers,Victoria,Myers,victoriam@hotmail.com,(646) 907-8591,Berkshire Hathaway,Berkshire Hathaway,Houston,Houston,TX,77828,19,37,37,9763072,3.3,A,67,NAR Directory,Mid-size (11-50 agents),2026-09-26T02:45:53Z
CREAM-20260926-00012,Rose Sanchez,Rose Sanchez,Rose,Sanchez,rose.sanchez@icloud.com,(713) 602-3843,Keller Williams,Keller Williams,Charlotte,Charlotte,NC,28693,12,42,42,11443309,4.5,A,67,MLS Database,Independent,2026-09-26T20:24:14Z
CREAM-20260926-00013,Christopher Hughes,Christopher Hughes,Christopher,Hughes,christopherhughes@icloud.com,(469) 834-9503,8z Real Estate,8z Real Estate,Colorado Springs,Colorado Springs,CO,81772,10,39,39,16796497,3.8,A,68,MLS Database,Independent,2026-09-26T02:39:06Z
