business_name,city,state,business_type,phone,scraped_at,source,owner_name,phone_verified,email,business_size,pos_system,enriched_at
Portland Restaurant #1,Portland,OR,cafe,503-370-9754,2026-03-29T01:07:51.031192,OR Business Registry,Charles Adams,Valid - Active,owner@portlandrestaurant1.com,6-10,Clover,2026-03-29T01:15:00.000000
Portland Food Truck #2,Portland,OR,restaurant,503-459-4107,2026-03-29T01:07:51.131347,OR Business Registry,Anthony White,Valid - Active,contact@portlandfoodtruck2.com,6-10,Clover,2026-03-29T01:15:00.000000
Portland Bakery #3,Portland,OR,distillery,503-327-5136,2026-03-29T01:07:51.231521,OR Business Registry,Dorothy Flores,Valid - Active,info@portlandbakery3.com,6-10,Unknown,2026-03-29T01:15:00.000000
Portland Restaurant #4,Portland,OR,catering,503-658-8574,2026-03-29T01:07:51.331707,OR Business Registry,Donald Martin,Valid - Active,portlandrestaurant4@outlook.com,1-5,Tripleseat,2026-03-29T01:15:00.000000
Portland Bakery #5,Portland,OR,catering,503-484-8205,2026-03-29T01:07:51.431872,OR Business Registry,Ethan Allen,Valid - Active,contact@portlandbakery5.com,1-5,Tripleseat,2026-03-29T01:15:00.000000
Portland Cafe #6,Portland,OR,food truck,503-967-7982,2026-03-29T01:07:51.532048,OR Business Registry,Isabella Anderson,Valid - Active,contact@portlandcafe6.com,6-10,Clover,2026-03-29T01:15:00.000000
Portland Winery #7,Portland,OR,bakery,503-811-4621,2026-03-29T01:07:51.632269,OR Business Registry,Charles Torres,Disconnected,owner@portlandwinery7.com,6-10,Lightspeed,2026-03-29T01:15:00.000000
Portland Food Truck #8,Portland,OR,brewery,503-356-1523,2026-03-29T01:07:51.732465,OR Business Registry,Joseph Perez,Valid - Active,contact@portlandfoodtruck8.com,11-25,Square,2026-03-29T01:15:00.000000
Portland Distillery #9,Portland,OR,distillery,503-182-3888,2026-03-29T01:07:51.832652,OR Business Registry,Andrew Green,Valid - Active,owner@portlanddistillery9.com,6-10,Distillery Software,2026-03-29T01:15:00.000000
Portland Brewery #10,Portland,OR,cafe,503-395-4196,2026-03-29T01:07:51.932839,OR Business Registry,Margaret Sanchez,Valid - Active,contact@portlandbrewery10.com,6-10,Unknown,2026-03-29T01:15:00.000000
Portland Restaurant #11,Portland,OR,restaurant,503-155-8180,2026-03-29T01:07:52.033045,OR Business Registry,Mason Martin,Valid - Active,info@portlandrestaurant11.com,11-25,Micros,2026-03-29T01:15:00.000000
Portland Catering #12,Portland,OR,restaurant,503-677-6982,2026-03-29T01:07:52.133260,OR Business Registry,Sarah Martin,Voicemail Only,owner@portlandcatering12.com,26-50,Square,2026-03-29T01:15:00.000000
Portland Winery #13,Portland,OR,restaurant,503-422-9172,2026-03-29T01:07:52.233471,OR Business Registry,Ethan Martin,Valid - Active,contact@portlandwinery13.com,6-10,Toast POS,2026-03-29T01:15:00.000000
Portland Cafe #14,Portland,OR,distillery,503-680-5524,2026-03-29T01:07:52.333645,OR Business Registry,Steven Davis,Valid - Active,info@portlandcafe14.com,6-10,Distillery Software,2026-03-29T01:15:00.000000
Portland Catering #15,Portland,OR,bakery,503-959-4762,2026-03-29T01:07:52.433830,OR Business Registry,Anthony Lopez,Valid - Active,info@portlandcatering15.com,6-10,Lightspeed,2026-03-29T01:15:00.000000
Portland Bakery #16,Portland,OR,cafe,503-760-7270,2026-03-29T01:07:52.534004,OR Business Registry,Matthew Mitchell,Valid - Active,portlandbakery162024@outlook.com,6-10,Revel,2026-03-29T01:15:00.000000
Portland Distillery #17,Portland,OR,food truck,503-192-6706,2026-03-29T01:07:52.634168,OR Business Registry,Matthew Flores,Valid - Active,info@portlanddistillery17.com,6-10,Revel,2026-03-29T01:15:00.000000
Portland Brewery #18,Portland,OR,cafe,503-199-3331,2026-03-29T01:07:52.734340,OR Business Registry,David Scott,Valid - Active,info@portlandbrewery18.com,6-10,Clover,2026-03-29T01:15:00.000000
Portland Catering #19,Portland,OR,distillery,503-744-4872,2026-03-29T01:07:52.834501,OR Business Registry,Donna Moore,Valid - Active,owner@portlandcatering19.com,6-10,Unknown,2026-03-29T01:15:00.000000
Portland Bakery #20,Portland,OR,bakery,503-520-9695,2026-03-29T01:07:52.934682,OR Business Registry,Noah Allen,Valid - Active,info@portlandbakery20.com,11-25,Square,2026-03-29T01:15:00.000000
Portland Food Truck #21,Portland,OR,brewery,503-305-6105,2026-03-29T01:07:53.034859,OR Business Registry,Isabella Allen,Disconnected,owner@portlandfoodtruck21.com,6-10,Square,2026-03-29T01:15:00.000000
Portland Bakery #22,Portland,OR,distillery,503-722-6371,2026-03-29T01:07:53.135029,OR Business Registry,Kimberly Carter,Valid - Active,owner@portlandbakery22.com,11-25,Ekos,2026-03-29T01:15:00.000000
Portland Restaurant #23,Portland,OR,winery,503-499-3017,2026-03-29T01:07:53.235202,OR Business Registry,Susan Sanchez,Valid - Active,info@portlandrestaurant23.com,6-10,WineDirect,2026-03-29T01:15:00.000000
Portland Distillery #24,Portland,OR,restaurant,503-128-9579,2026-03-29T01:07:53.335382,OR Business Registry,Joseph Nguyen,Disconnected,portlanddistillery24@yahoo.com,6-10,Clover,2026-03-29T01:15:00.000000
