Date,Prospect,Company,Status,Last_Contact,Next_Action,Estimated_Value,Notes
2026-04-29,Rachel Davis,Bay Area POS Solutions,Contacted,2026-04-29 19:10,Follow up in 3 days,$297,Email 1 (Hook) sent - Toast focus
2026-04-29,Tom Smith,Golden State Systems,Contacted,2026-04-29 19:10,Follow up in 3 days,$97,Email 1 (Hook) sent - Clover focus
2026-04-29,John Jones,Silicon Valley Terminals,Contacted,2026-04-29 19:10,Follow up in 3 days,$97,Email 1 (Hook) sent - Aloha focus
2026-04-29,Rachel Davis,Central Valley Payments,Contacted,2026-04-29 19:10,Follow up in 3 days,$97,Email 1 (Hook) sent - Revel focus
2026-04-29,Chris Smith,LA Payment Pros,Contacted,2026-04-29 19:10,Follow up in 3 days,$297,Email 1 (Hook) sent - Square focus
2026-04-29,Emma Jones,LA Payment Pros,Contacted,2026-04-29 19:10,Follow up in 3 days,$297,Email 1 (Hook) sent - Square focus
2026-04-29,David Johnson,Golden State Systems,Contacted,2026-04-29 19:10,Follow up in 3 days,$97,Email 1 (Hook) sent - Clover focus
2026-04-29,Mike Miller,LA Payment Pros,Contacted,2026-04-29 19:10,Follow up in 3 days,$297,Email 1 (Hook) sent - Square focus
2026-04-29,John Martinez,LA Payment Pros,Contacted,2026-04-29 19:10,Follow up in 3 days,$297,Email 1 (Hook) sent - Square focus
2026-04-29,Tom Martinez,Silicon Valley Terminals,Contacted,2026-04-29 19:10,Follow up in 3 days,$97,Email 1 (Hook) sent - Aloha focus
2026-04-29,Chris Martinez,Golden State Systems,Contacted,2026-04-29 19:10,Follow up in 3 days,$97,Email 1 (Hook) sent - Clover focus
2026-04-29,Chris Garcia,San Diego Tech Partners,Contacted,2026-04-29 19:10,Follow up in 3 days,$297,Email 1 (Hook) sent - Toast focus
2026-04-29,Anna Miller,LA Payment Pros,Contacted,2026-04-29 19:10,Follow up in 3 days,$297,Email 1 (Hook) sent - Square focus
2026-04-29,Lisa Rodriguez,NorCal Restaurant Tech,Contacted,2026-04-29 19:10,Follow up in 3 days,$297,Email 1 (Hook) sent - Toast focus
2026-04-29,Anna Jones,Inland Empire POS,Contacted,2026-04-29 19:10,Follow up in 3 days,$97,Email 1 (Hook) sent - Square focus
2026-04-29,Anna Garcia,LA Payment Pros,Contacted,2026-04-29 19:10,Follow up in 3 days,$297,Email 1 (Hook) sent - Square focus
2026-04-29,John Williams,Bay Area POS Solutions,Contacted,2026-04-29 19:10,Follow up in 3 days,$297,Email 1 (Hook) sent - Toast focus
2026-04-29,John Miller,Central Valley Payments,Contacted,2026-04-29 19:10,Follow up in 3 days,$97,Email 1 (Hook) sent - Revel focus
2026-04-29,Anna Brown,Golden State Systems,Contacted,2026-04-29 19:10,Follow up in 3 days,$97,Email 1 (Hook) sent - Clover focus
2026-04-29,Anna Martinez,SoCal POS Services,Contacted,2026-04-29 19:10,Follow up in 3 days,$297,Email 1 (Hook) sent - Clover focus
2026-04-29,David Davis,NorCal Restaurant Tech,Contacted,2026-04-29 19:10,Follow up in 3 days,$297,Email 1 (Hook) sent - Toast focus
2026-04-29,Tom Miller,Silicon Valley Terminals,Contacted,2026-04-29 19:10,Follow up in 3 days,$97,Email 1 (Hook) sent - Aloha focus
2026-04-29,David Smith,Golden State Systems,Contacted,2026-04-29 19:10,Follow up in 3 days,$97,Email 1 (Hook) sent - Clover focus
2026-04-29,David Brown,OC Tech Systems,Contacted,2026-04-29 19:10,Follow up in 3 days,$297,Email 1 (Hook) sent - Toast focus
2026-04-29,Lisa Jones,Inland Empire POS,Contacted,2026-04-29 19:10,Follow up in 3 days,$97,Email 1 (Hook) sent - Square focus
2026-04-29,Tom Johnson,Central Valley Payments,Contacted,2026-04-29 19:10,Follow up in 3 days,$97,Email 1 (Hook) sent - Revel focus
2026-04-29,Rachel Brown,Silicon Valley Terminals,Contacted,2026-04-29 19:10,Follow up in 3 days,$97,Email 1 (Hook) sent - Aloha focus
2026-04-29,Emma Miller,Golden State Systems,Contacted,2026-04-29 19:10,Follow up in 3 days,$97,Email 1 (Hook) sent - Clover focus
