company,contact,title,phone,email,city,tier,source,pos_focus,notes,generated_at
San Diego Tech Partners,Amanda Smith,Sales Manager,(510) 529-9646,asmith@sandiegotechpartners.com,San Diego,Tier 2,Toast Partner Directory,Revel,Specializes in Clover installations in San Diego area,2026-04-29 19:41:21
San Diego Tech Partners,John Brown,Owner,(858) 553-4513,john@sandiegotechpartners.com,San Diego,Tier 2,Referral,Square,Specializes in Clover installations in San Diego area,2026-04-29 19:41:21
San Diego Technology Partners,Amanda Martinez,Owner,(213) 639-3784,martinez@sandiegotechnologypartners.com,San Diego,Tier 2,Yelp,Revel,Specializes in TouchBistro installations in San Diego area,2026-04-29 19:41:21
Central Valley Payments Group,Amanda Miller,Consultant,(858) 394-5777,miller@centralvalleypaymentsgroup.com,Sacramento,Tier 2,LinkedIn,Square,Specializes in TouchBistro installations in Sacramento area,2026-04-29 19:41:21
Modesto POS Group Group,Sarah Miller,Consultant,(619) 514-2147,sarah.miller@modestoposgroupgroup.com,Stanislaus,Tier 1,Referral,TouchBistro,Specializes in Clover installations in Stanislaus area,2026-04-29 19:41:21
OC Tech Systems,Jennifer Davis,Director,(858) 894-5293,davis@octechsystems.com,Orange,Tier 2,LinkedIn,Clover,Specializes in Clover installations in Orange area,2026-04-29 19:41:21
SoCal POS Services LLC,Jennifer Brown,Technician,(818) 606-6994,jennifer.brown@socalposservicesllc.com,SoCal POS Services,Tier 2,LinkedIn,Toast,Specializes in Toast installations in SoCal POS Services area,2026-04-29 19:41:21
Valley Tech Solutions LLC,Mike Wilson,Owner,(949) 228-2032,mikew@valleytechsolutionsllc.com,Fresno,Tier 2,Industry Forum,Revel,Specializes in Toast installations in Fresno area,2026-04-29 19:41:21
North Bay POS Inc,David Garcia,Consultant,(530) 371-7891,david@northbayposinc.com,Marin,Tier 2,Referral,Toast,Specializes in Revel installations in Marin area,2026-04-29 19:41:21
Valley Tech Solutions Group,Daniel Lopez,Account Executive,(831) 542-6801,daniell@valleytechsolutionsgroup.com,Fresno,Tier 2,Toast Partner Directory,Aloha,Specializes in Lightspeed installations in Fresno area,2026-04-29 19:41:21
Silicon Valley Terminals LLC,Sarah Brown,Director,(415) 903-3947,brown@siliconvalleyterminalsllc.com,Santa Clara,Tier 2,Toast Partner Directory,Revel,Specializes in Revel installations in Santa Clara area,2026-04-29 19:41:21
SoCal POS Services,William Gonzalez,Consultant,(831) 307-8992,william@socalposservices.com,SoCal POS Services,Tier 2,Google Maps,Square,Specializes in Square installations in SoCal POS Services area,2026-04-29 19:41:21
Inland Empire POS LLC,Jessica Garcia,Owner,(323) 870-4179,jessica@inlandempireposllc.com,Riverside,Tier 2,Industry Forum,Micros,Specializes in Lightspeed installations in Riverside area,2026-04-29 19:41:21
LA Payment Pros,Lisa Jones,Sales Manager,(818) 477-1774,ljones@lapaymentpros.com,Los Angeles,Tier 1,Yelp,Toast,Specializes in Square installations in Los Angeles area,2026-04-29 19:41:21
LA Payment Pros,Mike Wilson,Technician,(619) 529-6748,mike@lapaymentpros.com,Los Angeles,Tier 2,Google Maps,Aloha,Specializes in Micros installations in Los Angeles area,2026-04-29 19:41:21
LA Payment Pros Group,Michael Gonzalez,Technician,(626) 601-7089,michael@lapaymentprosgroup.com,Los Angeles,Tier 2,LinkedIn,Toast,Specializes in Square installations in Los Angeles area,2026-04-29 19:41:21
Bay Area POS Solutions LLC,James Williams,Owner,(916) 549-9135,james@bayareapossolutionsllc.com,San Francisco,Tier 1,Google Maps,Revel,Specializes in Toast installations in San Francisco area,2026-04-29 19:41:21
Central Valley Payments Group,William Jones,Consultant,(714) 405-4662,william.jones@centralvalleypaymentsgroup.com,Sacramento,Tier 1,Toast Partner Directory,Toast,Specializes in Lightspeed installations in Sacramento area,2026-04-29 19:41:21
Silicon Valley Terminals Inc,Mike Miller,Director,(831) 604-7643,mike@siliconvalleyterminalsinc.com,Santa Clara,Tier 1,Referral,Square,Specializes in Toast installations in Santa Clara area,2026-04-29 19:41:21
